Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0124,0.0102,0.0204
h,0.0022,0.0083,0.0984,0.0105
BACKSPACE,0.0159,0.0172,0.0488,0.0124
A,0.0651,0.0074,0.1026,0.0126
SHIFT_UP,0.0898,0.0130,0.0077,0.0098
f,0.1444,0.0960,0.1546,0.0870
t,1.3576,0.0871,0.1803,0.1199
h,1.7917,0.0077,0.1015,0.0086
BACKSPACE,1.8028,0.0187,0.0499,0.0076
e,1.8532,0.0111,0.1026,0.0099
r,2.5577,0.0973,0.1695,0.0847
u,2.5672,0.0095,0.1016,0.0098
BACKSPACE,2.5857,0.0179,0.0522,0.0109
 ,2.6367,0.0106,0.0976,0.0127
SHIFT_DOWN,2.6425,0.0079,0.0089,0.0216
I,2.6454,0.0991,0.1175,0.1034
SHIFT_UP,2.6658,0.0075,0.0079,0.0091
v,2.8201,0.0109,0.0987,0.0113
BACKSPACE,2.8314,0.0211,0.0470,0.0115
',2.8845,0.0110,0.1019,0.0082
d,3.3027,0.1069,0.1109,0.0912
 ,3.5091,0.1050,0.1162,0.0896
f,3.5224,0.0077,0.0999,0.0079
BACKSPACE,3.5372,0.0180,0.0515,0.0112
s,3.5860,0.0070,0.0978,0.0080
d,3.5961,0.0098,0.1001,0.0085
BACKSPACE,3.6140,0.0171,0.0502,0.0111
o,3.6654,0.0074,0.1017,0.0110
e,4.3266,0.0077,0.1001,0.0112
BACKSPACE,4.3507,0.0181,0.0471,0.0104
a,4.4047,0.0088,0.0991,0.0096
k,4.5298,0.0099,0.0992,0.0090
BACKSPACE,4.5502,0.0170,0.0479,0.0106
p,4.6059,0.0107,0.0981,0.0127
e,4.7847,0.0887,0.1249,0.1125
d,6.1825,0.1013,0.1617,0.0809
d,6.6032,0.0091,0.1027,0.0123
BACKSPACE,6.6207,0.0201,0.0503,0.0084
 ,6.6715,0.0079,0.0997,0.0077
m,6.6840,0.0938,0.1831,0.0916
d,8.2201,0.0111,0.1008,0.0096
BACKSPACE,8.2383,0.0215,0.0480,0.0102
y,8.2872,0.0072,0.0973,0.0080
s,8.3739,0.1064,0.1810,0.1058
e,8.3793,0.1071,0.1885,0.1004
b,8.9109,0.0090,0.0978,0.0106
BACKSPACE,8.9212,0.0180,0.0505,0.0099
l,8.9721,0.0089,0.0971,0.0117
f,9.3170,0.0801,0.1059,0.1041
 ,9.3313,0.1163,0.1462,0.1047
a,9.4538,0.1104,0.1307,0.1173
l,9.6842,0.0870,0.1833,0.1149
c,10.4242,0.0070,0.1011,0.0114
BACKSPACE,10.4351,0.0217,0.0486,0.0107
l,10.4864,0.0074,0.1013,0.0086
 ,11.3183,0.1014,0.1917,0.1047
o,12.9726,0.0852,0.1210,0.0946
c,14.2230,0.0111,0.1000,0.0076
BACKSPACE,14.2352,0.0199,0.0486,0.0102
v,14.2876,0.0111,0.1001,0.0125
e,14.6799,0.0890,0.1082,0.1145
k,14.6875,0.0098,0.0992,0.0111
BACKSPACE,14.7006,0.0209,0.0476,0.0114
r,14.7552,0.0081,0.1017,0.0074
v,15.6948,0.0116,0.1026,0.0123
BACKSPACE,15.7125,0.0222,0.0523,0.0092
 ,15.7656,0.0091,0.0983,0.0073
SHIFT_DOWN,16.1454,0.0111,0.0130,0.0201
I,16.1435,0.1000,0.1070,0.0889
SHIFT_UP,16.1613,0.0088,0.0128,0.0103
 ,16.8633,0.1074,0.1781,0.1005
j,16.8723,0.0115,0.0981,0.0099
BACKSPACE,16.9023,0.0215,0.0486,0.0070
f,16.9525,0.0082,0.1019,0.0079
e,17.2547,0.0893,0.1173,0.0824
l,17.3481,0.0834,0.1610,0.1047
t,18.9130,0.0883,0.1851,0.1041
 ,18.9198,0.1119,0.1384,0.0888
b,19.2238,0.0933,0.1398,0.0993
e,19.2319,0.1078,0.1417,0.1085
v,19.5448,0.0092,0.1030,0.0125
BACKSPACE,19.5673,0.0188,0.0520,0.0123
t,19.6118,0.0094,0.0985,0.0126
v,20.6780,0.0084,0.0980,0.0127
BACKSPACE,20.7083,0.0187,0.0525,0.0111
t,20.7543,0.0117,0.0981,0.0107
e,20.7692,0.1215,0.1943,0.1138
r,20.7784,0.0942,0.1100,0.1118
 ,21.1286,0.0830,0.1444,0.1079
a,21.1397,0.0899,0.0934,0.1117
n,22.0585,0.1225,0.1584,0.1180
g,22.0684,0.0129,0.0971,0.0104
BACKSPACE,22.0992,0.0211,0.0511,0.0114
d,22.1457,0.0083,0.0988,0.0100
 ,22.7261,0.0850,0.1216,0.1136
l,22.7354,0.0895,0.1687,0.0906
d,22.7480,0.0116,0.0993,0.0121
BACKSPACE,22.7606,0.0179,0.0514,0.0080
a,22.8113,0.0096,0.1017,0.0128
c,22.8194,0.0070,0.0980,0.0122
BACKSPACE,22.8520,0.0209,0.0471,0.0076
y,22.8985,0.0094,0.1018,0.0086
 ,22.9094,0.0818,0.1463,0.1160
i,23.2970,0.0114,0.0997,0.0086
BACKSPACE,23.3213,0.0227,0.0497,0.0113
d,23.3698,0.0083,0.0975,0.0128
l,23.3812,0.0105,0.1024,0.0091
BACKSPACE,23.4023,0.0224,0.0521,0.0108
o,23.4489,0.0087,0.1002,0.0085
w,24.1488,0.1019,0.1654,0.1095
t,24.1589,0.0112,0.1017,0.0103
BACKSPACE,24.1670,0.0173,0.0491,0.0113
n,24.2188,0.0075,0.1006,0.0080
l,25.0959,0.0094,0.0972,0.0110
BACKSPACE,25.1245,0.0172,0.0471,0.0111
 ,25.1696,0.0095,0.0984,0.0092
r,26.3942,0.0118,0.0991,0.0121
BACKSPACE,26.4187,0.0183,0.0502,0.0103
i,26.4631,0.0105,0.0980,0.0078
BACKSPACE,26.4732,0.0190,0.0500,0.0078
n,27.6486,0.0973,0.1468,0.0959
 ,27.8586,0.0991,0.1721,0.0880
t,28.5082,0.1087,0.1074,0.1137
b,28.5145,0.0104,0.0974,0.0119
BACKSPACE,28.5301,0.0188,0.0527,0.0110
h,28.5812,0.0072,0.0992,0.0095
e,29.1386,0.0987,0.1902,0.0995
 ,29.1497,0.1051,0.1809,0.0869
b,29.5773,0.1025,0.1673,0.0928
n,30.6554,0.0080,0.0992,0.0102
BACKSPACE,30.6705,0.0212,0.0502,0.0107
a,30.7173,0.0101,0.0972,0.0077
t,30.7312,0.1190,0.1166,0.0968
h,30.7423,0.1106,0.1039,0.1046
 ,31.0508,0.1003,0.1947,0.0875
u,31.2154,0.0093,0.0984,0.0125
BACKSPACE,31.2394,0.0200,0.0506,0.0116
t,31.2896,0.0111,0.0971,0.0075
o,31.2989,0.1017,0.1065,0.1175
 ,31.3089,0.1208,0.1680,0.0843
h,31.6076,0.1161,0.1204,0.1104
i,31.6193,0.1127,0.1323,0.0952
n,31.7483,0.1172,0.0992,0.0918
k,31.7597,0.1105,0.1706,0.1101
 ,32.4345,0.1011,0.1000,0.1041
d,32.9011,0.0123,0.1006,0.0083
BACKSPACE,32.9146,0.0227,0.0506,0.0108
a,32.9676,0.0072,0.1014,0.0109
w,33.8166,0.0101,0.1022,0.0094
BACKSPACE,33.8296,0.0227,0.0520,0.0114
b,33.8827,0.0099,0.0974,0.0081
o,34.1062,0.1056,0.1482,0.1015
r,34.6444,0.0104,0.1011,0.0091
BACKSPACE,34.6732,0.0179,0.0491,0.0126
u,34.7244,0.0112,0.1014,0.0073
t,35.6645,0.1109,0.1143,0.1209
v,36.4840,0.0077,0.0978,0.0071
BACKSPACE,36.4944,0.0170,0.0504,0.0090
 ,36.5455,0.0126,0.0998,0.0092
m,37.4190,0.1096,0.1071,0.0862
y,38.6056,0.1195,0.1396,0.0898
 ,39.2680,0.0925,0.1037,0.0849
s,39.2769,0.0965,0.1208,0.0786
e,39.2883,0.0968,0.1674,0.0943
v,39.6844,0.0893,0.1881,0.0914
e,40.5849,0.1088,0.1145,0.1186
n,40.5934,0.0793,0.1893,0.1121
i,40.6011,0.0103,0.0999,0.0113
BACKSPACE,40.6227,0.0176,0.0493,0.0130
t,40.6686,0.0112,0.1023,0.0086
e,40.6800,0.1069,0.1592,0.0849
x,40.6883,0.0122,0.1004,0.0091
BACKSPACE,40.7055,0.0208,0.0510,0.0099
e,40.7534,0.0114,0.0982,0.0083
j,40.7612,0.0127,0.1006,0.0071
BACKSPACE,40.7770,0.0174,0.0511,0.0102
n,40.8272,0.0104,0.0972,0.0080
 ,40.8412,0.1172,0.1254,0.0973
q,41.2339,0.0992,0.1776,0.0940
x,41.7137,0.0129,0.1012,0.0096
BACKSPACE,41.7266,0.0190,0.0528,0.0120
u,41.7793,0.0076,0.1018,0.0124
i,42.3330,0.0990,0.1101,0.1018
k,42.4774,0.0081,0.0991,0.0122
BACKSPACE,42.4914,0.0182,0.0528,0.0091
d,42.5430,0.0118,0.1001,0.0072
 ,42.9490,0.1168,0.1195,0.0935
o,42.9591,0.0098,0.1029,0.0100
BACKSPACE,42.9725,0.0224,0.0488,0.0107
a,43.0256,0.0093,0.0997,0.0084
BACKSPACE,43.0323,0.0201,0.0483,0.0117
n,43.5313,0.0947,0.1410,0.1056
d,43.6356,0.0885,0.1637,0.1003
q,44.0359,0.0116,0.0993,0.0074
BACKSPACE,44.0615,0.0201,0.0496,0.0114
 ,44.1082,0.0098,0.1016,0.0127
g,44.1222,0.0107,0.0987,0.0117
BACKSPACE,44.1432,0.0197,0.0501,0.0091
w,44.1920,0.0109,0.1019,0.0092
p,45.3688,0.0104,0.0978,0.0071
BACKSPACE,45.3937,0.0208,0.0482,0.0079
h,45.4456,0.0127,0.1026,0.0072
a,45.5490,0.0965,0.1377,0.0931
t,45.5584,0.1028,0.1665,0.0942
 ,46.4930,0.1054,0.1553,0.0991
r,46.5029,0.0088,0.1022,0.0101
BACKSPACE,46.5167,0.0223,0.0503,0.0127
