Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0093,0.0088,0.0198
O,0.0010,0.1209,0.1627,0.0858
SHIFT_UP,0.0207,0.0092,0.0076,0.0107
l,0.2935,0.1043,0.1389,0.1005
d,0.7888,0.1135,0.1575,0.0988
BACKSPACE,0.7956,0.0171,0.0500,0.0075
 ,1.0977,0.1100,0.0948,0.1154
SHIFT_DOWN,1.4707,0.0107,0.0127,0.0174
M,1.4714,0.1112,0.1727,0.1102
SHIFT_UP,1.4868,0.0093,0.0082,0.0073
a,2.0228,0.0850,0.1968,0.0869
j,2.0331,0.1105,0.1445,0.1060
o,2.1049,0.0980,0.1790,0.0988
r,2.4584,0.1166,0.0920,0.1016
 ,2.8980,0.0921,0.1882,0.1133
c,3.3561,0.0952,0.1995,0.1180
l,3.9397,0.1055,0.1451,0.0815
e,4.1873,0.0891,0.1244,0.0979
a,4.4232,0.1198,0.1423,0.1198
r,4.6283,0.1045,0.1121,0.1099
q,5.0683,0.0102,0.1006,0.0073
BACKSPACE,5.0905,0.0201,0.0516,0.0072
e,5.1406,0.0098,0.1007,0.0124
d,5.4634,0.0813,0.1699,0.1096
 ,6.2813,0.1190,0.1275,0.1041
h,6.4573,0.0978,0.1726,0.1073
i,6.8614,0.1177,0.1954,0.1158
s,7.3801,0.1109,0.1205,0.0876
 ,7.6822,0.1191,0.1238,0.1172
t,7.6891,0.1008,0.1047,0.1163
h,8.1686,0.0962,0.1377,0.1208
r,8.6420,0.0891,0.1849,0.0983
o,9.0869,0.1076,0.1792,0.1027
y,9.1064,0.0124,0.1001,0.0111
BACKSPACE,9.1257,0.0215,0.0503,0.0078
a,9.1732,0.0077,0.0984,0.0100
t,9.3906,0.0796,0.1194,0.1084
 ,9.8759,0.1110,0.1197,0.1009
a,10.1619,0.1109,0.1815,0.1059
n,10.6667,0.1018,0.1052,0.0821
d,10.6785,0.1073,0.1700,0.0973
 ,10.9644,0.1046,0.1057,0.1158
b,11.4708,0.0924,0.0927,0.0909
e,11.6940,0.0900,0.1465,0.1191
g,12.0663,0.0847,0.1551,0.1155
a,12.3289,0.1044,0.1612,0.1048
n,12.4105,0.1117,0.1200,0.0915
 ,12.7524,0.0885,0.1971,0.1045
f,13.0270,0.0114,0.1022,0.0120
BACKSPACE,13.0355,0.0183,0.0476,0.0120
t,13.0874,0.0111,0.1005,0.0116
o,13.0954,0.0903,0.0943,0.0903
 ,13.6471,0.1045,0.1464,0.0863
s,13.9527,0.1153,0.1521,0.1157
i,14.3112,0.0838,0.1542,0.1001
n,14.8968,0.1055,0.1701,0.0869
g,14.9048,0.0865,0.1728,0.1045
.,15.1258,0.0852,0.1490,0.1136
v,15.7209,0.0101,0.0992,0.0124
BACKSPACE,15.7313,0.0176,0.0495,0.0124
 ,15.7804,0.0097,0.1023,0.0082
SHIFT_DOWN,16.0093,0.0099,0.0103,0.0223
A,16.0076,0.0822,0.1241,0.0865
SHIFT_UP,16.0277,0.0074,0.0129,0.0098
s,16.0211,0.0828,0.1281,0.0814
 ,16.5481,0.1129,0.1565,0.1186
h,16.7119,0.1168,0.1520,0.1075
e,17.4227,0.0995,0.1402,0.1156
 ,17.8245,0.1033,0.1705,0.0862
h,18.5463,0.0794,0.1323,0.1000
a,19.2311,0.0933,0.1871,0.0858
d,19.4967,0.1121,0.1055,0.1046
 ,19.7622,0.0819,0.1945,0.0912
s,20.1407,0.1071,0.1955,0.0997
a,20.8864,0.0820,0.1187,0.1025
i,21.0498,0.1080,0.1765,0.1187
d,21.2111,0.0986,0.1186,0.0870
",",21.5970,0.0945,0.1719,0.1138
 ,21.7467,0.1015,0.1604,0.0956
h,21.8005,0.1199,0.1612,0.0910
i,22.2514,0.0855,0.0917,0.0837
BACKSPACE,22.2612,0.0207,0.0473,0.0122
s,22.8096,0.0941,0.0989,0.0819
