Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0103,0.0115,0.0192
I,0.0010,0.0829,0.1964,0.1000
SHIFT_UP,0.0205,0.0085,0.0075,0.0122
t,0.0108,0.1197,0.1453,0.0923
 ,0.0203,0.0806,0.1951,0.0998
h,0.2686,0.0082,0.1001,0.0116
BACKSPACE,0.2953,0.0190,0.0489,0.0089
w,0.3436,0.0104,0.0978,0.0088
a,1.4051,0.1002,0.1776,0.1179
s,1.9417,0.0934,0.1769,0.1060
 ,2.4210,0.1156,0.1723,0.0920
a,3.1310,0.0835,0.1687,0.0972
l,3.4247,0.0113,0.1019,0.0126
BACKSPACE,3.4340,0.0196,0.0529,0.0077
 ,3.4849,0.0112,0.1021,0.0106
b,3.5954,0.0856,0.1866,0.1005
p,3.6061,0.0101,0.0982,0.0072
BACKSPACE,3.6294,0.0176,0.0497,0.0105
r,3.6816,0.0073,0.1009,0.0080
i,3.6913,0.1140,0.1220,0.0981
g,3.7018,0.1171,0.0922,0.1009
h,4.1288,0.1166,0.1974,0.1090
t,4.1355,0.1119,0.1031,0.0976
m,5.2485,0.0101,0.1007,0.0100
BACKSPACE,5.2643,0.0196,0.0526,0.0122
 ,5.3164,0.0096,0.1016,0.0120
c,5.3277,0.1074,0.1488,0.1109
o,6.8015,0.1045,0.1757,0.1177
l,6.8251,0.0967,0.1799,0.1157
d,7.8670,0.1125,0.1258,0.1123
BACKSPACE,7.8755,0.0207,0.0471,0.0126
 ,8.5078,0.1213,0.1970,0.1188
d,8.5179,0.0866,0.1841,0.1005
a,8.5314,0.1107,0.1865,0.1027
d,8.9768,0.0109,0.1016,0.0113
BACKSPACE,8.9934,0.0218,0.0517,0.0097
y,9.0451,0.0071,0.1025,0.0124
 ,10.3776,0.0867,0.1903,0.1093
i,10.3831,0.0919,0.1961,0.0860
n,10.3929,0.0989,0.0950,0.0983
 ,11.0503,0.1022,0.1414,0.1066
SHIFT_DOWN,11.0642,0.0121,0.0105,0.0215
A,11.0602,0.1166,0.1952,0.1043
