Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0130,0.0085,0.0171
A,0.0010,0.1109,0.0939,0.0980
SHIFT_UP,0.0223,0.0091,0.0097,0.0099
f,1.4243,0.0954,0.1841,0.0907
f,2.7020,0.0089,0.0987,0.0099
BACKSPACE,2.7168,0.0193,0.0526,0.0073
t,2.7669,0.0128,0.0991,0.0111
e,3.8957,0.0914,0.1024,0.1077
r,4.4298,0.1137,0.0923,0.1108
f,5.0385,0.0073,0.1023,0.0070
BACKSPACE,5.0492,0.0229,0.0486,0.0087
 ,5.1016,0.0088,0.1011,0.0119
SHIFT_DOWN,5.1260,0.0117,0.0082,0.0212
I,5.1258,0.0938,0.1872,0.0857
SHIFT_UP,5.1480,0.0074,0.0085,0.0107
',5.5856,0.1161,0.1437,0.1114
q,5.9945,0.0090,0.1015,0.0102
BACKSPACE,6.0044,0.0182,0.0509,0.0076
d,6.0581,0.0082,0.0977,0.0121
j,6.0650,0.0071,0.0996,0.0080
BACKSPACE,6.0911,0.0228,0.0502,0.0100
 ,6.1386,0.0105,0.1013,0.0108
s,6.4038,0.0818,0.1945,0.0990
o,6.4146,0.1114,0.1655,0.1158
a,7.7132,0.0940,0.1951,0.1136
f,7.7473,0.0087,0.1029,0.0122
BACKSPACE,7.7701,0.0189,0.0507,0.0110
p,7.8247,0.0073,0.0985,0.0099
e,8.0854,0.1058,0.1274,0.0963
d,8.5773,0.0965,0.1140,0.0935
BACKSPACE,8.5873,0.0203,0.0495,0.0094
 ,8.5880,0.0905,0.1352,0.1033
m,9.0461,0.0885,0.0931,0.0822
l,9.8420,0.0100,0.1021,0.0097
BACKSPACE,9.8554,0.0190,0.0472,0.0125
y,9.9071,0.0128,0.1029,0.0107
s,11.2903,0.1011,0.1402,0.0864
h,11.2984,0.0125,0.0978,0.0130
BACKSPACE,11.3306,0.0192,0.0507,0.0088
e,11.3798,0.0084,0.0970,0.0074
l,11.5043,0.0964,0.1626,0.1183
f,11.5101,0.0897,0.1517,0.0915
 ,11.7756,0.1200,0.1618,0.0854
a,12.1896,0.1144,0.1496,0.1064
l,12.2772,0.0862,0.1314,0.1093
l,13.1986,0.1186,0.0876,0.1099
 ,13.7576,0.0842,0.1226,0.1194
o,13.9839,0.0853,0.1520,0.1007
v,13.9915,0.0946,0.1869,0.0844
e,14.0007,0.0842,0.1146,0.0923
r,14.0145,0.1192,0.0986,0.1141
 ,14.6546,0.1087,0.1892,0.0901
SHIFT_DOWN,14.6703,0.0080,0.0120,0.0211
z,14.6691,0.0126,0.1005,0.0109
BACKSPACE,14.6860,0.0183,0.0494,0.0091
I,14.7361,0.0109,0.1026,0.0070
SHIFT_UP,14.7561,0.0104,0.0074,0.0122
 ,14.7470,0.0886,0.1603,0.0983
f,15.0610,0.1011,0.1786,0.1065
e,15.0681,0.0992,0.1953,0.0914
l,15.8624,0.1142,0.1456,0.1215
t,16.7393,0.1027,0.1828,0.0974
n,16.7475,0.0102,0.1012,0.0101
BACKSPACE,16.7804,0.0190,0.0476,0.0105
 ,16.8257,0.0111,0.1028,0.0072
b,17.2242,0.1029,0.1600,0.1113
e,17.2304,0.0980,0.1421,0.1009
t,18.8846,0.0913,0.1908,0.1115
t,18.8940,0.0859,0.0885,0.0878
e,20.0004,0.0862,0.1724,0.1041
r,20.0055,0.0972,0.0937,0.0907
BACKSPACE,20.0155,0.0220,0.0503,0.0099
p,20.1603,0.0084,0.0989,0.0130
BACKSPACE,20.1881,0.0223,0.0528,0.0080
 ,20.2376,0.0087,0.0995,0.0092
a,20.7563,0.0977,0.1814,0.1105
n,21.1376,0.1038,0.0993,0.1166
d,22.1055,0.0974,0.1177,0.0851
b,22.6635,0.0123,0.1017,0.0099
BACKSPACE,22.6863,0.0209,0.0480,0.0127
 ,22.7400,0.0094,0.0979,0.0098
l,23.1623,0.1119,0.1311,0.0899
a,23.1694,0.1030,0.0998,0.1079
h,23.3747,0.0108,0.1009,0.0124
BACKSPACE,23.4080,0.0171,0.0498,0.0100
y,23.4525,0.0092,0.1017,0.0100
 ,23.8094,0.0790,0.1402,0.0897
d,23.8150,0.1135,0.1954,0.1009
o,24.2889,0.1156,0.1409,0.0875
w,24.9021,0.0843,0.1687,0.1106
 ,24.9247,0.0992,0.1017,0.1114
i,26.0365,0.0852,0.1149,0.0792
h,26.0510,0.0107,0.0974,0.0128
BACKSPACE,26.0652,0.0222,0.0478,0.0122
n,26.1105,0.0123,0.0970,0.0118
 ,26.1241,0.0918,0.1532,0.1185
t,26.1301,0.0826,0.1631,0.0827
h,26.1420,0.1098,0.1395,0.1105
