Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0122,0.0093,0.0209
O,0.0010,0.0814,0.0896,0.0923
SHIFT_UP,0.0172,0.0081,0.0092,0.0099
l,0.0855,0.0855,0.1164,0.1067
d,0.6944,0.1049,0.1431,0.0974
 ,0.7530,0.1045,0.1510,0.1115
SHIFT_DOWN,0.8770,0.0129,0.0074,0.0212
M,0.8824,0.1104,0.1260,0.1048
SHIFT_UP,0.8992,0.0085,0.0100,0.0125
a,0.9173,0.1017,0.1276,0.0917
j,1.0995,0.0834,0.1492,0.0912
o,1.1551,0.0894,0.1920,0.1202
r,1.1661,0.0920,0.1473,0.1032
 ,1.1787,0.1061,0.1339,0.0880
c,1.4493,0.1072,0.1816,0.1078
l,1.5416,0.0844,0.1505,0.0976
e,1.9270,0.1000,0.1513,0.1122
a,2.1582,0.0912,0.1740,0.1059
r,2.1683,0.0952,0.1827,0.1153
e,2.5302,0.0949,0.1489,0.1042
d,3.0234,0.1016,0.0982,0.1088
 ,3.4838,0.0941,0.1743,0.0989
h,3.4895,0.0952,0.1124,0.1113
i,3.9032,0.1012,0.1647,0.1067
s,4.3836,0.0821,0.1669,0.1198
 ,4.9100,0.1210,0.1648,0.1066
t,5.5619,0.0826,0.1478,0.1010
h,5.8888,0.1106,0.1577,0.1167
r,5.9793,0.1135,0.0933,0.0894
o,6.0137,0.1153,0.1960,0.1123
a,6.4812,0.0992,0.1791,0.1135
t,6.6738,0.0957,0.1802,0.0805
 ,6.9095,0.1054,0.1968,0.1001
a,7.2836,0.0798,0.1237,0.1133
n,7.6442,0.1092,0.1563,0.0993
d,7.8857,0.1166,0.0915,0.1075
 ,8.1555,0.0830,0.0937,0.0928
b,8.6227,0.0906,0.1495,0.0842
e,8.9397,0.0861,0.1961,0.0845
g,9.2669,0.1012,0.1727,0.0801
a,9.3946,0.1033,0.1673,0.0991
n,9.5542,0.1001,0.0926,0.0938
 ,9.6372,0.0940,0.1702,0.1155
t,9.6480,0.0848,0.1776,0.0984
o,9.9476,0.0994,0.0927,0.0917
 ,9.9604,0.0816,0.1303,0.1073
s,10.4129,0.0989,0.1302,0.1012
i,10.6213,0.0845,0.1343,0.1105
n,10.9566,0.0991,0.1249,0.0907
g,11.4776,0.1110,0.1101,0.0925
.,11.8618,0.0944,0.1673,0.0834
 ,11.9975,0.0930,0.0896,0.0975
SHIFT_DOWN,12.0981,0.0100,0.0112,0.0183
A,12.0994,0.1051,0.1614,0.1183
SHIFT_UP,12.1191,0.0091,0.0095,0.0102
s,12.4301,0.1200,0.1499,0.0969
 ,12.9612,0.1002,0.1244,0.1147
h,13.4526,0.0934,0.1573,0.1052
e,14.0871,0.1114,0.1609,0.0844
 ,14.1859,0.1081,0.1543,0.1088
h,14.7538,0.0947,0.1280,0.0924
a,15.0490,0.1106,0.1375,0.1023
d,15.5034,0.1174,0.1263,0.0802
 ,15.8909,0.0941,0.1222,0.0915
s,16.2121,0.0939,0.1378,0.0950
a,16.2235,0.1032,0.1067,0.1059
i,16.2344,0.1148,0.1336,0.0842
d,16.7516,0.1134,0.1175,0.0999
",",17.2682,0.1045,0.1136,0.1025
 ,17.6680,0.1169,0.1234,0.1053
h,18.1330,0.0892,0.1124,0.0840
i,18.1450,0.1149,0.1507,0.1057
s,18.5524,0.0985,0.0892,0.1038
 ,18.7048,0.1104,0.0994,0.0925
a,18.8270,0.0091,0.1008,0.0120
BACKSPACE,18.8399,0.0221,0.0473,0.0088
v,18.8889,0.0121,0.1010,0.0121
o,19.4798,0.0859,0.1871,0.1085
i,19.9978,0.1027,0.1738,0.0964
c,20.4864,0.0917,0.1367,0.1107
e,20.4922,0.1008,0.0951,0.1080
y,20.5079,0.0114,0.1027,0.0074
BACKSPACE,20.5296,0.0176,0.0511,0.0076
 ,20.5809,0.0078,0.0983,0.0093
w,20.8684,0.0893,0.1518,0.1151
a,20.8768,0.0965,0.1414,0.1090
s,21.2794,0.1121,0.1930,0.0897
 ,21.8667,0.0872,0.1732,0.1021
h,22.2757,0.0798,0.0900,0.1126
o,22.4655,0.1130,0.1444,0.1012
a,22.7951,0.0888,0.1608,0.0978
r,23.0997,0.0928,0.1255,0.0927
s,23.1398,0.1180,0.1158,0.1032
e,23.4876,0.0840,0.1210,0.1157
",",23.8640,0.0958,0.1131,0.1113
 ,23.9983,0.1120,0.1771,0.0824
b,24.0071,0.1121,0.0931,0.0933
u,24.0151,0.1150,0.1471,0.0856
t,24.4751,0.1084,0.1940,0.1099
 ,24.4873,0.0883,0.1373,0.1222
BACKSPACE,24.4972,0.0223,0.0476,0.0110
h,24.8120,0.0851,0.1757,0.0813
e,25.0547,0.0912,0.1574,0.0822
 ,25.0648,0.1102,0.2006,0.1009
s,25.0738,0.1148,0.1373,0.0859
a,25.3370,0.0902,0.0965,0.1037
n,25.6988,0.1179,0.1195,0.1130
g,25.7080,0.1096,0.1046,0.1111
 ,25.9122,0.0866,0.1217,0.1112
w,26.0149,0.1050,0.1579,0.1079
e,26.1926,0.1099,0.1520,0.0980
l,26.6299,0.0924,0.1930,0.0852
l,26.6413,0.1148,0.1338,0.1024
 ,26.7429,0.1195,0.1614,0.0845
e,26.7540,0.0945,0.0977,0.1188
n,27.0150,0.0836,0.1113,0.0855
o,27.2408,0.1090,0.1115,0.0829
u,27.6633,0.1188,0.1890,0.0832
g,28.0283,0.1207,0.1672,0.1001
h,28.5925,0.1045,0.1847,0.1146
",",29.1142,0.0924,0.1347,0.1183
BACKSPACE,29.1256,0.0196,0.0473,0.0096
