Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0115,0.0089,0.0208
A,0.0010,0.0895,0.1216,0.1085
SHIFT_UP,0.0229,0.0119,0.0089,0.0109
f,0.6238,0.1114,0.1075,0.1083
t,1.4745,0.1145,0.1248,0.0828
e,1.7219,0.0796,0.1047,0.0873
r,1.8022,0.0809,0.1846,0.0883
 ,2.2440,0.0965,0.1541,0.1153
SHIFT_DOWN,2.4770,0.0116,0.0125,0.0216
I,2.4807,0.0966,0.1145,0.0950
SHIFT_UP,2.5005,0.0126,0.0105,0.0079
',2.7676,0.0858,0.1680,0.1068
d,2.7739,0.0979,0.1974,0.1007
 ,3.3684,0.0977,0.1128,0.1086
s,3.8120,0.1179,0.1015,0.1072
o,4.9497,0.1043,0.1376,0.0868
a,4.9606,0.0801,0.1522,0.1193
p,5.3067,0.1190,0.1284,0.1188
e,5.7508,0.1053,0.1346,0.1065
d,6.3491,0.1184,0.1144,0.1054
 ,6.3597,0.1000,0.1337,0.0993
m,6.4428,0.0890,0.1406,0.0912
y,6.4569,0.0976,0.1396,0.1019
s,6.6372,0.1182,0.1519,0.1172
e,7.3054,0.0968,0.1336,0.0826
l,7.4604,0.1155,0.1421,0.1158
f,7.8040,0.1047,0.1791,0.1149
 ,8.3113,0.0844,0.1005,0.1028
a,8.8425,0.1177,0.1032,0.1101
l,9.2366,0.0900,0.1450,0.1198
l,9.6510,0.0796,0.1110,0.0974
 ,9.7080,0.1137,0.1593,0.1080
o,10.1025,0.0991,0.1086,0.0942
v,10.8428,0.0959,0.1943,0.1032
e,11.8804,0.1111,0.1968,0.0917
r,12.1011,0.1018,0.1629,0.1142
u,12.6599,0.0117,0.0971,0.0123
BACKSPACE,12.6748,0.0221,0.0484,0.0112
 ,12.7210,0.0085,0.0983,0.0119
SHIFT_DOWN,13.4153,0.0080,0.0130,0.0177
r,13.4208,0.0115,0.1028,0.0094
BACKSPACE,13.4295,0.0224,0.0472,0.0123
I,13.4796,0.0092,0.0971,0.0120
SHIFT_UP,13.4983,0.0116,0.0087,0.0096
 ,13.8643,0.0918,0.1263,0.1173
l,13.8776,0.0123,0.0990,0.0072
