Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0025,0.0073,0.0105,0.0191
j,0.0029,0.0115,0.0978,0.0075
BACKSPACE,0.0132,0.0207,0.0490,0.0089
O,0.0628,0.0070,0.1030,0.0116
SHIFT_UP,0.0815,0.0094,0.0120,0.0114
l,0.0712,0.1108,0.1138,0.0792
d,0.5952,0.1147,0.0924,0.1183
 ,1.6092,0.1144,0.1109,0.0876
SHIFT_DOWN,2.0976,0.0112,0.0089,0.0174
M,2.1006,0.0841,0.0940,0.0927
SHIFT_UP,2.1204,0.0075,0.0081,0.0081
a,2.7398,0.0940,0.1473,0.0947
c,3.4374,0.0105,0.1013,0.0091
BACKSPACE,3.4527,0.0172,0.0476,0.0103
j,3.5038,0.0093,0.1028,0.0076
o,4.1563,0.1145,0.1246,0.1054
r,5.3918,0.0863,0.1323,0.0947
 ,5.3966,0.1023,0.1131,0.0885
c,6.0503,0.0785,0.1484,0.1053
q,6.9070,0.0088,0.0974,0.0120
BACKSPACE,6.9285,0.0196,0.0512,0.0110
l,6.9831,0.0085,0.0977,0.0078
e,7.0069,0.0962,0.1587,0.0883
a,7.9447,0.1004,0.1448,0.1034
s,8.6250,0.0101,0.1029,0.0091
BACKSPACE,8.6509,0.0226,0.0489,0.0099
r,8.7022,0.0073,0.0987,0.0086
e,9.0376,0.1118,0.1265,0.0970
d,9.0506,0.0925,0.1947,0.0847
c,9.3121,0.0097,0.0976,0.0092
BACKSPACE,9.3374,0.0189,0.0487,0.0118
 ,9.3913,0.0107,0.1026,0.0106
n,9.3971,0.0085,0.0970,0.0089
BACKSPACE,9.4166,0.0176,0.0517,0.0107
h,9.4654,0.0120,0.0972,0.0092
b,9.4779,0.0113,0.1017,0.0071
BACKSPACE,9.4990,0.0181,0.0529,0.0106
i,9.5500,0.0109,0.0980,0.0111
s,10.3728,0.1006,0.1287,0.0929
 ,11.1232,0.0989,0.1600,0.1147
t,11.3714,0.0805,0.1713,0.0854
h,11.3793,0.1007,0.1702,0.0859
BACKSPACE,11.3892,0.0204,0.0485,0.0073
r,11.4735,0.0776,0.1842,0.0835
o,11.4836,0.1040,0.1573,0.1155
a,11.4935,0.0824,0.1103,0.1030
t,11.8393,0.1192,0.1825,0.1200
 ,12.2032,0.0825,0.1559,0.0866
a,12.4776,0.1180,0.1417,0.0783
n,12.4889,0.1145,0.1031,0.0939
d,12.7625,0.1135,0.1140,0.0944
 ,12.7764,0.0962,0.1523,0.1127
b,13.5071,0.1048,0.1873,0.0983
e,13.5176,0.1118,0.1077,0.0958
g,13.6452,0.0891,0.1965,0.0843
a,13.7284,0.0940,0.1905,0.0951
n,13.7406,0.0907,0.1378,0.1063
 ,14.1636,0.0904,0.1738,0.1187
t,14.3291,0.1058,0.1569,0.0952
o,14.3345,0.1058,0.1496,0.1157
 ,14.3449,0.1028,0.1416,0.1018
s,15.2722,0.1016,0.1306,0.0963
i,15.2850,0.1075,0.1659,0.0810
n,15.5305,0.0851,0.1389,0.1082
g,15.5456,0.0902,0.1709,0.1100
.,15.5547,0.1167,0.1559,0.1077
 ,15.8595,0.1080,0.1936,0.1040
SHIFT_DOWN,16.1251,0.0088,0.0088,0.0199
A,16.1215,0.0870,0.1649,0.1148
SHIFT_UP,16.1436,0.0128,0.0073,0.0107
s,16.6437,0.0909,0.1329,0.0969
 ,17.1102,0.1054,0.1940,0.0955
h,17.1248,0.1198,0.1617,0.0982
e,17.2872,0.1111,0.1221,0.0885
 ,17.5637,0.0784,0.1251,0.0949
h,18.3553,0.1133,0.1342,0.0858
a,19.1638,0.0980,0.1686,0.1033
d,19.1767,0.1213,0.1545,0.1064
 ,19.2645,0.1131,0.1123,0.0855
w,20.3491,0.0106,0.0980,0.0093
BACKSPACE,20.3644,0.0176,0.0473,0.0083
s,20.4164,0.0072,0.0996,0.0082
a,21.0874,0.0798,0.1224,0.0898
i,21.0963,0.1036,0.0910,0.1102
d,21.1070,0.0891,0.1872,0.1059
",",21.1576,0.1016,0.1659,0.1013
 ,21.8901,0.0898,0.1286,0.0848
h,21.8988,0.0899,0.1081,0.1013
i,21.9067,0.0795,0.1083,0.0867
s,22.7557,0.1008,0.1296,0.0885
v,23.1086,0.0127,0.1014,0.0123
BACKSPACE,23.1312,0.0171,0.0477,0.0084
 ,23.1793,0.0113,0.0978,0.0092
v,23.1890,0.0787,0.1708,0.1078
o,23.3005,0.1179,0.1777,0.0831
i,23.8020,0.0833,0.1533,0.1139
c,23.8599,0.0866,0.1010,0.0988
e,23.8701,0.0914,0.1806,0.1188
 ,23.8793,0.1163,0.1554,0.1107
w,23.8885,0.1189,0.1234,0.0878
p,23.8998,0.0077,0.1011,0.0089
BACKSPACE,23.9171,0.0191,0.0519,0.0084
a,23.9679,0.0105,0.0974,0.0114
o,24.3163,0.0116,0.1025,0.0089
BACKSPACE,24.3389,0.0215,0.0498,0.0124
s,24.3892,0.0118,0.1016,0.0079
 ,24.8892,0.1050,0.1837,0.1138
h,25.1786,0.1160,0.1708,0.1173
o,25.1857,0.1154,0.1743,0.0876
a,25.1965,0.1123,0.1957,0.0975
r,25.2058,0.0877,0.1584,0.0782
s,25.8868,0.0944,0.0977,0.1113
e,26.0272,0.0947,0.1973,0.1169
",",26.8461,0.0959,0.0933,0.1209
 ,27.3393,0.0969,0.1430,0.1024
b,27.8436,0.1190,0.1391,0.0845
u,28.0442,0.1095,0.1733,0.0874
t,28.0561,0.1075,0.1341,0.1165
 ,28.2373,0.0871,0.1618,0.0920
h,28.2450,0.1200,0.1058,0.1156
BACKSPACE,28.2579,0.0185,0.0513,0.0120
e,28.2560,0.0959,0.1976,0.1012
v,29.0290,0.0077,0.1006,0.0098
BACKSPACE,29.0419,0.0222,0.0493,0.0083
 ,29.0916,0.0114,0.1027,0.0072
s,29.1045,0.1163,0.0955,0.0853
a,29.7525,0.1111,0.1098,0.1006
n,30.1194,0.0963,0.1424,0.0829
g,30.2704,0.0906,0.1379,0.0799
 ,30.7062,0.1086,0.1295,0.1166
w,30.7166,0.0848,0.1853,0.0880
e,31.1828,0.1120,0.1600,0.0781
l,31.3645,0.1222,0.1289,0.0984
l,31.7716,0.1046,0.1329,0.1128
 ,31.8762,0.1106,0.1766,0.1083
e,32.5876,0.0863,0.1534,0.0931
n,32.6092,0.1178,0.1783,0.0864
o,32.6193,0.1069,0.1374,0.0829
u,32.7088,0.0976,0.1726,0.0820
g,33.0628,0.0949,0.1556,0.1162
h,33.0735,0.1017,0.1665,0.0938
",",33.7847,0.1183,0.1416,0.0862
 ,34.1933,0.0968,0.1514,0.1200
a,35.4118,0.0868,0.1511,0.1216
n,35.5938,0.0995,0.1188,0.1157
d,35.7189,0.0821,0.1964,0.0992
 ,35.7276,0.1153,0.1114,0.0862
c,36.2202,0.0092,0.0974,0.0128
BACKSPACE,36.2348,0.0187,0.0500,0.0094
i,36.2809,0.0071,0.1021,0.0109
t,37.2230,0.0977,0.1314,0.1042
 ,38.0976,0.0992,0.1749,0.1172
w,38.3553,0.1206,0.1153,0.0915
a,38.3679,0.1026,0.1293,0.1036
s,38.4200,0.1009,0.1143,0.1199
t,38.5435,0.0110,0.0990,0.0117
BACKSPACE,38.5696,0.0228,0.0478,0.0097
 ,38.6245,0.0122,0.1012,0.0124
a,39.5900,0.1158,0.1675,0.0938
 ,39.8221,0.1046,0.1391,0.0840
s,40.6879,0.0855,0.1620,0.0978
