Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0028,0.0113,0.0115,0.0203
p,0.0010,0.0093,0.1008,0.0095
BACKSPACE,0.0257,0.0207,0.0479,0.0100
I,0.0768,0.0097,0.0975,0.0125
SHIFT_UP,0.0950,0.0094,0.0094,0.0079
t,0.4926,0.0943,0.1679,0.1090
 ,0.8879,0.1151,0.1814,0.0842
w,0.9001,0.1162,0.1063,0.1099
a,1.6955,0.0938,0.1463,0.1072
s,1.7963,0.0901,0.1530,0.0934
a,3.2008,0.0086,0.0972,0.0089
BACKSPACE,3.2200,0.0212,0.0489,0.0116
 ,3.2667,0.0091,0.0997,0.0085
a,3.3422,0.1057,0.1843,0.0973
 ,3.3526,0.1066,0.1463,0.0949
b,3.4089,0.0910,0.1014,0.0990
r,3.7873,0.1051,0.1601,0.1029
i,4.4177,0.1006,0.1224,0.0927
g,4.8058,0.0860,0.1810,0.1066
h,5.5597,0.1200,0.1736,0.1037
v,5.5717,0.0073,0.1027,0.0084
BACKSPACE,5.5840,0.0202,0.0479,0.0087
t,5.6333,0.0125,0.0999,0.0085
 ,5.6443,0.1108,0.1944,0.0837
c,5.6518,0.0874,0.1976,0.0835
o,5.8502,0.1027,0.1551,0.1087
l,5.9903,0.0832,0.1418,0.1143
d,6.0024,0.0883,0.1586,0.1090
 ,6.2927,0.1161,0.1479,0.0958
a,7.6952,0.1066,0.1052,0.0898
y,7.7086,0.0964,0.1965,0.1123
 ,7.8899,0.1031,0.1204,0.0909
v,7.8993,0.0085,0.0991,0.0118
BACKSPACE,7.9234,0.0221,0.0505,0.0099
i,7.9748,0.0126,0.0982,0.0075
k,10.2338,0.0082,0.1011,0.0114
BACKSPACE,10.2604,0.0170,0.0519,0.0110
n,10.3100,0.0120,0.0988,0.0115
 ,10.7415,0.0941,0.1285,0.1068
SHIFT_DOWN,10.7505,0.0126,0.0123,0.0190
A,10.7501,0.0832,0.1604,0.0877
SHIFT_UP,10.7735,0.0087,0.0087,0.0106
p,11.6410,0.0827,0.1385,0.0928
e,12.2070,0.0083,0.0987,0.0125
BACKSPACE,12.2264,0.0206,0.0495,0.0072
r,12.2796,0.0116,0.0991,0.0119
BACKSPACE,12.2862,0.0183,0.0510,0.0079
i,12.8102,0.0926,0.1352,0.1159
l,13.9556,0.0998,0.1440,0.0907
",",13.9687,0.1171,0.1913,0.0865
 ,13.9769,0.0871,0.1167,0.1031
a,14.5848,0.1060,0.1237,0.1100
n,14.5946,0.0807,0.1342,0.1130
d,14.6042,0.0841,0.1416,0.0853
 ,15.1478,0.1101,0.1339,0.1087
t,15.9353,0.1179,0.0985,0.1140
h,17.7867,0.1112,0.1402,0.0940
e,17.7912,0.1118,0.1339,0.1118
 ,17.8040,0.0885,0.1295,0.1028
c,18.3804,0.0817,0.1245,0.0898
r,18.3923,0.0077,0.1006,0.0104
BACKSPACE,18.4049,0.0173,0.0495,0.0095
l,18.4590,0.0094,0.1021,0.0091
o,18.9371,0.0995,0.1214,0.0971
c,18.9512,0.0881,0.1670,0.0990
k,20.1935,0.1181,0.1192,0.0909
s,20.2036,0.1107,0.1865,0.1069
 ,20.4789,0.0930,0.1027,0.0928
w,21.1872,0.0852,0.1549,0.0866
e,21.3176,0.0947,0.1208,0.1134
r,21.3251,0.1133,0.1676,0.1002
m,21.6743,0.0128,0.1000,0.0124
BACKSPACE,21.6939,0.0207,0.0490,0.0071
e,21.7408,0.0107,0.0991,0.0096
 ,22.0166,0.1228,0.1171,0.1049
s,22.2876,0.0926,0.1682,0.0876
t,22.3145,0.0893,0.1591,0.0939
e,22.3240,0.0097,0.1003,0.0123
BACKSPACE,22.3514,0.0197,0.0490,0.0090
r,22.4052,0.0118,0.1006,0.0073
i,22.4155,0.1186,0.1734,0.1131
k,22.8672,0.1037,0.1177,0.1171
i,23.6980,0.0867,0.1594,0.0899
n,23.9127,0.0949,0.1059,0.0995
g,24.5199,0.1003,0.1113,0.1195
 ,25.1904,0.0961,0.1346,0.0897
u,26.5376,0.0128,0.0992,0.0098
BACKSPACE,26.5547,0.0216,0.0524,0.0114
t,26.6011,0.0130,0.0975,0.0111
a,26.6141,0.0090,0.0983,0.0098
BACKSPACE,26.6263,0.0172,0.0485,0.0083
h,26.6771,0.0085,0.1002,0.0124
i,27.2178,0.1154,0.0991,0.0995
r,27.9632,0.0903,0.1609,0.1005
t,27.9737,0.1153,0.1369,0.0978
e,28.5885,0.0833,0.1554,0.1132
e,29.8459,0.0856,0.1716,0.0950
n,30.3243,0.1141,0.1620,0.0849
.,30.3395,0.0977,0.1653,0.1052
 ,30.7645,0.0840,0.1351,0.0897
SHIFT_DOWN,31.8169,0.0088,0.0091,0.0229
g,31.8162,0.0090,0.1005,0.0117
BACKSPACE,31.8463,0.0198,0.0504,0.0085
W,31.8932,0.0115,0.1009,0.0094
SHIFT_UP,31.9145,0.0082,0.0105,0.0112
i,32.2514,0.1151,0.1616,0.0825
n,32.2622,0.1088,0.1556,0.0830
s,33.5935,0.1100,0.1044,0.0856
t,33.6050,0.0985,0.1864,0.0796
c,33.7664,0.0101,0.1015,0.0080
BACKSPACE,33.7859,0.0179,0.0486,0.0123
o,33.8375,0.0115,0.1023,0.0090
n,34.6618,0.1022,0.1734,0.1016
j,36.2920,0.0105,0.0980,0.0105
BACKSPACE,36.3118,0.0175,0.0475,0.0085
 ,36.3579,0.0088,0.0984,0.0081
