Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0109,0.0120,0.0180
I,0.0018,0.1081,0.1362,0.0795
SHIFT_UP,0.0192,0.0078,0.0094,0.0071
t,0.0093,0.1016,0.1775,0.0860
f,0.3114,0.0082,0.1024,0.0123
BACKSPACE,0.3419,0.0189,0.0520,0.0116
 ,0.3922,0.0125,0.0973,0.0128
w,0.9792,0.0868,0.1457,0.0955
a,1.4703,0.1010,0.1125,0.1005
e,2.1814,0.0086,0.1029,0.0091
BACKSPACE,2.1974,0.0198,0.0508,0.0081
s,2.2498,0.0122,0.1027,0.0126
 ,2.2616,0.0981,0.1070,0.0836
m,2.2716,0.0071,0.0998,0.0105
BACKSPACE,2.2860,0.0189,0.0470,0.0088
a,2.3406,0.0099,0.1029,0.0105
 ,3.1091,0.1150,0.1898,0.0962
b,3.1236,0.1159,0.1454,0.0861
r,3.1316,0.0953,0.1567,0.1112
i,3.4045,0.1098,0.1855,0.1106
g,3.4168,0.1158,0.1536,0.0969
h,3.5285,0.1054,0.1115,0.1076
t,3.9445,0.1163,0.1634,0.0976
 ,4.5296,0.1109,0.1003,0.1024
j,4.5953,0.0118,0.1010,0.0090
BACKSPACE,4.6217,0.0188,0.0528,0.0122
c,4.6724,0.0119,0.0981,0.0105
x,4.8936,0.0125,0.0999,0.0097
BACKSPACE,4.9067,0.0209,0.0509,0.0089
o,4.9547,0.0104,0.1015,0.0115
l,4.9639,0.0965,0.1052,0.1028
d,5.4643,0.0849,0.1181,0.1054
 ,6.3576,0.0977,0.1164,0.1128
d,6.3678,0.0891,0.1140,0.1162
a,6.8440,0.1100,0.1698,0.1108
y,6.8510,0.0944,0.1437,0.0811
 ,7.6764,0.0873,0.1386,0.0979
i,7.9118,0.1040,0.1040,0.1112
z,9.0486,0.0092,0.0978,0.0125
BACKSPACE,9.0772,0.0213,0.0472,0.0126
n,9.1253,0.0074,0.0990,0.0072
 ,10.7609,0.0917,0.1693,0.0810
SHIFT_DOWN,11.1042,0.0082,0.0087,0.0194
g,11.1042,0.0123,0.0970,0.0116
BACKSPACE,11.1367,0.0206,0.0499,0.0106
A,11.1849,0.0084,0.0990,0.0126
SHIFT_UP,11.2065,0.0104,0.0090,0.0122
p,11.6574,0.1050,0.1375,0.0878
r,11.6675,0.0811,0.1258,0.0794
i,11.7558,0.0981,0.1011,0.1157
l,11.7698,0.0856,0.1843,0.1042
",",11.7810,0.1123,0.1402,0.0825
 ,11.7866,0.1152,0.0925,0.0944
a,12.2436,0.0817,0.1401,0.1053
n,13.2353,0.1126,0.1316,0.0911
d,13.2482,0.0998,0.1924,0.1022
v,13.3462,0.0077,0.0981,0.0127
BACKSPACE,13.3592,0.0193,0.0523,0.0102
 ,13.4125,0.0109,0.0978,0.0105
BACKSPACE,13.4215,0.0181,0.0504,0.0117
t,14.5910,0.1188,0.1215,0.1062
h,15.5900,0.1029,0.1490,0.0819
e,15.5980,0.1053,0.0930,0.1045
s,17.0000,0.0082,0.1002,0.0114
BACKSPACE,17.0093,0.0171,0.0504,0.0095
 ,17.0575,0.0090,0.1006,0.0083
c,17.5957,0.0839,0.0916,0.1000
l,18.5880,0.1067,0.1591,0.0987
o,18.5987,0.0965,0.1422,0.1035
c,18.6096,0.0959,0.1140,0.1158
k,19.1768,0.0877,0.1388,0.1054
s,19.1857,0.0805,0.1769,0.0931
 ,19.4502,0.1167,0.1893,0.0784
w,19.4604,0.1180,0.1447,0.0876
e,19.4949,0.0978,0.1554,0.1122
r,19.6944,0.1066,0.1386,0.1141
e,19.7017,0.0808,0.1162,0.1057
 ,20.3746,0.0894,0.0889,0.0850
h,20.3809,0.0077,0.0970,0.0114
BACKSPACE,20.3935,0.0228,0.0521,0.0125
s,20.4430,0.0107,0.1004,0.0071
t,20.7311,0.1147,0.1325,0.1060
r,20.7402,0.1210,0.1607,0.1042
i,20.7514,0.1207,0.1049,0.0928
e,21.4947,0.0072,0.0993,0.0108
BACKSPACE,21.5221,0.0217,0.0484,0.0090
k,21.5730,0.0090,0.1016,0.0085
i,22.1232,0.1188,0.0887,0.1029
n,22.6442,0.1147,0.0997,0.0955
g,23.4000,0.1119,0.1801,0.1164
 ,23.4130,0.1007,0.1117,0.1043
t,23.7857,0.1172,0.1351,0.1096
h,24.5582,0.0900,0.1341,0.0884
i,25.6026,0.1088,0.0917,0.0952
r,26.5849,0.0844,0.1705,0.1215
c,26.9311,0.0076,0.0987,0.0101
BACKSPACE,26.9531,0.0185,0.0510,0.0092
t,27.0028,0.0107,0.0998,0.0122
e,27.2511,0.1130,0.0910,0.1071
e,27.5701,0.0879,0.1355,0.1021
n,28.2846,0.0958,0.1837,0.0969
.,28.5948,0.1065,0.1528,0.1082
 ,28.8293,0.0968,0.0926,0.1143
SHIFT_DOWN,28.9957,0.0086,0.0107,0.0203
W,28.9943,0.0831,0.1536,0.0931
SHIFT_UP,29.0133,0.0095,0.0117,0.0096
l,29.2411,0.0078,0.0985,0.0103
BACKSPACE,29.2563,0.0230,0.0500,0.0084
i,29.3050,0.0128,0.1019,0.0097
t,29.8137,0.0104,0.0971,0.0094
BACKSPACE,29.8340,0.0175,0.0476,0.0083
n,29.8825,0.0118,0.0972,0.0105
s,29.8977,0.1190,0.1889,0.0860
t,30.4817,0.1132,0.1486,0.1017
o,30.7053,0.1101,0.1628,0.0936
x,31.3497,0.0124,0.0997,0.0127
BACKSPACE,31.3685,0.0184,0.0514,0.0070
n,31.4167,0.0106,0.0986,0.0080
 ,32.0360,0.0991,0.1784,0.1067
SHIFT_DOWN,32.7752,0.0077,0.0079,0.0179
S,32.7806,0.0895,0.1085,0.0876
SHIFT_UP,32.7979,0.0086,0.0090,0.0088
m,33.6620,0.1039,0.1785,0.1065
i,33.9689,0.1140,0.1317,0.0818
t,33.9781,0.0921,0.1878,0.1148
u,35.2275,0.0098,0.1013,0.0112
BACKSPACE,35.2407,0.0205,0.0515,0.0113
h,35.2942,0.0094,0.1010,0.0076
",",35.4347,0.1144,0.1393,0.0847
 ,35.8129,0.1029,0.1408,0.1102
h,35.8218,0.1177,0.1647,0.1068
c,35.8332,0.0079,0.0971,0.0105
BACKSPACE,35.8467,0.0212,0.0498,0.0118
i,35.8991,0.0108,0.1000,0.0093
s,35.9104,0.1186,0.1313,0.1046
 ,36.0295,0.0978,0.1248,0.1179
c,36.4802,0.1174,0.1166,0.0903
h,36.5233,0.0984,0.1712,0.0834
i,36.5311,0.1010,0.1286,0.0839
n,36.5387,0.0978,0.1802,0.0794
 ,36.5509,0.1178,0.1755,0.1003
