Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0094,0.0095,0.0182
A,0.0010,0.1123,0.1637,0.1124
SHIFT_UP,0.0209,0.0104,0.0112,0.0115
f,0.9876,0.1096,0.0983,0.1071
u,0.9984,0.0124,0.0992,0.0071
BACKSPACE,1.0073,0.0175,0.0511,0.0114
t,1.0604,0.0106,0.1020,0.0110
e,2.0343,0.1119,0.0940,0.1182
w,2.0720,0.0120,0.0989,0.0071
BACKSPACE,2.1032,0.0184,0.0510,0.0082
r,2.1509,0.0111,0.0977,0.0074
k,3.5672,0.0079,0.0986,0.0075
BACKSPACE,3.5822,0.0171,0.0479,0.0088
 ,3.6312,0.0120,0.0971,0.0094
SHIFT_DOWN,5.2365,0.0113,0.0119,0.0218
x,5.2362,0.0117,0.1006,0.0129
BACKSPACE,5.2622,0.0225,0.0516,0.0109
I,5.3101,0.0116,0.1030,0.0127
SHIFT_UP,5.3340,0.0078,0.0083,0.0125
',5.3201,0.1068,0.1345,0.1060
d,6.6780,0.1147,0.1880,0.0994
 ,6.6902,0.1016,0.1026,0.1100
s,7.8675,0.1042,0.1694,0.0831
o,9.0556,0.0855,0.1540,0.0931
a,9.0672,0.0893,0.1726,0.1077
BACKSPACE,9.0793,0.0208,0.0498,0.0100
p,9.0807,0.0840,0.0903,0.0866
e,9.4950,0.0812,0.1322,0.0848
d,9.5043,0.1097,0.1752,0.1202
c,10.1821,0.0086,0.0996,0.0099
BACKSPACE,10.2095,0.0224,0.0513,0.0129
 ,10.2601,0.0083,0.0990,0.0092
d,10.2661,0.0104,0.0993,0.0129
BACKSPACE,10.2933,0.0184,0.0498,0.0109
m,10.3441,0.0084,0.1012,0.0082
k,10.6645,0.0071,0.0975,0.0098
BACKSPACE,10.6915,0.0205,0.0526,0.0072
y,10.7380,0.0079,0.1027,0.0102
s,10.8810,0.0846,0.1065,0.0789
e,11.5832,0.1145,0.0924,0.0926
l,12.3615,0.0825,0.0946,0.0919
f,13.2533,0.1147,0.1156,0.0844
h,14.1695,0.0078,0.0990,0.0089
BACKSPACE,14.1795,0.0219,0.0520,0.0126
 ,14.2332,0.0093,0.1004,0.0086
a,15.2918,0.1124,0.1951,0.0979
l,15.2999,0.1113,0.1572,0.1144
l,15.4719,0.1068,0.1768,0.1218
 ,16.2490,0.0849,0.1131,0.1144
o,16.4200,0.0991,0.1730,0.0842
q,16.4908,0.0111,0.1021,0.0126
BACKSPACE,16.5132,0.0204,0.0520,0.0086
v,16.5637,0.0098,0.0997,0.0081
e,16.7073,0.1168,0.1768,0.1218
r,16.7421,0.1153,0.1232,0.0806
 ,16.9833,0.0886,0.1220,0.1171
SHIFT_DOWN,16.9909,0.0117,0.0091,0.0179
I,16.9896,0.1152,0.1962,0.0969
SHIFT_UP,17.0108,0.0093,0.0125,0.0092
 ,16.9981,0.0826,0.0903,0.1091
f,17.3067,0.1148,0.1536,0.1124
x,18.4954,0.0092,0.0995,0.0084
BACKSPACE,18.5158,0.0224,0.0519,0.0087
e,18.5675,0.0077,0.1024,0.0094
r,19.5182,0.0085,0.1020,0.0084
BACKSPACE,19.5519,0.0220,0.0497,0.0074
l,19.5999,0.0098,0.1008,0.0093
t,19.6074,0.1080,0.1962,0.0826
 ,19.6202,0.0926,0.1006,0.0831
b,19.7115,0.1202,0.1083,0.0864
i,19.7203,0.0126,0.0976,0.0130
BACKSPACE,19.7384,0.0216,0.0476,0.0120
e,19.7882,0.0098,0.0982,0.0091
e,19.7956,0.0076,0.1016,0.0116
BACKSPACE,19.8185,0.0221,0.0498,0.0110
t,19.8700,0.0089,0.1014,0.0117
i,19.8797,0.0106,0.1003,0.0072
BACKSPACE,19.8914,0.0177,0.0515,0.0105
t,19.9439,0.0074,0.0978,0.0128
e,20.4165,0.0842,0.1152,0.0838
r,20.6921,0.1101,0.1829,0.1115
y,21.4558,0.0094,0.1006,0.0110
BACKSPACE,21.4756,0.0178,0.0508,0.0098
 ,21.5279,0.0129,0.0988,0.0090
l,21.9576,0.0084,0.0975,0.0114
BACKSPACE,21.9705,0.0229,0.0477,0.0115
a,22.0225,0.0128,0.0974,0.0113
n,22.0347,0.1124,0.1553,0.0965
d,22.0400,0.1135,0.1332,0.0845
 ,22.5276,0.1004,0.1414,0.0973
l,23.1262,0.1146,0.1594,0.1026
a,23.7336,0.0924,0.1242,0.0813
y,25.4266,0.0825,0.1851,0.0893
 ,25.4394,0.1005,0.1612,0.1082
d,25.4481,0.0790,0.0976,0.0989
f,26.1556,0.0095,0.0978,0.0091
BACKSPACE,26.1721,0.0221,0.0482,0.0100
o,26.2265,0.0071,0.0980,0.0104
