Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0023,0.0072,0.0089,0.0222
I,0.0010,0.0884,0.1544,0.0979
SHIFT_UP,0.0208,0.0115,0.0116,0.0113
t,0.0096,0.0822,0.1740,0.0844
 ,1.7907,0.1146,0.1936,0.1190
w,2.1668,0.1084,0.1824,0.1056
a,2.8346,0.1110,0.1028,0.1208
s,3.8743,0.0885,0.0977,0.0907
 ,4.4604,0.0916,0.1620,0.0963
a,4.6017,0.0917,0.0981,0.1076
 ,5.7693,0.1157,0.1113,0.0954
b,5.7829,0.1169,0.1136,0.0943
l,6.6231,0.0078,0.1015,0.0106
BACKSPACE,6.6371,0.0203,0.0523,0.0083
r,6.6851,0.0114,0.1010,0.0084
i,6.6974,0.0866,0.1142,0.1049
u,6.7036,0.0082,0.0998,0.0097
BACKSPACE,6.7324,0.0220,0.0481,0.0095
g,6.7794,0.0110,0.1004,0.0097
h,7.3150,0.0974,0.1182,0.1021
n,7.3234,0.0114,0.0982,0.0087
BACKSPACE,7.3459,0.0206,0.0492,0.0106
t,7.3967,0.0093,0.0993,0.0085
r,7.4063,0.0116,0.1016,0.0125
BACKSPACE,7.4180,0.0208,0.0527,0.0099
 ,7.4699,0.0083,0.1022,0.0075
c,7.6337,0.0968,0.1941,0.1133
o,7.8625,0.1169,0.0985,0.1159
a,7.8732,0.0111,0.0988,0.0077
BACKSPACE,7.8842,0.0192,0.0480,0.0098
l,7.9348,0.0079,0.1030,0.0096
m,8.9891,0.0089,0.1009,0.0116
BACKSPACE,9.0017,0.0200,0.0488,0.0084
d,9.0548,0.0076,0.1012,0.0075
 ,9.3646,0.1036,0.1148,0.1099
d,9.3771,0.0883,0.1658,0.0969
a,9.6522,0.0078,0.1014,0.0113
BACKSPACE,9.6616,0.0182,0.0488,0.0108
y,9.7123,0.0125,0.1008,0.0112
 ,10.7753,0.1187,0.1093,0.1002
x,11.9073,0.0079,0.1013,0.0080
BACKSPACE,11.9343,0.0210,0.0474,0.0100
i,11.9842,0.0113,0.1022,0.0101
n,11.9976,0.1095,0.1184,0.0833
 ,12.4212,0.1074,0.1318,0.1039
SHIFT_DOWN,13.3187,0.0078,0.0083,0.0219
A,13.3215,0.0863,0.1215,0.0826
SHIFT_UP,13.3377,0.0086,0.0083,0.0098
r,13.5173,0.0115,0.1015,0.0108
BACKSPACE,13.5358,0.0181,0.0526,0.0113
p,13.5856,0.0076,0.1005,0.0074
e,13.5912,0.0088,0.0989,0.0091
BACKSPACE,13.6175,0.0175,0.0520,0.0126
r,13.6663,0.0105,0.1007,0.0097
i,15.0380,0.1067,0.1113,0.1086
l,16.3200,0.0963,0.1715,0.1171
",",16.3328,0.0973,0.1703,0.0979
r,17.2725,0.0124,0.0987,0.0109
BACKSPACE,17.2890,0.0186,0.0523,0.0120
 ,17.3398,0.0116,0.0989,0.0127
a,17.3458,0.1028,0.0992,0.0854
n,17.3558,0.0894,0.1544,0.0900
d,17.6701,0.1110,0.1310,0.0922
 ,17.9005,0.0923,0.1611,0.1092
t,17.9099,0.0869,0.1631,0.0894
a,18.3286,0.0103,0.0974,0.0075
BACKSPACE,18.3503,0.0215,0.0513,0.0110
h,18.4014,0.0094,0.0977,0.0108
e,19.7266,0.1140,0.1419,0.0891
 ,20.8804,0.1108,0.1915,0.0872
z,20.8916,0.0104,0.0974,0.0106
BACKSPACE,20.9176,0.0195,0.0489,0.0086
c,20.9710,0.0097,0.0984,0.0099
l,20.9783,0.1079,0.1512,0.1142
o,20.9874,0.0851,0.0992,0.0901
c,20.9977,0.0797,0.1118,0.0852
