Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0027,0.0105,0.0083,0.0179
j,0.0010,0.0118,0.1014,0.0072
BACKSPACE,0.0296,0.0177,0.0496,0.0078
I,0.0785,0.0124,0.1005,0.0083
SHIFT_UP,0.0982,0.0110,0.0098,0.0108
t,0.2888,0.0976,0.1815,0.0817
 ,0.4642,0.0908,0.0939,0.0934
w,1.0435,0.1013,0.0930,0.1184
a,1.0539,0.0858,0.1635,0.1038
s,1.4238,0.1156,0.1014,0.1154
 ,1.7435,0.0913,0.1583,0.0847
a,2.4369,0.1161,0.1172,0.1040
 ,2.9139,0.0904,0.1928,0.1041
b,2.9958,0.1064,0.1661,0.1140
r,3.0075,0.0983,0.1704,0.1133
i,3.2310,0.1061,0.1539,0.1051
g,3.3340,0.1140,0.1568,0.0830
h,3.3461,0.0968,0.1285,0.0817
t,3.5660,0.0823,0.1496,0.1035
 ,3.7720,0.0838,0.1216,0.0872
c,4.0631,0.1146,0.1262,0.1184
o,4.2409,0.0875,0.1690,0.1054
l,4.4912,0.0951,0.1762,0.1000
d,5.2112,0.1068,0.1506,0.0933
u,5.4028,0.0091,0.1029,0.0117
BACKSPACE,5.4232,0.0210,0.0504,0.0101
 ,5.4724,0.0090,0.1027,0.0128
d,5.6029,0.1057,0.1896,0.1191
a,5.8583,0.0909,0.1377,0.0938
y,6.2244,0.0894,0.0931,0.0898
 ,6.3888,0.0835,0.1288,0.0896
i,7.3339,0.1131,0.0908,0.0855
n,7.7044,0.1076,0.1804,0.1115
 ,8.0274,0.0902,0.1957,0.0920
SHIFT_DOWN,8.0424,0.0118,0.0118,0.0182
q,8.0372,0.0082,0.1012,0.0071
BACKSPACE,8.0631,0.0196,0.0485,0.0116
A,8.1093,0.0102,0.0996,0.0116
SHIFT_UP,8.1341,0.0126,0.0111,0.0126
p,8.5654,0.0960,0.1247,0.0933
r,8.7878,0.1101,0.1319,0.1199
i,8.7956,0.0901,0.1797,0.1100
l,8.9578,0.1165,0.1028,0.1132
",",9.1282,0.1008,0.1563,0.1028
 ,9.4473,0.1196,0.1992,0.1063
m,9.8761,0.0080,0.0989,0.0087
BACKSPACE,9.8970,0.0227,0.0510,0.0089
a,9.9490,0.0101,0.1029,0.0129
n,10.1557,0.0915,0.1049,0.0859
d,10.5046,0.0900,0.1272,0.1121
 ,11.1888,0.0841,0.1773,0.0996
t,11.2013,0.1005,0.1147,0.1164
y,11.6029,0.0104,0.1002,0.0074
BACKSPACE,11.6236,0.0188,0.0501,0.0109
h,11.6772,0.0085,0.1027,0.0086
e,11.9561,0.1046,0.1942,0.0841
 ,12.3322,0.1097,0.1006,0.1052
BACKSPACE,12.3410,0.0173,0.0489,0.0100
c,12.4254,0.1162,0.1972,0.1190
l,12.7679,0.0983,0.1704,0.1094
o,12.9908,0.0914,0.0916,0.1048
c,12.9980,0.1026,0.1866,0.1010
k,13.2255,0.1020,0.1935,0.0846
s,13.5324,0.0916,0.1173,0.1057
 ,13.8417,0.0980,0.1079,0.1041
w,14.1611,0.1166,0.1707,0.0813
e,14.5685,0.0958,0.1012,0.0866
r,14.6126,0.0823,0.1339,0.1136
e,14.9278,0.1143,0.1531,0.0915
 ,14.9866,0.1097,0.1037,0.0902
s,15.1628,0.1057,0.2018,0.1176
v,15.2258,0.0107,0.0993,0.0120
BACKSPACE,15.2464,0.0176,0.0488,0.0108
t,15.2937,0.0071,0.0970,0.0103
r,15.7359,0.1180,0.1525,0.0936
i,16.3109,0.1028,0.1247,0.1216
k,16.3197,0.0864,0.1318,0.0797
i,16.6700,0.0846,0.1455,0.1172
n,16.7806,0.0815,0.1858,0.0883
g,17.0355,0.0854,0.1688,0.0974
 ,17.3320,0.1111,0.1285,0.0823
t,17.8269,0.1173,0.1774,0.1087
h,18.3059,0.0991,0.1480,0.1033
i,18.6194,0.1028,0.1913,0.1008
r,18.9186,0.1169,0.1881,0.1044
t,19.3494,0.0959,0.1707,0.1088
e,19.5007,0.0913,0.1979,0.1118
e,19.5086,0.0847,0.1852,0.0978
n,19.8102,0.0812,0.1513,0.1042
.,19.8189,0.0887,0.1120,0.0886
 ,20.4798,0.0847,0.0956,0.1173
SHIFT_DOWN,20.7272,0.0113,0.0078,0.0184
W,20.7319,0.0996,0.0882,0.0945
SHIFT_UP,20.7505,0.0091,0.0077,0.0111
i,20.9992,0.0806,0.1571,0.1180
n,21.4129,0.1171,0.1277,0.1142
s,21.4201,0.1148,0.1338,0.1153
t,21.7028,0.0925,0.1627,0.0840
o,22.1936,0.1107,0.1950,0.0900
n,22.2965,0.0848,0.0921,0.1006
 ,22.3048,0.1150,0.1022,0.1010
SHIFT_DOWN,22.3190,0.0124,0.0087,0.0199
S,22.3185,0.0961,0.1809,0.0967
SHIFT_UP,22.3342,0.0104,0.0108,0.0122
m,22.6235,0.0793,0.1201,0.0979
i,23.1830,0.0881,0.0919,0.1106
t,23.1939,0.1150,0.1539,0.1206
h,23.7357,0.1043,0.1853,0.0958
g,24.2603,0.0091,0.0985,0.0117
BACKSPACE,24.2779,0.0209,0.0501,0.0130
",",24.3311,0.0102,0.0984,0.0099
 ,24.3402,0.0983,0.0927,0.1028
h,24.4662,0.0904,0.1555,0.1155
i,24.6744,0.1040,0.1529,0.1148
s,24.9160,0.0995,0.1983,0.0809
 ,25.0311,0.0834,0.1143,0.1133
c,25.1381,0.1091,0.1285,0.0933
h,25.1478,0.1171,0.1275,0.1185
i,25.5288,0.0926,0.1478,0.1185
n,26.2222,0.0972,0.1659,0.0968
 ,26.3933,0.0815,0.0980,0.1142
n,26.9310,0.0934,0.1696,0.1165
u,27.5005,0.0886,0.0988,0.1166
z,27.7403,0.0868,0.1102,0.1163
z,28.0525,0.1006,0.1040,0.0980
l,28.5873,0.1086,0.1223,0.0900
e,28.8077,0.0922,0.1048,0.0891
d,28.8157,0.0904,0.1280,0.1053
 ,29.1375,0.1007,0.1725,0.1090
i,29.5660,0.1092,0.1963,0.1177
n,29.5764,0.1168,0.1913,0.1168
t,29.5952,0.1074,0.1989,0.0820
o,29.7710,0.0912,0.1401,0.1118
 ,30.5559,0.1087,0.1752,0.0785
h,30.5997,0.0908,0.1798,0.1038
i,30.6090,0.1059,0.1095,0.1105
s,30.6902,0.0834,0.1962,0.1169
 ,31.2099,0.1115,0.1969,0.1126
b,31.6533,0.0838,0.1498,0.1023
r,31.6633,0.1196,0.1154,0.0928
e,32.1435,0.0969,0.1215,0.0999
a,32.4880,0.0809,0.0914,0.0842
s,32.5027,0.0823,0.1773,0.0837
t,32.5083,0.1177,0.1253,0.1123
 ,32.6737,0.1024,0.1319,0.1089
i,33.1897,0.1010,0.1755,0.1111
n,33.8529,0.0980,0.1383,0.0820
 ,33.9202,0.0877,0.1615,0.0813
a,34.6585,0.0999,0.1562,0.1029
n,35.2706,0.1109,0.1701,0.1152
 ,35.4792,0.0839,0.1778,0.0856
e,35.4903,0.0959,0.1002,0.1093
f,36.0975,0.0855,0.1126,0.0855
f,36.2654,0.1083,0.1318,0.0813
o,36.5471,0.1201,0.1922,0.1003
r,37.1353,0.1141,0.1741,0.0960
t,37.4318,0.1083,0.1058,0.1007
 ,37.8145,0.0790,0.1764,0.0827
t,37.9703,0.1125,0.1031,0.1135
o,37.9825,0.0972,0.0962,0.1048
 ,38.4882,0.1153,0.0879,0.1055
e,38.9225,0.1152,0.0982,0.0953
s,38.9282,0.0981,0.1300,0.1012
c,38.9428,0.1142,0.1417,0.1130
a,39.3207,0.1163,0.0913,0.0828
p,39.8951,0.1038,0.1668,0.0970
e,39.9046,0.0934,0.1442,0.0941
 ,40.1114,0.1071,0.1313,0.0850
t,40.2058,0.0972,0.1391,0.1019
h,41.0272,0.0968,0.0926,0.1059
e,41.4583,0.1047,0.1984,0.0901
 ,41.9487,0.0867,0.1233,0.0969
v,42.0414,0.1050,0.0972,0.1039
i,42.0514,0.0851,0.0916,0.1121
l,42.2080,0.0871,0.1055,0.1103
e,42.3778,0.1006,0.1356,0.0800
 ,42.6936,0.1052,0.1361,0.0881
w,43.1581,0.0817,0.1797,0.1151
i,43.5403,0.1193,0.1911,0.0882
n,44.0990,0.0849,0.1457,0.0999
d,44.8979,0.1093,0.1563,0.0974
",",45.2906,0.0860,0.1310,0.1185
 ,45.5721,0.0969,0.1120,0.0907
s,46.1342,0.0868,0.1719,0.1051
l,46.5619,0.1054,0.1136,0.0927
i,46.9781,0.1084,0.1089,0.0838
p,46.9933,0.1120,0.0891,0.0954
p,47.0053,0.0834,0.1891,0.1216
e,47.3598,0.0889,0.1760,0.1037
d,47.3694,0.0854,0.1130,0.0847
 ,47.5161,0.1073,0.0994,0.1061
x,47.8680,0.0073,0.0975,0.0099
