Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0107,0.0094,0.0203
I,0.0010,0.1034,0.0998,0.1061
SHIFT_UP,0.0214,0.0124,0.0109,0.0088
k,0.0111,0.0122,0.1028,0.0081
BACKSPACE,0.0229,0.0222,0.0524,0.0071
t,0.0699,0.0121,0.0994,0.0083
 ,0.0844,0.1162,0.1505,0.1139
w,0.4973,0.1188,0.1263,0.0938
p,1.6274,0.0103,0.1029,0.0091
BACKSPACE,1.6502,0.0197,0.0471,0.0082
a,1.7034,0.0081,0.1027,0.0110
s,1.8400,0.0914,0.1840,0.0929
g,2.3008,0.0080,0.0982,0.0088
BACKSPACE,2.3247,0.0224,0.0525,0.0127
 ,2.3749,0.0095,0.0971,0.0127
a,2.4160,0.0793,0.1563,0.0816
 ,2.8208,0.1010,0.1018,0.1032
b,3.1661,0.1105,0.0974,0.0879
r,3.1780,0.1112,0.1083,0.0867
i,3.2240,0.0806,0.1646,0.1110
BACKSPACE,3.2333,0.0184,0.0484,0.0117
g,4.0142,0.0969,0.1800,0.0918
h,4.1445,0.1169,0.1292,0.1058
t,4.1557,0.1154,0.1919,0.0864
 ,5.0353,0.1029,0.0975,0.0861
c,5.7455,0.1115,0.0903,0.0864
o,5.8548,0.0990,0.1287,0.0907
v,6.0745,0.0104,0.0986,0.0110
BACKSPACE,6.0836,0.0205,0.0495,0.0071
l,6.1363,0.0071,0.1001,0.0110
d,6.1424,0.0915,0.1796,0.1074
 ,6.6240,0.1113,0.1132,0.0980
d,6.6784,0.1029,0.1133,0.1086
a,6.6892,0.1042,0.1107,0.0972
y,7.1430,0.1217,0.1662,0.0975
s,7.5315,0.0083,0.0989,0.0097
BACKSPACE,7.5517,0.0185,0.0515,0.0094
 ,7.6017,0.0129,0.1025,0.0086
i,7.6088,0.1068,0.1972,0.0842
n,7.6189,0.0837,0.1841,0.0982
q,7.7295,0.0106,0.0990,0.0103
BACKSPACE,7.7412,0.0225,0.0497,0.0100
 ,7.7951,0.0095,0.0974,0.0079
SHIFT_DOWN,8.7186,0.0087,0.0117,0.0174
A,8.7195,0.1191,0.1980,0.1169
SHIFT_UP,8.7359,0.0079,0.0098,0.0076
p,8.7933,0.1164,0.1006,0.1145
r,9.0008,0.1188,0.1268,0.1209
i,9.3339,0.0916,0.1868,0.0825
y,9.4438,0.0089,0.0999,0.0109
BACKSPACE,9.4611,0.0181,0.0512,0.0089
l,9.5126,0.0121,0.0978,0.0103
",",9.5237,0.0844,0.1638,0.0939
 ,10.4295,0.1044,0.1373,0.1046
a,10.5608,0.0822,0.1250,0.1111
n,10.6324,0.1188,0.1668,0.0963
d,10.9180,0.0895,0.1918,0.0831
n,10.9295,0.0128,0.0983,0.0100
BACKSPACE,10.9461,0.0200,0.0520,0.0096
 ,10.9999,0.0086,0.1006,0.0071
t,11.0978,0.0975,0.0998,0.1010
h,11.2365,0.0949,0.1075,0.0976
e,11.3932,0.1145,0.1230,0.0956
h,11.8841,0.0118,0.0988,0.0085
BACKSPACE,11.9104,0.0180,0.0518,0.0110
 ,11.9599,0.0089,0.1017,0.0091
c,12.1218,0.0959,0.1340,0.0842
l,12.1951,0.0940,0.1525,0.0906
o,12.5171,0.1033,0.1905,0.0923
c,13.2548,0.0994,0.1433,0.0960
z,13.2622,0.0103,0.1001,0.0096
BACKSPACE,13.2838,0.0205,0.0483,0.0086
k,13.3385,0.0106,0.0991,0.0071
s,13.6880,0.0923,0.1067,0.0955
 ,13.7651,0.1158,0.1561,0.1098
w,13.7773,0.0972,0.1203,0.0901
e,14.9341,0.0924,0.1808,0.0841
t,14.9440,0.0123,0.0988,0.0080
BACKSPACE,14.9599,0.0186,0.0523,0.0089
r,15.0074,0.0090,0.0977,0.0090
e,15.2902,0.1068,0.1523,0.0868
 ,15.6878,0.1163,0.1909,0.1014
s,16.5993,0.0869,0.1772,0.0988
t,16.6137,0.0960,0.1073,0.0956
r,16.8867,0.0901,0.1243,0.0889
i,16.9001,0.1129,0.1484,0.1060
k,16.9073,0.0882,0.1733,0.0860
i,17.4672,0.0884,0.1108,0.1094
n,17.6732,0.0787,0.1532,0.1128
g,18.0871,0.0835,0.1419,0.1132
 ,18.7315,0.0855,0.1914,0.1079
t,19.4863,0.0913,0.1917,0.0944
h,19.9598,0.1184,0.1758,0.1081
i,20.1655,0.0927,0.1457,0.0962
r,20.1789,0.0961,0.1942,0.1171
t,20.4242,0.0974,0.1482,0.1124
w,20.9496,0.0101,0.1007,0.0071
BACKSPACE,20.9754,0.0205,0.0525,0.0075
e,21.0290,0.0100,0.0984,0.0113
e,21.0365,0.0825,0.1583,0.1187
n,21.0508,0.1066,0.1337,0.1067
.,21.0576,0.1035,0.1974,0.1180
BACKSPACE,21.0695,0.0177,0.0499,0.0090
 ,21.8802,0.0918,0.1963,0.1115
SHIFT_DOWN,21.9055,0.0097,0.0084,0.0220
W,21.9072,0.0912,0.1829,0.1041
SHIFT_UP,21.9270,0.0124,0.0101,0.0074
i,21.9124,0.1153,0.1574,0.0955
n,22.1308,0.0888,0.0975,0.0907
s,22.5262,0.1094,0.1825,0.0783
t,22.6513,0.0942,0.1296,0.0806
o,22.6620,0.1101,0.1462,0.1152
n,22.6739,0.1023,0.1490,0.1080
 ,23.6671,0.0875,0.1755,0.1149
SHIFT_DOWN,23.6763,0.0099,0.0083,0.0229
S,23.6737,0.1220,0.1752,0.0943
SHIFT_UP,23.6923,0.0079,0.0130,0.0082
m,24.3154,0.1007,0.1388,0.0833
n,24.3388,0.0077,0.1015,0.0085
BACKSPACE,24.3479,0.0171,0.0517,0.0076
i,24.3998,0.0130,0.1021,0.0080
t,24.8469,0.1053,0.1607,0.0942
h,25.2513,0.0885,0.1412,0.1199
",",25.3184,0.1161,0.1384,0.0818
 ,25.3292,0.0962,0.0979,0.1029
h,25.4664,0.1045,0.1638,0.1002
i,25.4754,0.1176,0.1256,0.0968
s,25.8645,0.0945,0.1763,0.0940
 ,25.8776,0.1034,0.1637,0.1029
