Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0111,0.0083,0.0206
O,0.0010,0.0983,0.1316,0.1077
SHIFT_UP,0.0222,0.0128,0.0110,0.0116
l,0.0088,0.0819,0.1837,0.0911
d,0.5270,0.0843,0.1045,0.1191
 ,0.7491,0.0919,0.1954,0.1077
SHIFT_DOWN,1.2215,0.0092,0.0085,0.0200
h,1.2200,0.0103,0.0987,0.0129
BACKSPACE,1.2398,0.0194,0.0520,0.0128
M,1.2941,0.0108,0.0996,0.0073
SHIFT_UP,1.3139,0.0073,0.0075,0.0085
a,1.3015,0.0833,0.0977,0.1043
j,1.3380,0.0825,0.1770,0.1067
o,1.3501,0.1186,0.1711,0.1035
r,3.1120,0.0878,0.0996,0.0818
BACKSPACE,3.1193,0.0218,0.0483,0.0078
 ,4.0855,0.1159,0.1037,0.0904
y,4.5095,0.0089,0.0984,0.0108
BACKSPACE,4.5218,0.0193,0.0473,0.0081
c,4.5730,0.0116,0.0973,0.0071
l,4.9811,0.1161,0.0975,0.1211
e,4.9945,0.1154,0.1079,0.1006
a,5.1891,0.1112,0.1642,0.0874
w,5.8947,0.0103,0.1021,0.0111
BACKSPACE,5.9188,0.0216,0.0529,0.0079
r,5.9689,0.0085,0.1016,0.0104
x,5.9814,0.0102,0.1023,0.0124
BACKSPACE,6.0054,0.0200,0.0515,0.0085
e,6.0544,0.0110,0.1007,0.0097
d,6.1565,0.1054,0.1363,0.1177
 ,6.1639,0.0947,0.1143,0.1149
g,7.4342,0.0089,0.0991,0.0106
BACKSPACE,7.4596,0.0186,0.0499,0.0087
h,7.5117,0.0102,0.1000,0.0118
z,7.7777,0.0125,0.0979,0.0126
BACKSPACE,7.7936,0.0182,0.0497,0.0101
i,7.8452,0.0088,0.0993,0.0080
s,8.1444,0.0857,0.1070,0.0845
 ,8.1554,0.0940,0.1575,0.0874
u,9.2449,0.0094,0.0989,0.0088
BACKSPACE,9.2677,0.0198,0.0515,0.0124
t,9.3188,0.0111,0.0971,0.0125
c,9.6869,0.0113,0.1028,0.0094
BACKSPACE,9.7016,0.0187,0.0489,0.0098
h,9.7474,0.0079,0.0978,0.0075
