Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0112,0.0117,0.0203
A,0.0017,0.0968,0.1305,0.1092
SHIFT_UP,0.0195,0.0083,0.0099,0.0083
f,0.0092,0.0816,0.1403,0.1065
t,0.3036,0.1093,0.1374,0.0970
e,0.4326,0.0860,0.1094,0.0999
r,0.5952,0.1006,0.1107,0.1110
 ,0.9689,0.1052,0.1471,0.1188
SHIFT_DOWN,0.9746,0.0113,0.0075,0.0217
I,0.9777,0.0975,0.1689,0.0899
SHIFT_UP,0.9984,0.0084,0.0079,0.0072
',1.5598,0.0933,0.1517,0.0895
x,2.4857,0.0104,0.0982,0.0114
BACKSPACE,2.4977,0.0186,0.0493,0.0120
d,2.5480,0.0095,0.0992,0.0096
 ,2.5601,0.0992,0.1073,0.1128
s,2.9440,0.0806,0.0952,0.0934
o,2.9530,0.1170,0.1537,0.0875
a,3.0365,0.0975,0.1395,0.0965
p,3.5471,0.1091,0.1074,0.1085
e,4.2333,0.0844,0.1073,0.1077
d,4.3235,0.0877,0.1628,0.0916
 ,4.4431,0.1186,0.0950,0.0879
d,4.4574,0.0097,0.1002,0.0122
BACKSPACE,4.4767,0.0217,0.0497,0.0087
m,4.5264,0.0091,0.1000,0.0085
y,4.5331,0.0914,0.1618,0.0845
s,4.5477,0.0933,0.0958,0.1033
e,4.7602,0.0827,0.1565,0.1095
l,4.7686,0.0868,0.1269,0.0868
k,5.4750,0.0074,0.0979,0.0130
BACKSPACE,5.4988,0.0214,0.0474,0.0109
f,5.5519,0.0116,0.1017,0.0082
e,5.5620,0.0075,0.0970,0.0130
BACKSPACE,5.5680,0.0189,0.0529,0.0100
 ,5.6222,0.0096,0.1011,0.0130
a,6.3453,0.1128,0.1687,0.0975
l,6.5916,0.1166,0.1760,0.1087
l,6.6744,0.0808,0.1431,0.1085
 ,6.9984,0.1123,0.0965,0.1184
j,7.1712,0.0117,0.0981,0.0114
BACKSPACE,7.1928,0.0184,0.0530,0.0124
o,7.2406,0.0094,0.1010,0.0128
v,7.3763,0.0921,0.1447,0.0876
e,7.3879,0.0802,0.1087,0.0869
r,8.1196,0.1040,0.1025,0.0896
 ,8.7053,0.0939,0.1618,0.0961
SHIFT_DOWN,9.6103,0.0078,0.0113,0.0207
I,9.6132,0.1094,0.0964,0.0842
SHIFT_UP,9.6287,0.0117,0.0112,0.0071
 ,9.9813,0.1100,0.1697,0.0841
f,10.3860,0.1029,0.1689,0.0987
e,10.5412,0.0873,0.1603,0.1136
l,11.4992,0.1075,0.0946,0.0901
t,11.5072,0.1135,0.1501,0.1188
 ,11.5183,0.0993,0.1042,0.1119
b,12.2018,0.1068,0.1091,0.0973
b,12.6460,0.0125,0.1025,0.0124
BACKSPACE,12.6663,0.0211,0.0517,0.0079
e,12.7174,0.0074,0.1024,0.0086
t,12.9514,0.1010,0.1044,0.0824
t,12.9583,0.1033,0.1946,0.1102
e,13.6324,0.1035,0.1543,0.1125
BACKSPACE,13.6400,0.0209,0.0520,0.0071
r,14.0099,0.0909,0.1580,0.1053
 ,14.4972,0.0972,0.1764,0.0954
a,15.1166,0.0786,0.0993,0.1137
n,15.2803,0.1163,0.1086,0.1110
w,16.0897,0.0095,0.0992,0.0073
BACKSPACE,16.1066,0.0230,0.0508,0.0096
d,16.1546,0.0125,0.1020,0.0127
f,16.6251,0.0090,0.1005,0.0106
BACKSPACE,16.6480,0.0194,0.0477,0.0101
 ,16.6969,0.0098,0.1006,0.0096
l,16.7040,0.1067,0.1493,0.0985
a,17.5264,0.1145,0.1318,0.0926
y,17.5335,0.1102,0.1610,0.0972
 ,18.1398,0.0856,0.1937,0.0821
d,18.5926,0.0809,0.1471,0.0989
o,18.6026,0.1039,0.1059,0.1035
j,18.6132,0.0107,0.1011,0.0125
BACKSPACE,18.6398,0.0193,0.0476,0.0110
w,18.6881,0.0087,0.0970,0.0094
n,18.6996,0.0899,0.1610,0.1129
 ,19.1993,0.0833,0.1855,0.1002
i,19.4448,0.1021,0.1685,0.1174
n,19.4561,0.1136,0.1021,0.1088
t,19.4653,0.0086,0.0992,0.0082
BACKSPACE,19.4745,0.0176,0.0517,0.0111
 ,19.5261,0.0093,0.0995,0.0105
t,19.9096,0.0968,0.1185,0.1044
h,20.2926,0.1092,0.1560,0.0913
y,20.7571,0.0104,0.0983,0.0110
BACKSPACE,20.7867,0.0193,0.0475,0.0122
e,20.8382,0.0083,0.1025,0.0077
m,22.0616,0.0071,0.1006,0.0094
BACKSPACE,22.0890,0.0217,0.0497,0.0105
 ,22.1384,0.0084,0.1016,0.0081
b,22.5704,0.1152,0.1747,0.0955
a,23.2569,0.0938,0.1609,0.1115
t,23.2712,0.0938,0.1711,0.0824
h,23.2819,0.0970,0.1824,0.0932
 ,23.2912,0.1045,0.1641,0.1172
t,23.6880,0.1133,0.1083,0.0906
o,23.6993,0.1198,0.1385,0.1103
 ,23.9821,0.0811,0.1542,0.1026
t,24.5146,0.1063,0.1121,0.0818
h,25.2044,0.1153,0.1625,0.1046
i,25.2112,0.1042,0.1348,0.1003
n,26.3012,0.0815,0.1390,0.0837
BACKSPACE,26.3087,0.0227,0.0498,0.0113
x,26.9189,0.0077,0.1000,0.0102
BACKSPACE,26.9347,0.0190,0.0488,0.0076
k,26.9830,0.0129,0.0989,0.0124
m,27.4785,0.0110,0.1016,0.0117
BACKSPACE,27.4992,0.0217,0.0481,0.0116
 ,27.5472,0.0071,0.1011,0.0103
a,27.5594,0.0986,0.1762,0.1193
b,28.1185,0.1019,0.1443,0.1119
o,28.1299,0.1116,0.1253,0.1141
u,28.1389,0.1057,0.1302,0.1015
t,28.5550,0.1169,0.1960,0.0848
 ,28.9296,0.0964,0.1034,0.1132
m,29.1427,0.0802,0.1001,0.0914
y,29.7401,0.0898,0.1602,0.0815
 ,30.6721,0.0935,0.1916,0.0833
s,30.8570,0.0948,0.1839,0.1011
e,30.8655,0.1132,0.1495,0.1075
v,31.6865,0.1132,0.1432,0.1140
e,32.4915,0.0941,0.1432,0.0970
b,33.0361,0.0092,0.1005,0.0091
BACKSPACE,33.0683,0.0208,0.0524,0.0114
n,33.1143,0.0118,0.1014,0.0082
n,33.1253,0.0077,0.1020,0.0092
BACKSPACE,33.1535,0.0185,0.0501,0.0092
t,33.2034,0.0130,0.1019,0.0075
e,34.3268,0.1079,0.1388,0.0902
e,34.8362,0.0930,0.1415,0.0889
n,34.8490,0.1131,0.1158,0.0933
 ,34.8586,0.0893,0.1172,0.0971
q,34.8932,0.1009,0.1304,0.0796
u,35.5984,0.1106,0.1082,0.1070
i,36.1652,0.1008,0.1077,0.0792
d,36.1765,0.0825,0.1256,0.1101
 ,36.1830,0.1096,0.1083,0.1031
y,36.1953,0.0101,0.0996,0.0090
BACKSPACE,36.2180,0.0186,0.0527,0.0120
a,36.2685,0.0107,0.0996,0.0097
n,36.2744,0.1001,0.1264,0.0854
d,36.4567,0.0896,0.0943,0.1125
 ,36.5852,0.1072,0.1507,0.0959
w,37.0395,0.0800,0.1733,0.1108
h,37.5688,0.1181,0.1119,0.1034
a,38.3139,0.1142,0.1623,0.0856
u,38.3219,0.0074,0.0994,0.0114
BACKSPACE,38.3406,0.0204,0.0500,0.0096
t,38.3962,0.0111,0.1004,0.0094
 ,38.4886,0.0937,0.1900,0.1100
w,38.4980,0.0104,0.0988,0.0089
BACKSPACE,38.5154,0.0212,0.0520,0.0125
t,38.5653,0.0092,0.1004,0.0123
o,38.5741,0.0874,0.1804,0.1137
 ,38.5837,0.1147,0.1810,0.1086
s,38.9701,0.0874,0.1484,0.1138
j,39.0026,0.0110,0.1011,0.0112
BACKSPACE,39.0138,0.0225,0.0473,0.0102
p,39.0630,0.0108,0.1017,0.0116
e,39.1987,0.1057,0.1275,0.0936
n,39.2928,0.0835,0.1134,0.1137
d,39.6618,0.1081,0.1669,0.0855
 ,40.0943,0.0968,0.1237,0.0839
j,40.1095,0.0114,0.1015,0.0116
BACKSPACE,40.1269,0.0199,0.0517,0.0074
i,40.1722,0.0076,0.0992,0.0091
t,41.1399,0.0970,0.1590,0.0970
 ,41.4194,0.0833,0.1075,0.1025
o,41.4299,0.1038,0.1193,0.0839
b,41.4367,0.0078,0.0993,0.0107
BACKSPACE,41.4660,0.0172,0.0513,0.0102
n,41.5175,0.0120,0.1003,0.0084
.,41.5262,0.1163,0.1712,0.0832
 ,41.5383,0.0966,0.1906,0.1143
SHIFT_DOWN,41.7765,0.0127,0.0083,0.0176
b,41.7799,0.0098,0.0981,0.0113
BACKSPACE,41.8072,0.0203,0.0517,0.0117
T,41.8534,0.0084,0.0988,0.0124
SHIFT_UP,41.8761,0.0126,0.0125,0.0113
s,41.8682,0.0127,0.1018,0.0092
BACKSPACE,41.8855,0.0227,0.0495,0.0118
h,41.9371,0.0119,0.1009,0.0082
e,42.6049,0.0976,0.1968,0.0913
 ,43.4356,0.1168,0.1381,0.1188
a,43.4440,0.0931,0.1600,0.1053
l,43.6825,0.0804,0.1017,0.1088
t,44.0524,0.1077,0.0981,0.0911
e,44.6379,0.0795,0.1742,0.0906
r,44.6453,0.1067,0.0995,0.1214
n,44.6561,0.1069,0.1236,0.0820
a,44.6679,0.1136,0.1497,0.1140
t,44.6762,0.1066,0.1655,0.1070
i,45.4350,0.0803,0.1300,0.1176
v,45.5411,0.0835,0.1611,0.0963
e,45.7395,0.0880,0.1717,0.0991
s,45.7459,0.1099,0.1337,0.0897
",",46.0008,0.1000,0.1587,0.0779
 ,46.3503,0.0844,0.1732,0.0948
m,46.3937,0.0103,0.1002,0.0090
BACKSPACE,46.4123,0.0184,0.0520,0.0116
i,46.4579,0.0101,0.0974,0.0077
t,46.6334,0.0884,0.1282,0.0979
 ,47.0825,0.1005,0.1332,0.1058
s,47.8622,0.1020,0.1689,0.0971
e,48.7033,0.1145,0.0943,0.0941
g,49.0188,0.0102,0.0996,0.0105
BACKSPACE,49.0357,0.0200,0.0491,0.0092
e,49.0859,0.0111,0.1019,0.0083
m,49.0967,0.1141,0.1909,0.1019
e,49.1062,0.1191,0.1562,0.1005
h,49.1564,0.0097,0.1013,0.0106
BACKSPACE,49.1818,0.0181,0.0506,0.0102
d,49.2328,0.0123,0.0971,0.0106
 ,49.2425,0.1084,0.1970,0.1178
t,50.3185,0.1158,0.2003,0.0956
o,51.1563,0.1103,0.1076,0.0829
 ,51.4340,0.0806,0.0978,0.1065
