Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0100,0.0099,0.0200
I,0.0010,0.0888,0.1455,0.1009
SHIFT_UP,0.0219,0.0097,0.0104,0.0085
t,0.0103,0.0985,0.0964,0.1085
 ,0.0213,0.0840,0.1231,0.1163
w,0.1137,0.1186,0.1696,0.1070
a,0.6648,0.1133,0.1019,0.0819
s,1.1678,0.0939,0.1585,0.0800
 ,1.4719,0.0901,0.1182,0.0877
a,1.8575,0.0832,0.1781,0.0817
 ,2.7478,0.0908,0.1579,0.0913
b,3.1330,0.1112,0.1044,0.1173
r,3.2635,0.1120,0.1544,0.0819
i,3.2835,0.1195,0.1588,0.1076
g,4.3163,0.1175,0.0967,0.0886
h,4.3245,0.1062,0.1872,0.1077
t,4.3314,0.1168,0.1470,0.0977
 ,4.7034,0.1062,0.1140,0.1166
c,5.4330,0.1166,0.1846,0.0817
w,5.4424,0.0110,0.0976,0.0122
BACKSPACE,5.4606,0.0197,0.0523,0.0092
o,5.5093,0.0107,0.1025,0.0110
d,6.3433,0.0771,0.1359,0.1196
q,7.0959,0.0124,0.0981,0.0075
BACKSPACE,7.1206,0.0215,0.0514,0.0081
 ,7.1678,0.0124,0.1004,0.0130
d,7.1753,0.1147,0.1549,0.1038
a,7.1852,0.0818,0.1222,0.0817
y,8.1127,0.0927,0.0960,0.0898
 ,8.1277,0.1134,0.1259,0.0883
i,8.6548,0.0990,0.1408,0.0827
n,9.1850,0.0855,0.1659,0.0934
 ,9.6848,0.0956,0.1821,0.1157
SHIFT_DOWN,10.3872,0.0100,0.0112,0.0191
A,10.3871,0.0802,0.1232,0.0878
SHIFT_UP,10.4093,0.0076,0.0096,0.0115
p,10.4483,0.1088,0.1107,0.0846
r,10.4590,0.0895,0.1482,0.0922
i,10.4669,0.1081,0.0976,0.1094
l,10.6238,0.1111,0.1575,0.1075
",",10.9961,0.0859,0.1256,0.0883
 ,11.8233,0.0893,0.1827,0.0790
a,12.2290,0.1071,0.1600,0.1077
n,12.2368,0.1102,0.1444,0.0811
d,12.2492,0.0834,0.1319,0.1161
 ,12.4400,0.1170,0.1296,0.0882
x,12.4526,0.0108,0.0990,0.0072
BACKSPACE,12.4716,0.0188,0.0493,0.0075
t,12.5195,0.0121,0.0996,0.0076
h,12.5304,0.0923,0.1357,0.0935
e,12.7726,0.0999,0.1952,0.1094
 ,13.1720,0.1155,0.1397,0.0971
c,14.1272,0.1103,0.1319,0.1142
h,14.4536,0.0127,0.1009,0.0079
BACKSPACE,14.4757,0.0228,0.0519,0.0127
l,14.5249,0.0120,0.1029,0.0114
o,15.2474,0.1125,0.1666,0.1003
c,15.3447,0.0858,0.1677,0.0873
z,15.3537,0.0112,0.0982,0.0107
BACKSPACE,15.3823,0.0212,0.0484,0.0110
k,15.4350,0.0095,0.0991,0.0075
e,15.4404,0.0123,0.0985,0.0073
BACKSPACE,15.4710,0.0220,0.0472,0.0085
s,15.5233,0.0124,0.0971,0.0111
 ,15.9791,0.0964,0.1617,0.1189
w,16.4343,0.0922,0.1741,0.0818
e,17.3301,0.0938,0.1328,0.0991
r,17.3376,0.0993,0.1015,0.1005
e,18.0023,0.0864,0.1044,0.1150
 ,18.0069,0.0812,0.1486,0.1077
s,18.0209,0.1159,0.1867,0.1020
t,18.8082,0.0887,0.1442,0.1191
r,19.0805,0.0868,0.1422,0.1168
i,19.7840,0.1097,0.1987,0.0920
k,20.4619,0.1015,0.1450,0.1121
i,20.4714,0.1030,0.1364,0.0851
n,21.1522,0.1183,0.1469,0.0883
o,22.0651,0.0081,0.1010,0.0078
BACKSPACE,22.0905,0.0200,0.0489,0.0088
g,22.1403,0.0124,0.0995,0.0099
 ,22.1507,0.1063,0.1301,0.0988
t,22.1638,0.1036,0.1171,0.1088
h,22.1698,0.1016,0.1628,0.0877
i,22.5683,0.1038,0.1560,0.1119
r,22.6373,0.1185,0.1216,0.1182
t,22.9854,0.0976,0.1309,0.0802
BACKSPACE,22.9962,0.0187,0.0475,0.0103
e,23.1941,0.1150,0.1208,0.0984
e,23.6590,0.0782,0.2012,0.0918
c,24.0142,0.0095,0.1024,0.0094
BACKSPACE,24.0301,0.0179,0.0492,0.0104
