Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0120,0.0107,0.0228
I,0.0010,0.1045,0.1568,0.0835
SHIFT_UP,0.0177,0.0107,0.0123,0.0125
b,0.2826,0.0072,0.1000,0.0114
BACKSPACE,0.2999,0.0201,0.0492,0.0100
t,0.3491,0.0108,0.1011,0.0129
 ,0.3587,0.0982,0.0937,0.1050
w,0.3683,0.0889,0.1576,0.1191
a,0.7099,0.0819,0.1002,0.0832
s,0.8637,0.0812,0.1569,0.1103
 ,1.0368,0.1094,0.0988,0.0793
a,1.2232,0.0992,0.1651,0.1013
 ,1.2326,0.1144,0.1630,0.1142
b,1.2727,0.0939,0.1378,0.0993
r,1.5349,0.1129,0.0913,0.0853
i,1.5891,0.0955,0.1748,0.0972
g,2.0246,0.1054,0.0949,0.1083
h,2.1203,0.0962,0.1825,0.0972
t,2.1276,0.0920,0.1644,0.0905
 ,2.2029,0.0885,0.1885,0.0868
c,2.2155,0.1170,0.1810,0.1145
o,2.2270,0.0941,0.0996,0.0938
l,2.2395,0.1214,0.1141,0.0920
d,2.3828,0.0990,0.0970,0.0904
 ,2.8618,0.0908,0.1177,0.0960
d,2.9957,0.0834,0.1980,0.0912
BACKSPACE,3.0048,0.0225,0.0487,0.0102
a,3.2478,0.0855,0.1762,0.0999
g,3.2567,0.0076,0.1006,0.0084
BACKSPACE,3.2749,0.0221,0.0471,0.0073
y,3.3200,0.0097,0.0980,0.0113
 ,3.3332,0.1013,0.1607,0.0951
i,3.9438,0.1031,0.1384,0.1102
n,4.5355,0.0985,0.1851,0.0875
 ,4.7568,0.1038,0.1349,0.1057
SHIFT_DOWN,5.1314,0.0082,0.0095,0.0214
A,5.1280,0.0812,0.1904,0.0898
SHIFT_UP,5.1506,0.0117,0.0117,0.0092
p,5.1943,0.1145,0.1464,0.1162
r,5.7513,0.1151,0.1211,0.1144
i,5.7649,0.1209,0.0974,0.0964
l,6.1476,0.0793,0.1362,0.1114
",",6.1559,0.1018,0.1786,0.1049
 ,6.6535,0.1180,0.1185,0.0911
a,7.2158,0.1063,0.1857,0.1070
n,7.5959,0.0914,0.1229,0.0984
d,7.7371,0.0904,0.1800,0.1162
 ,8.6530,0.0986,0.1439,0.1013
t,8.6616,0.1061,0.0915,0.0990
h,8.6728,0.0896,0.1869,0.0886
e,8.7280,0.0841,0.1667,0.1095
 ,8.9790,0.1004,0.1243,0.1217
c,9.2953,0.1065,0.1399,0.1094
l,9.3008,0.0928,0.0952,0.1048
o,9.3117,0.0984,0.1547,0.0825
c,10.0645,0.1066,0.1303,0.0886
k,10.3385,0.1121,0.1408,0.0919
