Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0076,0.0129,0.0191
O,0.0010,0.1140,0.1593,0.0916
SHIFT_UP,0.0199,0.0074,0.0090,0.0106
l,0.1077,0.1109,0.1030,0.1172
d,0.3018,0.1053,0.1524,0.0941
 ,0.6700,0.0890,0.1230,0.0831
SHIFT_DOWN,0.6746,0.0074,0.0094,0.0181
M,0.6761,0.0902,0.1627,0.0845
SHIFT_UP,0.6982,0.0084,0.0126,0.0115
a,0.7123,0.0833,0.1828,0.0931
j,0.7195,0.0964,0.1607,0.0911
o,1.0215,0.1060,0.0960,0.0971
r,1.1947,0.0863,0.1343,0.0791
 ,1.7208,0.0905,0.1273,0.0963
c,1.9569,0.1131,0.1396,0.0818
l,1.9693,0.1071,0.1681,0.0969
e,1.9750,0.0812,0.1813,0.0938
a,2.1532,0.0874,0.1936,0.1203
r,2.2919,0.0999,0.1119,0.0837
e,2.3020,0.1142,0.0930,0.1087
d,2.7271,0.0903,0.1853,0.1218
 ,2.8480,0.0996,0.1457,0.0831
h,3.0363,0.0921,0.1449,0.1162
BACKSPACE,3.0469,0.0217,0.0498,0.0085
i,3.4303,0.1133,0.1676,0.1066
s,3.8350,0.0976,0.1962,0.1109
 ,3.9071,0.1116,0.1112,0.0935
t,4.1935,0.1146,0.1676,0.1043
h,4.2733,0.1134,0.1735,0.0891
r,4.5008,0.1046,0.1360,0.0880
o,4.5081,0.1072,0.1364,0.1087
a,4.7755,0.0888,0.1287,0.1045
t,5.0451,0.0819,0.0988,0.1081
 ,5.4495,0.0988,0.0920,0.1130
a,5.5816,0.0984,0.1011,0.1077
n,5.9005,0.1096,0.1211,0.1018
d,6.4118,0.0976,0.0938,0.1171
 ,6.4245,0.0895,0.1578,0.0831
b,6.6905,0.0795,0.1592,0.0925
z,6.6993,0.0114,0.0986,0.0099
BACKSPACE,6.7078,0.0188,0.0488,0.0120
e,6.7592,0.0100,0.1022,0.0109
g,7.0868,0.0969,0.1443,0.1174
a,7.0965,0.0871,0.1322,0.1166
n,7.2101,0.1189,0.1794,0.0847
 ,7.2214,0.0880,0.1614,0.1069
t,7.3867,0.0934,0.1339,0.1137
o,7.5094,0.0945,0.1705,0.1051
 ,7.5155,0.1119,0.1730,0.0821
s,8.0606,0.1188,0.1875,0.1007
i,8.3059,0.1072,0.1719,0.1046
n,8.3789,0.0956,0.0997,0.1174
o,8.3910,0.0105,0.0976,0.0108
BACKSPACE,8.4209,0.0209,0.0523,0.0074
g,8.4685,0.0098,0.1025,0.0103
.,8.4795,0.0911,0.1803,0.0982
 ,8.9621,0.0921,0.1738,0.0900
SHIFT_DOWN,8.9708,0.0124,0.0102,0.0172
A,8.9699,0.0835,0.1257,0.1053
SHIFT_UP,8.9903,0.0080,0.0123,0.0084
s,8.9780,0.0829,0.1511,0.0986
 ,8.9869,0.1101,0.1923,0.0985
h,9.0015,0.1099,0.1226,0.1045
e,9.2435,0.1127,0.0947,0.0835
 ,9.4933,0.1010,0.1260,0.1041
h,9.5029,0.0955,0.1029,0.0811
a,9.6729,0.0865,0.1336,0.1069
d,10.1296,0.0949,0.1637,0.0921
 ,10.7410,0.1050,0.1275,0.0929
s,10.9957,0.0915,0.0926,0.1067
a,11.4433,0.0898,0.0897,0.1108
i,11.5201,0.0846,0.1763,0.1051
d,11.7316,0.1139,0.1157,0.0926
",",11.7789,0.0870,0.1542,0.0970
 ,12.0984,0.0953,0.1364,0.1124
h,12.4706,0.0976,0.1759,0.1022
i,12.8271,0.1134,0.1523,0.0856
s,13.4746,0.1021,0.1461,0.1036
 ,13.5600,0.1083,0.1122,0.1084
BACKSPACE,13.5734,0.0205,0.0476,0.0085
v,13.5727,0.0813,0.1376,0.1156
o,13.5816,0.0922,0.1301,0.0953
i,14.2337,0.1137,0.1783,0.0943
c,14.2403,0.1167,0.1367,0.0853
e,14.4202,0.0848,0.1159,0.0848
 ,14.7269,0.0941,0.1066,0.0955
u,15.4702,0.0086,0.1014,0.0099
BACKSPACE,15.4972,0.0208,0.0501,0.0102
w,15.5429,0.0110,0.0992,0.0099
a,15.8739,0.0792,0.1016,0.0932
s,15.9234,0.1040,0.1571,0.0874
 ,16.0869,0.1165,0.2003,0.0985
m,16.2426,0.0108,0.0986,0.0105
BACKSPACE,16.2698,0.0184,0.0503,0.0087
h,16.3161,0.0094,0.1004,0.0075
o,16.4189,0.0886,0.1637,0.0827
a,16.4248,0.1082,0.2007,0.1190
r,16.4384,0.1102,0.1351,0.1109
s,16.7628,0.1182,0.1207,0.1096
e,17.1276,0.0863,0.1860,0.1059
",",17.2152,0.1117,0.1702,0.0826
 ,17.2259,0.0872,0.1699,0.0947
b,17.7745,0.0972,0.1231,0.0890
u,17.8576,0.1137,0.1043,0.1082
t,18.3762,0.1045,0.1373,0.0975
 ,18.3835,0.0886,0.1043,0.1123
h,18.5594,0.1099,0.1600,0.0946
e,18.7519,0.0856,0.1064,0.0910
 ,18.7588,0.0981,0.1836,0.1167
s,18.7719,0.1021,0.1535,0.0872
a,19.1988,0.1032,0.1564,0.1119
n,19.4091,0.1106,0.1341,0.0847
g,19.5761,0.1205,0.1361,0.0829
 ,19.6121,0.0895,0.1683,0.1030
w,19.8878,0.1070,0.1143,0.0918
e,20.4828,0.0818,0.1126,0.1121
l,20.4900,0.1040,0.1050,0.1145
l,20.4994,0.0877,0.1243,0.0959
 ,20.7407,0.1044,0.1960,0.1170
e,20.7518,0.1175,0.1296,0.1037
n,20.7607,0.0854,0.0981,0.0987
o,21.1023,0.0817,0.0958,0.0883
u,21.1369,0.1026,0.1800,0.1058
g,21.1470,0.0941,0.1847,0.0865
h,21.3106,0.1113,0.1076,0.0814
",",21.6589,0.0880,0.1852,0.0964
 ,21.7074,0.0909,0.1247,0.0972
a,22.0230,0.1045,0.1570,0.0996
n,22.3753,0.1162,0.1322,0.1122
d,22.4507,0.0845,0.1561,0.0916
 ,22.4580,0.1065,0.1805,0.1042
i,22.4669,0.0852,0.1325,0.0852
t,22.5918,0.1198,0.1167,0.1094
 ,22.8783,0.0904,0.1895,0.0835
w,23.0771,0.0933,0.1292,0.1015
a,23.4027,0.0940,0.1856,0.0967
s,23.4102,0.1112,0.1665,0.0947
 ,23.6270,0.0826,0.1809,0.0939
a,23.6391,0.0984,0.1350,0.0868
 ,23.7040,0.0781,0.1467,0.1113
s,23.7777,0.0888,0.1917,0.1059
t,23.8121,0.1023,0.0998,0.1143
i,23.9522,0.1134,0.1391,0.0974
