Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0083,0.0114,0.0195
I,0.0025,0.1196,0.1095,0.0867
SHIFT_UP,0.0227,0.0129,0.0096,0.0121
t,0.9574,0.0849,0.1097,0.1150
 ,1.8108,0.1126,0.1274,0.0914
w,2.1816,0.1212,0.1135,0.0967
a,2.1888,0.0837,0.1793,0.1093
b,3.0547,0.0121,0.1003,0.0091
BACKSPACE,3.0714,0.0204,0.0507,0.0129
s,3.1220,0.0075,0.1021,0.0074
 ,3.2833,0.0974,0.1449,0.1176
a,4.0164,0.0893,0.1937,0.1130
 ,4.7361,0.1070,0.1504,0.0899
b,5.0035,0.1120,0.1472,0.0846
r,5.2059,0.0880,0.1853,0.1014
i,5.2500,0.0821,0.0962,0.1114
g,5.3111,0.0963,0.1168,0.0870
g,5.8792,0.0120,0.1008,0.0096
BACKSPACE,5.9077,0.0205,0.0514,0.0123
h,5.9550,0.0075,0.1027,0.0071
t,6.3539,0.0998,0.0938,0.0918
w,6.9508,0.0095,0.0980,0.0082
BACKSPACE,6.9706,0.0195,0.0484,0.0113
 ,7.0192,0.0122,0.1001,0.0100
c,8.1232,0.1116,0.1974,0.0902
o,8.1338,0.0862,0.1764,0.1041
l,8.9195,0.0989,0.1369,0.1183
d,8.9308,0.1083,0.1189,0.0797
p,9.7328,0.0083,0.0996,0.0117
BACKSPACE,9.7501,0.0230,0.0513,0.0127
 ,9.7951,0.0106,0.0993,0.0079
d,10.5637,0.0949,0.1022,0.1129
a,11.6061,0.1100,0.1200,0.0913
y,11.6168,0.1008,0.1650,0.1089
 ,12.4123,0.0957,0.1802,0.0841
i,13.7733,0.1123,0.1777,0.1109
n,13.7823,0.0941,0.0966,0.0839
 ,14.2744,0.0861,0.1446,0.1142
SHIFT_DOWN,14.5332,0.0113,0.0123,0.0213
A,14.5364,0.0977,0.1058,0.0945
SHIFT_UP,14.5565,0.0111,0.0124,0.0083
p,14.5440,0.1010,0.1107,0.1119
c,14.8361,0.0094,0.0977,0.0092
BACKSPACE,14.8482,0.0221,0.0479,0.0104
r,14.9028,0.0079,0.0994,0.0127
i,14.9074,0.0944,0.1685,0.0840
l,15.0991,0.1126,0.1936,0.1028
",",15.3030,0.0937,0.1166,0.0801
 ,15.3537,0.1003,0.1417,0.1059
a,15.4683,0.0838,0.1505,0.0891
d,15.9847,0.0896,0.1863,0.1216
BACKSPACE,15.9913,0.0228,0.0476,0.0082
 ,16.7020,0.1076,0.1228,0.1163
t,16.9270,0.0937,0.1391,0.1159
h,16.9349,0.1111,0.1347,0.1083
e,17.5211,0.1051,0.0934,0.0872
 ,18.4029,0.1018,0.1491,0.0966
c,18.6821,0.1183,0.1589,0.0861
l,19.4001,0.1181,0.1957,0.1111
o,19.4096,0.1115,0.1524,0.1043
c,19.4244,0.0948,0.1966,0.1133
b,19.9801,0.0120,0.1019,0.0121
BACKSPACE,20.0043,0.0216,0.0486,0.0129
k,20.0531,0.0087,0.0995,0.0124
s,20.3940,0.1088,0.1575,0.0935
 ,20.5145,0.0922,0.1847,0.0787
w,20.5271,0.1086,0.1071,0.1064
e,20.9981,0.1183,0.1370,0.0935
r,21.5660,0.0960,0.0949,0.1059
e,21.8350,0.1040,0.1336,0.1140
v,21.8414,0.0103,0.0979,0.0070
BACKSPACE,21.8569,0.0214,0.0479,0.0107
 ,21.9025,0.0109,0.1021,0.0108
s,22.0777,0.1094,0.1854,0.0975
t,22.3370,0.0838,0.1501,0.0854
r,23.0964,0.0913,0.1487,0.0895
i,23.1043,0.0914,0.1395,0.1103
k,23.6095,0.0919,0.1448,0.1083
d,24.0063,0.0077,0.1006,0.0124
BACKSPACE,24.0254,0.0174,0.0517,0.0091
i,24.0731,0.0083,0.0988,0.0089
c,24.0832,0.0078,0.0994,0.0109
BACKSPACE,24.0971,0.0188,0.0530,0.0091
n,24.1483,0.0093,0.0978,0.0102
g,24.3373,0.0974,0.1840,0.1068
 ,24.8133,0.0855,0.1062,0.0843
t,25.9488,0.1043,0.1029,0.1161
h,26.0983,0.0894,0.1029,0.1105
t,26.1118,0.0100,0.1028,0.0086
BACKSPACE,26.1359,0.0192,0.0471,0.0096
i,26.1849,0.0105,0.0986,0.0113
r,26.8934,0.1070,0.1756,0.0962
t,27.3918,0.1153,0.1288,0.1098
e,27.6070,0.0955,0.1678,0.0980
e,27.6137,0.1023,0.0904,0.1034
n,27.6279,0.1074,0.1946,0.0927
.,28.6046,0.0830,0.1997,0.1070
 ,29.6504,0.1218,0.1463,0.0978
SHIFT_DOWN,29.6598,0.0115,0.0082,0.0191
W,29.6648,0.1052,0.1628,0.1087
SHIFT_UP,29.6808,0.0091,0.0073,0.0088
i,29.6705,0.1068,0.1431,0.1054
n,30.0258,0.0847,0.0953,0.1128
s,30.4803,0.0793,0.1944,0.0947
t,31.0891,0.1066,0.1313,0.1068
o,31.0982,0.0873,0.1218,0.1048
n,31.1456,0.0804,0.0989,0.0929
n,31.2456,0.0072,0.1019,0.0101
BACKSPACE,31.2701,0.0211,0.0471,0.0081
 ,31.3223,0.0091,0.0980,0.0091
SHIFT_DOWN,31.7620,0.0128,0.0108,0.0219
S,31.7636,0.1011,0.1087,0.1125
SHIFT_UP,31.7838,0.0119,0.0096,0.0124
m,32.5949,0.1014,0.1479,0.1049
i,32.6040,0.1083,0.1412,0.1177
m,32.9239,0.0096,0.1022,0.0115
BACKSPACE,32.9364,0.0229,0.0505,0.0117
t,32.9892,0.0085,0.0978,0.0099
h,33.3655,0.1058,0.1642,0.1044
",",33.3783,0.1048,0.1272,0.0919
m,33.8131,0.0106,0.0990,0.0113
BACKSPACE,33.8307,0.0195,0.0516,0.0089
 ,33.8764,0.0128,0.0992,0.0104
h,34.2495,0.1078,0.1413,0.1177
o,34.3799,0.0125,0.0972,0.0094
BACKSPACE,34.4052,0.0228,0.0518,0.0121
i,34.4554,0.0130,0.0981,0.0112
s,34.5502,0.0780,0.1088,0.0980
 ,35.4461,0.1137,0.1369,0.0980
c,35.5376,0.1140,0.1196,0.0820
b,36.4488,0.0095,0.1017,0.0124
BACKSPACE,36.4683,0.0218,0.0477,0.0128
h,36.5157,0.0094,0.0980,0.0075
