Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0012,0.0076,0.0117,0.0189
A,0.0010,0.1041,0.1903,0.0821
SHIFT_UP,0.0219,0.0114,0.0101,0.0077
f,0.5612,0.1134,0.1591,0.0930
t,1.0251,0.0815,0.0960,0.0825
e,1.6217,0.0871,0.1007,0.0856
r,1.9838,0.0928,0.1251,0.0892
 ,2.2753,0.1153,0.1103,0.0996
SHIFT_DOWN,2.5676,0.0091,0.0074,0.0229
I,2.5722,0.0971,0.1293,0.1111
SHIFT_UP,2.5914,0.0122,0.0109,0.0115
',3.0570,0.0855,0.1320,0.0945
d,3.4123,0.0849,0.1761,0.1071
 ,3.8095,0.0916,0.1100,0.1199
s,4.4441,0.1071,0.1027,0.1126
o,4.6934,0.0837,0.1475,0.1097
a,4.7032,0.0978,0.1330,0.0935
p,5.3127,0.0920,0.1821,0.1091
e,5.6571,0.0901,0.1743,0.0836
d,6.0897,0.1217,0.1521,0.0832
 ,6.5219,0.0961,0.1892,0.1007
m,7.0780,0.0828,0.1687,0.1146
y,7.1118,0.1050,0.1958,0.1121
s,7.1220,0.0901,0.1628,0.0916
e,7.3750,0.0838,0.1409,0.1188
r,7.3842,0.0086,0.1006,0.0115
BACKSPACE,7.3982,0.0187,0.0473,0.0114
l,7.4475,0.0090,0.1026,0.0115
f,7.4770,0.0944,0.1876,0.1120
 ,7.4832,0.0913,0.1326,0.1080
a,7.8772,0.1119,0.1013,0.1101
l,8.1489,0.1199,0.1974,0.1073
l,8.4932,0.1019,0.1303,0.0922
 ,8.5053,0.0923,0.1406,0.1118
y,9.1090,0.0072,0.0997,0.0080
BACKSPACE,9.1272,0.0174,0.0485,0.0101
o,9.1774,0.0073,0.0982,0.0099
v,10.0104,0.1038,0.1227,0.0958
BACKSPACE,10.0194,0.0183,0.0479,0.0117
e,10.0165,0.1036,0.1277,0.1170
r,10.5033,0.0890,0.1519,0.0999
 ,10.6763,0.0936,0.1944,0.0846
SHIFT_DOWN,11.1640,0.0103,0.0108,0.0208
I,11.1667,0.0996,0.1777,0.1099
SHIFT_UP,11.1883,0.0080,0.0105,0.0088
 ,11.5022,0.0962,0.1108,0.0840
f,12.0285,0.1126,0.1832,0.0913
e,12.0540,0.0929,0.0934,0.1103
l,12.0656,0.1121,0.1095,0.1197
t,12.2150,0.1140,0.1781,0.0825
n,12.6973,0.0101,0.0978,0.0107
BACKSPACE,12.7203,0.0185,0.0520,0.0108
 ,12.7697,0.0072,0.0970,0.0089
b,12.8523,0.0979,0.1815,0.0829
e,13.4615,0.0940,0.1159,0.0834
t,13.5785,0.1131,0.1604,0.0926
t,14.2695,0.0897,0.0959,0.1107
e,14.3416,0.1142,0.1567,0.0865
r,14.7424,0.1088,0.1447,0.0951
 ,15.0719,0.0940,0.1384,0.1002
a,15.4750,0.0961,0.1112,0.0794
n,15.4831,0.1006,0.1658,0.0900
d,15.4897,0.1075,0.1580,0.0981
 ,15.5036,0.1188,0.1489,0.0891
l,15.9329,0.0948,0.1121,0.1135
a,16.1659,0.0962,0.1719,0.1058
y,16.2950,0.1136,0.1177,0.1189
 ,16.6776,0.0976,0.1202,0.0914
d,16.9805,0.1022,0.1709,0.1127
o,17.4009,0.1180,0.1827,0.0934
w,17.6768,0.0986,0.1140,0.1102
n,18.5482,0.1196,0.1312,0.0883
 ,18.9798,0.1003,0.1389,0.1048
i,19.2823,0.1180,0.1925,0.1129
n,19.2908,0.0908,0.1949,0.0976
 ,19.3016,0.1062,0.1091,0.1141
t,19.4849,0.0996,0.1919,0.1133
h,19.6829,0.1134,0.1983,0.1159
e,19.6945,0.0812,0.1626,0.0943
 ,20.0647,0.0948,0.1180,0.1144
b,20.7941,0.1096,0.1890,0.0875
a,21.1923,0.0816,0.1418,0.1043
t,21.4178,0.0872,0.1635,0.1113
h,21.4961,0.0922,0.1893,0.1070
 ,22.0322,0.1104,0.1658,0.1025
t,22.2258,0.1007,0.1412,0.0936
o,22.7275,0.0877,0.1390,0.1155
BACKSPACE,22.7350,0.0183,0.0499,0.0121
 ,22.9253,0.1070,0.1326,0.1158
t,22.9329,0.0827,0.1150,0.0959
h,23.0436,0.0860,0.1399,0.1145
i,23.0555,0.0805,0.0937,0.1162
a,23.7895,0.0096,0.1013,0.0071
BACKSPACE,23.7984,0.0174,0.0528,0.0103
n,23.8479,0.0080,0.0972,0.0111
k,24.3556,0.0849,0.1248,0.0918
 ,24.4365,0.1190,0.1044,0.0883
a,24.8410,0.0970,0.1513,0.1032
b,24.8531,0.0991,0.1817,0.1018
o,24.9124,0.0942,0.1722,0.1160
u,25.1718,0.1071,0.1831,0.0779
t,25.3157,0.1087,0.1130,0.1170
a,25.7853,0.0117,0.1011,0.0070
BACKSPACE,25.8042,0.0194,0.0498,0.0103
 ,25.8496,0.0083,0.1013,0.0096
m,25.9018,0.0910,0.1342,0.1138
y,26.0236,0.0890,0.1735,0.0890
 ,26.3629,0.1172,0.1199,0.1079
s,26.6157,0.0955,0.1781,0.1124
e,27.2060,0.1173,0.1294,0.1029
v,27.2141,0.0793,0.1951,0.0943
e,27.2226,0.0891,0.1788,0.1166
n,27.2366,0.1072,0.1077,0.1004
t,27.7284,0.0835,0.1209,0.0836
e,27.9785,0.1092,0.1881,0.0808
e,28.3574,0.1147,0.1204,0.0909
n,28.7268,0.1152,0.1595,0.0983
 ,28.9458,0.0845,0.1945,0.1138
q,29.2544,0.0927,0.1990,0.0967
u,30.0727,0.0890,0.1111,0.1080
i,30.2703,0.1020,0.1855,0.0922
d,30.7648,0.0994,0.1900,0.1227
 ,31.0195,0.0997,0.1176,0.0919
f,31.2757,0.0082,0.1024,0.0093
BACKSPACE,31.3050,0.0204,0.0511,0.0101
a,31.3529,0.0121,0.0972,0.0105
n,31.3656,0.0974,0.1049,0.1135
d,31.7640,0.1028,0.1561,0.0828
 ,31.7718,0.0852,0.1442,0.1055
w,32.1819,0.0908,0.1708,0.1158
h,32.2832,0.0829,0.1854,0.1084
a,32.6289,0.1208,0.1884,0.0849
t,33.1455,0.1094,0.1278,0.0836
 ,33.3292,0.0786,0.1635,0.1161
t,33.5273,0.0997,0.1823,0.1135
o,33.9796,0.0837,0.1403,0.0881
 ,34.0836,0.0828,0.1788,0.0930
s,34.8305,0.0978,0.1882,0.1106
p,34.8419,0.0920,0.1049,0.0853
e,35.0316,0.0954,0.1886,0.1056
n,35.4880,0.1016,0.1589,0.1076
d,35.7703,0.1155,0.1444,0.1056
 ,36.0460,0.0816,0.1464,0.0929
i,36.6514,0.0806,0.1517,0.0843
t,36.7533,0.1121,0.1859,0.0865
 ,36.8077,0.1171,0.1501,0.1058
o,37.0828,0.0895,0.1618,0.1011
n,37.0954,0.1096,0.1361,0.1104
.,37.4895,0.1002,0.1391,0.0889
 ,37.7981,0.0987,0.1904,0.0836
SHIFT_DOWN,38.3472,0.0104,0.0083,0.0170
T,38.3495,0.1009,0.1938,0.1069
SHIFT_UP,38.3699,0.0071,0.0102,0.0099
h,38.5501,0.0992,0.1663,0.1203
e,38.8203,0.1001,0.1725,0.1035
 ,38.9984,0.1098,0.1042,0.0891
a,39.2127,0.0834,0.1587,0.1114
l,39.3991,0.1130,0.1961,0.1064
t,39.6306,0.1030,0.2010,0.0934
e,39.9088,0.1043,0.1871,0.1049
r,40.1337,0.1067,0.1434,0.0971
n,40.5519,0.0909,0.1462,0.0837
a,40.8834,0.1085,0.1225,0.1093
t,40.8978,0.0859,0.1567,0.0779
i,41.3235,0.1093,0.1157,0.1035
s,41.7486,0.0128,0.1029,0.0073
BACKSPACE,41.7613,0.0212,0.0482,0.0074
v,41.8111,0.0110,0.1022,0.0088
a,42.1847,0.0077,0.1012,0.0086
BACKSPACE,42.2046,0.0200,0.0529,0.0124
e,42.2502,0.0081,0.0974,0.0108
s,42.5495,0.0911,0.0919,0.0947
",",42.7957,0.1083,0.1335,0.1116
 ,43.0075,0.1149,0.1045,0.0877
q,43.3109,0.0115,0.0972,0.0130
BACKSPACE,43.3299,0.0224,0.0506,0.0084
i,43.3811,0.0094,0.1002,0.0120
t,43.6890,0.0965,0.1975,0.1153
 ,43.8465,0.1076,0.1625,0.0891
s,43.9051,0.1071,0.1945,0.1143
e,44.0844,0.1106,0.1146,0.1022
e,44.3381,0.0828,0.1224,0.0839
m,44.5713,0.0918,0.0990,0.0910
l,45.0094,0.0075,0.1015,0.0102
BACKSPACE,45.0376,0.0173,0.0470,0.0080
e,45.0856,0.0077,0.0978,0.0111
d,45.2951,0.0892,0.1829,0.1213
 ,45.3066,0.0967,0.1629,0.0900
t,45.8184,0.1172,0.1131,0.1070
o,45.8263,0.0946,0.1979,0.1009
 ,45.8337,0.1159,0.1173,0.1163
m,46.0644,0.1164,0.1060,0.1204
e,46.3278,0.1135,0.1236,0.0874
",",46.9081,0.0849,0.1964,0.1174
 ,46.9885,0.1178,0.1871,0.0984
w,47.4260,0.1061,0.1748,0.1171
e,47.6393,0.0942,0.1497,0.1068
r,47.9518,0.0983,0.1432,0.0829
e,48.6899,0.0890,0.1078,0.1170
 ,48.9668,0.0846,0.0943,0.1195
e,49.5510,0.0827,0.1103,0.1072
i,50.0265,0.0875,0.1612,0.0969
t,50.2993,0.0875,0.0967,0.0991
h,51.1170,0.0928,0.1542,0.0837
e,51.4728,0.1170,0.1905,0.1030
r,51.7756,0.0923,0.1428,0.1109
 ,52.1288,0.1081,0.1563,0.0839
a,52.6874,0.1074,0.1085,0.0898
 ,52.7979,0.1187,0.1994,0.0976
w,53.1653,0.1067,0.1862,0.0959
e,53.7409,0.0929,0.1546,0.1077
e,53.8868,0.1037,0.1875,0.0867
k,54.2370,0.0940,0.1960,0.1097
-,54.2486,0.0985,0.1334,0.0846
e,54.3118,0.1056,0.1113,0.0981
n,54.9051,0.1015,0.1937,0.0874
