Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0075,0.0094,0.0225
p,0.0010,0.0126,0.1018,0.0129
BACKSPACE,0.0087,0.0224,0.0529,0.0083
I,0.0624,0.0114,0.1017,0.0116
SHIFT_UP,0.0809,0.0100,0.0074,0.0105
t,0.0718,0.1016,0.1647,0.0783
 ,0.2794,0.1152,0.1679,0.0941
w,0.9696,0.1058,0.0955,0.1067
a,1.0099,0.0813,0.1239,0.0972
s,1.3409,0.1050,0.1177,0.0939
 ,1.6342,0.0832,0.1763,0.0850
a,1.6469,0.1062,0.1709,0.0881
 ,1.6561,0.1075,0.1526,0.1038
b,1.6996,0.1014,0.1347,0.0797
g,1.7051,0.0078,0.0997,0.0099
BACKSPACE,1.7363,0.0175,0.0514,0.0073
r,1.7853,0.0107,0.0980,0.0090
i,2.1631,0.1108,0.0998,0.0855
g,2.1750,0.1148,0.1459,0.0915
h,2.1836,0.1183,0.1408,0.0925
t,3.0757,0.0953,0.1445,0.1140
 ,3.0854,0.0949,0.1065,0.1126
c,3.7584,0.1043,0.1427,0.1039
h,4.0573,0.0073,0.0972,0.0098
BACKSPACE,4.0702,0.0210,0.0512,0.0125
o,4.1225,0.0115,0.0994,0.0094
l,4.9269,0.0981,0.1411,0.1122
w,5.0537,0.0119,0.0985,0.0083
BACKSPACE,5.0817,0.0201,0.0514,0.0117
d,5.1301,0.0115,0.0997,0.0091
 ,5.6344,0.0983,0.1272,0.0986
d,5.6442,0.1160,0.1714,0.1145
j,6.7218,0.0121,0.0985,0.0115
BACKSPACE,6.7438,0.0217,0.0516,0.0085
a,6.7956,0.0084,0.0990,0.0129
x,6.8059,0.0070,0.0998,0.0120
BACKSPACE,6.8190,0.0200,0.0504,0.0117
y,6.8734,0.0083,0.1003,0.0110
 ,6.9406,0.0938,0.1301,0.0950
i,7.5537,0.0936,0.0978,0.0912
n,7.5613,0.0882,0.1170,0.0957
 ,8.4367,0.0787,0.1192,0.1099
SHIFT_DOWN,8.8625,0.0094,0.0075,0.0187
f,8.8623,0.0115,0.1009,0.0121
