Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0092,0.0089,0.0178
A,0.0010,0.1076,0.1832,0.1147
SHIFT_UP,0.0219,0.0109,0.0075,0.0113
f,0.3162,0.0994,0.1440,0.0935
t,0.5669,0.0928,0.1281,0.1014
e,0.6057,0.1165,0.1979,0.1118
r,0.6185,0.1185,0.1470,0.0923
 ,0.7927,0.1022,0.1363,0.0843
SHIFT_DOWN,0.8148,0.0106,0.0128,0.0191
I,0.8155,0.0795,0.1266,0.1099
SHIFT_UP,0.8395,0.0114,0.0080,0.0077
',1.1113,0.0846,0.1596,0.0839
d,1.7775,0.0914,0.1513,0.0808
 ,1.7919,0.0872,0.1139,0.0894
s,2.0704,0.1007,0.1650,0.1045
o,2.0819,0.1136,0.1880,0.1004
a,2.7779,0.0969,0.1191,0.1093
p,3.2282,0.1211,0.1148,0.1122
e,3.3309,0.1047,0.0911,0.0993
d,3.3724,0.1018,0.0928,0.0837
 ,3.5367,0.1051,0.1131,0.0842
m,4.2212,0.1085,0.0901,0.1071
y,4.2517,0.0804,0.0987,0.1212
s,4.3516,0.1009,0.1720,0.0808
e,4.6377,0.0782,0.1609,0.1162
l,4.8426,0.1074,0.2007,0.1106
f,5.2847,0.1216,0.1759,0.0822
g,5.4868,0.0119,0.0973,0.0102
BACKSPACE,5.4967,0.0209,0.0496,0.0115
 ,5.5465,0.0121,0.0983,0.0092
a,5.9061,0.1005,0.1309,0.1119
l,6.1985,0.1187,0.1406,0.1100
l,6.2105,0.0854,0.1746,0.0864
 ,6.7447,0.0917,0.1710,0.1071
o,7.1593,0.0817,0.1429,0.0945
v,7.4259,0.0980,0.1292,0.0886
e,7.8440,0.1051,0.1723,0.0922
r,7.9516,0.1172,0.1213,0.1005
 ,7.9564,0.1126,0.1606,0.1159
SHIFT_DOWN,8.5411,0.0107,0.0093,0.0224
I,8.5429,0.0855,0.1816,0.0876
SHIFT_UP,8.5639,0.0093,0.0101,0.0115
 ,8.7091,0.1082,0.1312,0.1167
i,8.8982,0.0129,0.1024,0.0095
BACKSPACE,8.9228,0.0216,0.0475,0.0086
f,8.9727,0.0101,0.0977,0.0105
e,9.3962,0.1147,0.1510,0.0921
l,10.1384,0.1066,0.1420,0.1163
t,10.2412,0.0869,0.1745,0.1107
 ,10.7627,0.0948,0.1018,0.1023
b,11.1427,0.1016,0.1699,0.0786
e,11.1692,0.1076,0.1235,0.0826
t,11.1835,0.0823,0.1129,0.1079
t,11.1904,0.1196,0.1019,0.0967
z,11.4713,0.0087,0.0974,0.0089
BACKSPACE,11.4902,0.0188,0.0507,0.0092
e,11.5404,0.0080,0.1026,0.0114
r,11.8901,0.0857,0.1926,0.0827
 ,11.9005,0.1146,0.1329,0.1013
a,12.4788,0.1134,0.1706,0.1150
n,12.5388,0.1114,0.1732,0.0924
d,12.6207,0.1075,0.1649,0.0828
 ,12.8804,0.0943,0.1485,0.0839
l,13.0287,0.1144,0.1035,0.0879
a,13.0365,0.0832,0.1313,0.0991
 ,13.3435,0.1197,0.1750,0.1115
d,13.3696,0.1213,0.1021,0.0973
o,13.3808,0.0978,0.1096,0.1195
w,13.8278,0.1163,0.1096,0.1024
n,13.9490,0.1085,0.1617,0.0912
 ,14.0884,0.1026,0.1219,0.1153
i,14.2700,0.0862,0.1118,0.1040
n,14.2827,0.0837,0.0988,0.0894
 ,14.2930,0.1079,0.1157,0.0909
t,14.3048,0.0885,0.1703,0.0911
h,14.3955,0.1223,0.1988,0.0999
e,14.9898,0.0909,0.1193,0.1133
 ,15.0923,0.1025,0.0986,0.1040
g,15.2640,0.0106,0.0993,0.0096
BACKSPACE,15.2920,0.0180,0.0520,0.0118
b,15.3443,0.0071,0.0980,0.0084
a,15.6674,0.1103,0.1370,0.1090
t,15.6774,0.1053,0.1527,0.0855
h,16.2776,0.0809,0.1294,0.1033
 ,16.2908,0.0928,0.1829,0.0917
t,16.5979,0.0854,0.1080,0.0915
o,16.7354,0.1219,0.1214,0.1122
 ,17.2129,0.0953,0.1711,0.0983
t,17.4136,0.1148,0.1215,0.1078
h,17.8045,0.1099,0.1028,0.1165
i,18.0800,0.1134,0.1995,0.1201
a,18.3339,0.0093,0.0992,0.0127
BACKSPACE,18.3428,0.0172,0.0501,0.0077
n,18.3935,0.0107,0.1010,0.0094
k,18.4413,0.0966,0.0951,0.1092
 ,18.4499,0.1122,0.1322,0.1003
a,19.0481,0.1202,0.1853,0.0857
b,19.0596,0.1194,0.1378,0.0845
o,19.0677,0.0970,0.1894,0.1048
u,19.1405,0.0803,0.1365,0.0885
t,19.6437,0.1150,0.1297,0.0857
BACKSPACE,19.6516,0.0212,0.0494,0.0084
 ,20.1021,0.1119,0.1360,0.1073
m,20.5893,0.1039,0.1105,0.1011
y,21.0915,0.0977,0.0967,0.0854
 ,21.1235,0.1015,0.1915,0.0892
s,21.1377,0.0981,0.1140,0.0998
BACKSPACE,21.1424,0.0214,0.0508,0.0102
e,21.1446,0.1060,0.1215,0.1015
BACKSPACE,21.1536,0.0213,0.0506,0.0103
v,21.5751,0.1050,0.1475,0.0982
e,21.6409,0.0832,0.1599,0.1036
n,22.0034,0.1083,0.1419,0.0908
t,22.1835,0.1157,0.1239,0.0808
e,22.6928,0.1158,0.1616,0.0849
e,22.9703,0.1121,0.1353,0.1170
n,23.3555,0.1078,0.1566,0.1071
 ,23.7121,0.1169,0.1182,0.1015
q,24.2556,0.1000,0.1051,0.1059
u,24.7362,0.0931,0.1834,0.0833
i,24.9524,0.0869,0.1707,0.0934
d,25.2053,0.1144,0.1135,0.0799
 ,25.7553,0.1139,0.1895,0.0801
a,26.0327,0.0889,0.2007,0.1040
n,26.0444,0.1073,0.1261,0.0850
d,26.1035,0.1014,0.1540,0.0993
 ,26.2248,0.1129,0.1274,0.0952
w,26.3980,0.0977,0.1675,0.0972
h,26.5116,0.1056,0.0930,0.1179
BACKSPACE,26.5262,0.0188,0.0490,0.0129
a,26.8829,0.0814,0.1721,0.0875
t,27.1485,0.0868,0.1257,0.1018
 ,27.1632,0.0928,0.1062,0.1167
t,27.7270,0.1168,0.1440,0.0926
o,28.0901,0.1135,0.1206,0.0979
 ,28.6403,0.0945,0.0916,0.1047
s,28.7593,0.0925,0.1093,0.0995
p,28.8316,0.0955,0.1651,0.0925
e,29.2157,0.1152,0.1331,0.0842
n,29.5332,0.0830,0.1346,0.1171
d,29.8227,0.1096,0.1857,0.0906
 ,30.0784,0.1133,0.1048,0.0836
i,30.4258,0.1126,0.1673,0.0840
t,30.5891,0.0919,0.1524,0.1212
 ,30.7008,0.0832,0.1743,0.0933
o,30.7075,0.0936,0.1751,0.0874
n,30.7162,0.0946,0.1834,0.1127
.,30.7283,0.1077,0.1236,0.1152
 ,31.4916,0.0793,0.1912,0.0824
SHIFT_DOWN,32.0747,0.0071,0.0090,0.0189
o,32.0769,0.0128,0.1027,0.0126
BACKSPACE,32.0904,0.0173,0.0477,0.0101
T,32.1393,0.0130,0.0974,0.0072
SHIFT_UP,32.1629,0.0118,0.0108,0.0116
h,32.1932,0.1043,0.1105,0.0833
e,32.8183,0.1174,0.1646,0.0927
 ,32.9190,0.1031,0.1314,0.0921
a,33.2363,0.0805,0.1177,0.0909
l,33.4391,0.1154,0.1288,0.0857
t,33.9093,0.0808,0.2008,0.0989
e,34.0445,0.1061,0.1403,0.0949
y,34.2940,0.0093,0.0981,0.0072
BACKSPACE,34.3143,0.0204,0.0477,0.0108
r,34.3609,0.0095,0.0973,0.0111
n,34.3744,0.0917,0.1127,0.0867
a,34.3798,0.0970,0.1235,0.1177
t,34.6852,0.0904,0.0906,0.1205
i,34.9055,0.0858,0.1343,0.0957
t,34.9528,0.0122,0.0999,0.0126
BACKSPACE,34.9609,0.0210,0.0497,0.0107
v,35.0160,0.0103,0.0974,0.0080
e,35.0250,0.1184,0.1463,0.1014
s,35.0350,0.1035,0.1308,0.0822
BACKSPACE,35.0448,0.0182,0.0478,0.0125
",",35.4545,0.1120,0.1115,0.1152
 ,35.7551,0.1016,0.1931,0.0874
i,35.7664,0.0852,0.2023,0.0873
q,35.8620,0.0112,0.0973,0.0108
BACKSPACE,35.8780,0.0228,0.0485,0.0077
t,35.9267,0.0094,0.0981,0.0108
 ,35.9544,0.0884,0.1849,0.0961
s,36.2046,0.1003,0.1701,0.0826
e,36.4914,0.1064,0.1678,0.0842
e,36.6273,0.0902,0.0999,0.0919
m,36.8086,0.1168,0.1389,0.0831
e,37.0887,0.1099,0.0897,0.1074
d,37.8438,0.0962,0.1243,0.0821
 ,38.4830,0.1090,0.1053,0.0967
t,38.7748,0.1110,0.1581,0.1078
o,39.3878,0.1146,0.1792,0.0899
 ,39.4011,0.0889,0.1199,0.1024
m,39.5475,0.1208,0.0975,0.1051
e,39.5555,0.1158,0.1033,0.0839
",",40.3225,0.1218,0.1547,0.1035
p,40.7777,0.0108,0.0985,0.0118
BACKSPACE,40.7963,0.0223,0.0483,0.0075
 ,40.8470,0.0105,0.1024,0.0090
w,40.9460,0.1043,0.1275,0.0834
e,40.9551,0.1065,0.1844,0.1188
r,41.2588,0.0987,0.1059,0.1069
e,41.5894,0.0950,0.1429,0.1160
 ,41.6726,0.0807,0.1225,0.0948
e,42.5411,0.1054,0.0890,0.0995
i,42.8715,0.1043,0.1653,0.0845
t,43.0695,0.0847,0.1094,0.0839
h,43.3661,0.1127,0.1189,0.0821
e,43.6483,0.0894,0.1833,0.1020
r,43.6651,0.1048,0.0987,0.1212
 ,43.6758,0.1143,0.1924,0.1074
a,44.0260,0.0998,0.1089,0.1047
 ,44.2943,0.1079,0.1583,0.0892
w,44.3041,0.0985,0.1428,0.0949
e,44.6215,0.0945,0.0982,0.0948
e,44.6340,0.0802,0.1953,0.1029
BACKSPACE,44.6460,0.0205,0.0514,0.0079
k,44.6422,0.0941,0.1661,0.0853
-,45.0682,0.0889,0.1747,0.1173
e,45.4217,0.1039,0.1529,0.1130
n,45.4294,0.1226,0.1113,0.0980
d,45.4419,0.1119,0.1453,0.1148
 ,45.6066,0.1066,0.1062,0.0905
w,45.8685,0.1204,0.1591,0.1009
i,46.2179,0.1126,0.1954,0.1031
t,46.6273,0.1094,0.1243,0.0887
h,46.6378,0.1100,0.1302,0.1116
 ,46.8217,0.1089,0.1552,0.1141
a,47.1307,0.1061,0.1708,0.1039
 ,47.5463,0.1171,0.1126,0.1153
w,47.5616,0.1146,0.1509,0.1096
o,47.5693,0.1091,0.1435,0.0820
m,47.7965,0.0883,0.1154,0.1186
a,48.0260,0.0879,0.1746,0.0876
n,48.3120,0.1091,0.1611,0.1090
 ,48.3709,0.0937,0.1306,0.0918
o,48.7754,0.0984,0.1405,0.1096
r,48.7899,0.0921,0.1645,0.1101
 ,48.9884,0.1139,0.1882,0.1094
d,49.2253,0.0846,0.1808,0.1156
r,49.5733,0.1192,0.1017,0.0909
b,50.1810,0.1008,0.1226,0.0842
