Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0107,0.0095,0.0192
O,0.0010,0.0951,0.0916,0.1032
SHIFT_UP,0.0192,0.0102,0.0130,0.0085
l,0.1749,0.0817,0.1793,0.0918
 ,1.8154,0.1177,0.1592,0.0878
SHIFT_DOWN,1.8282,0.0122,0.0129,0.0187
M,1.8276,0.0951,0.1891,0.0857
SHIFT_UP,1.8445,0.0088,0.0096,0.0105
f,1.8357,0.0098,0.1003,0.0113
BACKSPACE,1.8646,0.0216,0.0484,0.0073
a,1.9139,0.0127,0.1017,0.0118
j,3.2750,0.0966,0.1068,0.1046
o,3.2854,0.1040,0.1273,0.1145
r,3.2935,0.1112,0.1549,0.0775
 ,4.5571,0.1158,0.1278,0.1058
f,5.3691,0.0083,0.1010,0.0088
BACKSPACE,5.3960,0.0218,0.0485,0.0070
c,5.4456,0.0115,0.1006,0.0074
l,6.0534,0.0984,0.1471,0.1049
e,6.0673,0.1111,0.1454,0.0933
a,6.9742,0.0905,0.1255,0.1145
t,6.9828,0.0094,0.1004,0.0089
BACKSPACE,7.0102,0.0219,0.0525,0.0109
r,7.0595,0.0076,0.1004,0.0080
e,7.9277,0.1004,0.1758,0.1003
d,7.9421,0.1129,0.1141,0.1156
 ,7.9531,0.0943,0.1702,0.1144
i,9.2827,0.0793,0.1528,0.0844
s,10.0985,0.1083,0.1343,0.0999
f,10.8347,0.0080,0.1023,0.0086
BACKSPACE,10.8522,0.0205,0.0526,0.0124
 ,10.9022,0.0123,0.0997,0.0112
h,11.4695,0.0101,0.1027,0.0127
BACKSPACE,11.5003,0.0201,0.0481,0.0082
t,11.5484,0.0077,0.1006,0.0101
h,12.1306,0.0853,0.1702,0.0834
v,12.1431,0.0126,0.0981,0.0111
BACKSPACE,12.1615,0.0188,0.0522,0.0081
r,12.2147,0.0076,0.1021,0.0083
o,13.0571,0.1006,0.1560,0.1215
b,13.7132,0.0091,0.0998,0.0127
BACKSPACE,13.7365,0.0175,0.0522,0.0089
a,13.7850,0.0117,0.0983,0.0129
n,15.1919,0.0089,0.0973,0.0101
BACKSPACE,15.2034,0.0189,0.0528,0.0106
t,15.2478,0.0107,0.1003,0.0075
 ,16.8065,0.1074,0.1632,0.0847
a,17.4196,0.1203,0.1712,0.0958
n,17.4314,0.0953,0.1299,0.0853
d,17.8324,0.0855,0.1695,0.0896
 ,17.9093,0.1082,0.1084,0.1197
y,17.9240,0.0103,0.1022,0.0093
BACKSPACE,17.9374,0.0217,0.0476,0.0084
b,17.9919,0.0125,0.1003,0.0127
m,17.9988,0.0105,0.1013,0.0079
BACKSPACE,18.0182,0.0190,0.0522,0.0071
e,18.0672,0.0129,0.1021,0.0079
g,18.3726,0.1102,0.1489,0.1101
m,18.8896,0.0102,0.0975,0.0101
BACKSPACE,18.9180,0.0213,0.0485,0.0123
a,18.9658,0.0099,0.1030,0.0081
n,19.1882,0.0922,0.1453,0.0999
 ,19.1997,0.0975,0.1801,0.1054
t,19.5116,0.0895,0.1083,0.1057
o,19.5190,0.0918,0.0888,0.0976
 ,19.5265,0.0989,0.1959,0.0896
s,19.5395,0.1174,0.1713,0.1024
i,20.3018,0.1117,0.1599,0.1015
m,20.3085,0.0106,0.1014,0.0080
BACKSPACE,20.3251,0.0186,0.0491,0.0116
n,20.3778,0.0127,0.1003,0.0079
i,21.3103,0.0087,0.1014,0.0128
BACKSPACE,21.3256,0.0175,0.0506,0.0075
g,21.3751,0.0102,0.1025,0.0111
.,21.3863,0.0997,0.0990,0.0949
e,21.7084,0.0113,0.1002,0.0104
BACKSPACE,21.7292,0.0204,0.0492,0.0094
 ,21.7787,0.0116,0.0975,0.0108
SHIFT_DOWN,22.5146,0.0099,0.0077,0.0204
A,22.5145,0.1027,0.1057,0.0993
SHIFT_UP,22.5354,0.0125,0.0105,0.0119
s,22.9723,0.1120,0.1536,0.0879
 ,22.9838,0.1171,0.1446,0.0931
h,24.3879,0.0819,0.1133,0.1041
v,25.5953,0.0099,0.0985,0.0075
BACKSPACE,25.6209,0.0194,0.0484,0.0122
e,25.6689,0.0123,0.1029,0.0124
 ,25.9564,0.1086,0.1091,0.1098
h,26.7082,0.1003,0.1083,0.1017
a,26.8686,0.1179,0.1516,0.1164
d,27.1321,0.1024,0.1389,0.0824
 ,27.2630,0.0999,0.1467,0.1058
x,27.2938,0.0101,0.1029,0.0086
BACKSPACE,27.3118,0.0210,0.0472,0.0088
s,27.3623,0.0076,0.1028,0.0097
a,27.5019,0.0921,0.1554,0.1126
i,27.9518,0.1073,0.1794,0.1176
d,27.9613,0.0835,0.0907,0.1123
",",27.9695,0.0934,0.1958,0.0917
 ,27.9777,0.1015,0.1943,0.1169
h,28.4834,0.0955,0.1614,0.0833
k,28.6443,0.0077,0.1022,0.0078
BACKSPACE,28.6739,0.0219,0.0505,0.0108
i,28.7281,0.0093,0.0991,0.0086
w,28.8910,0.0123,0.0974,0.0118
BACKSPACE,28.9186,0.0174,0.0489,0.0072
s,28.9696,0.0114,0.1014,0.0089
 ,29.1791,0.0892,0.1374,0.0865
h,29.1866,0.0130,0.0990,0.0110
BACKSPACE,29.2109,0.0222,0.0475,0.0072
v,29.2631,0.0087,0.1002,0.0109
o,30.0513,0.1141,0.1169,0.1049
i,30.9216,0.0942,0.1796,0.1117
e,31.5724,0.1216,0.1310,0.1187
 ,31.5856,0.0884,0.1648,0.0838
a,31.5948,0.0107,0.1022,0.0070
BACKSPACE,31.6165,0.0204,0.0497,0.0111
w,31.6640,0.0075,0.0975,0.0106
y,31.6787,0.0112,0.1018,0.0082
BACKSPACE,31.6899,0.0204,0.0475,0.0122
a,31.7402,0.0071,0.0973,0.0097
s,32.5515,0.1084,0.1633,0.1219
 ,32.5639,0.0870,0.1214,0.1148
h,32.5709,0.1034,0.1072,0.0876
o,33.0094,0.0819,0.1207,0.1185
y,33.0184,0.0121,0.0974,0.0120
BACKSPACE,33.0356,0.0224,0.0495,0.0081
a,33.0881,0.0122,0.1004,0.0084
r,33.5445,0.0811,0.1625,0.0851
v,33.8436,0.0129,0.1006,0.0097
BACKSPACE,33.8716,0.0184,0.0524,0.0073
s,33.9207,0.0088,0.1018,0.0122
v,33.9335,0.0107,0.1008,0.0095
BACKSPACE,33.9463,0.0221,0.0510,0.0075
e,33.9934,0.0093,0.0973,0.0088
o,34.0031,0.0084,0.0979,0.0085
BACKSPACE,34.0296,0.0217,0.0502,0.0102
",",34.0800,0.0091,0.1012,0.0103
BACKSPACE,34.0930,0.0178,0.0496,0.0087
 ,34.3508,0.1133,0.1580,0.0877
b,34.3592,0.1207,0.1671,0.0892
u,35.0523,0.0804,0.1009,0.1071
t,35.0667,0.0842,0.1529,0.1042
