Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0012,0.0087,0.0081,0.0208
O,0.0011,0.0969,0.1123,0.0854
SHIFT_UP,0.0226,0.0071,0.0094,0.0114
l,0.0093,0.0981,0.1080,0.1136
q,0.9838,0.0110,0.1028,0.0088
BACKSPACE,1.0111,0.0188,0.0518,0.0072
d,1.0593,0.0093,0.1011,0.0093
 ,1.0698,0.1067,0.1685,0.1109
SHIFT_DOWN,1.0891,0.0121,0.0114,0.0188
M,1.0893,0.0912,0.1237,0.0872
SHIFT_UP,1.1117,0.0127,0.0109,0.0127
a,2.0015,0.0979,0.1840,0.1196
j,2.0138,0.1097,0.1088,0.0968
b,2.9829,0.0109,0.1017,0.0073
BACKSPACE,3.0005,0.0195,0.0475,0.0123
o,3.0510,0.0113,0.0972,0.0078
r,3.4544,0.1111,0.1022,0.1177
b,3.4665,0.0088,0.1027,0.0123
BACKSPACE,3.4804,0.0184,0.0506,0.0085
 ,3.5333,0.0116,0.0993,0.0095
c,4.1265,0.0854,0.1258,0.0998
l,4.2906,0.0820,0.1403,0.0944
a,4.3041,0.0074,0.0975,0.0095
BACKSPACE,4.3243,0.0195,0.0507,0.0089
e,4.3778,0.0075,0.1008,0.0095
a,4.3856,0.0921,0.1385,0.1000
k,4.6682,0.0089,0.1016,0.0082
BACKSPACE,4.6950,0.0211,0.0508,0.0129
r,4.7469,0.0111,0.0987,0.0127
g,4.9093,0.0113,0.1005,0.0119
BACKSPACE,4.9180,0.0187,0.0517,0.0101
e,4.9716,0.0091,0.1008,0.0116
d,6.5485,0.0864,0.0986,0.1016
o,7.4047,0.0112,0.0985,0.0122
BACKSPACE,7.4331,0.0230,0.0498,0.0105
 ,7.4784,0.0081,0.0987,0.0105
h,7.8054,0.0996,0.0973,0.1103
i,7.8179,0.0857,0.1130,0.0888
s,9.1999,0.0957,0.1281,0.0902
k,9.5717,0.0126,0.0971,0.0096
BACKSPACE,9.5946,0.0205,0.0528,0.0106
 ,9.6425,0.0110,0.0989,0.0119
h,10.8056,0.0081,0.1006,0.0121
BACKSPACE,10.8313,0.0199,0.0509,0.0125
t,10.8786,0.0100,0.1008,0.0081
a,10.8899,0.0118,0.0976,0.0072
BACKSPACE,10.9125,0.0206,0.0513,0.0090
h,10.9625,0.0086,0.1012,0.0108
r,11.3975,0.0965,0.1810,0.0812
o,12.4638,0.0945,0.1030,0.0918
a,12.4708,0.1055,0.1102,0.1061
r,12.5491,0.0102,0.1009,0.0129
BACKSPACE,12.5583,0.0183,0.0527,0.0122
t,12.6111,0.0118,0.0991,0.0126
 ,13.0728,0.1011,0.1499,0.1119
p,14.0384,0.0122,0.0983,0.0082
BACKSPACE,14.0464,0.0182,0.0505,0.0118
a,14.0963,0.0074,0.1019,0.0128
