Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0013,0.0072,0.0081,0.0181
g,0.0010,0.0081,0.0972,0.0118
BACKSPACE,0.0237,0.0189,0.0472,0.0116
A,0.0726,0.0073,0.1000,0.0125
SHIFT_UP,0.0924,0.0105,0.0130,0.0095
x,1.0881,0.0098,0.1016,0.0113
BACKSPACE,1.1154,0.0214,0.0523,0.0130
f,1.1667,0.0078,0.0998,0.0097
t,2.0344,0.0931,0.1071,0.1089
e,2.0978,0.0910,0.1269,0.1147
r,2.5969,0.0864,0.1026,0.1006
i,2.9302,0.0104,0.1020,0.0119
BACKSPACE,2.9443,0.0178,0.0520,0.0079
 ,2.9987,0.0123,0.0973,0.0118
SHIFT_DOWN,3.3252,0.0081,0.0095,0.0190
I,3.3249,0.1161,0.1293,0.1016
SHIFT_UP,3.3484,0.0081,0.0087,0.0100
',3.4101,0.0959,0.2028,0.0933
d,4.4609,0.1016,0.1630,0.1123
z,4.4739,0.0086,0.0987,0.0130
BACKSPACE,4.4929,0.0185,0.0523,0.0076
 ,4.5398,0.0098,0.1018,0.0128
s,4.5530,0.1025,0.1678,0.1227
e,4.9268,0.0096,0.1011,0.0073
BACKSPACE,4.9392,0.0198,0.0471,0.0125
o,4.9852,0.0075,0.1003,0.0085
w,5.5162,0.0119,0.0984,0.0096
BACKSPACE,5.5396,0.0179,0.0513,0.0125
a,5.5899,0.0096,0.1001,0.0116
e,5.5993,0.0074,0.1028,0.0098
BACKSPACE,5.6138,0.0186,0.0483,0.0111
p,5.6661,0.0079,0.1029,0.0097
e,6.1458,0.0994,0.1680,0.1031
d,6.6349,0.0914,0.1898,0.0902
 ,6.7658,0.0996,0.1683,0.1097
m,7.0901,0.0950,0.1990,0.0874
y,7.0996,0.0999,0.0943,0.0909
s,7.4823,0.0880,0.1391,0.1136
l,8.0250,0.0874,0.1038,0.1172
f,8.0343,0.1118,0.1951,0.0810
 ,8.2757,0.0983,0.1387,0.0966
a,8.6354,0.0847,0.1410,0.1091
y,8.6456,0.0124,0.0988,0.0099
BACKSPACE,8.6713,0.0183,0.0477,0.0089
l,8.7189,0.0120,0.1015,0.0075
l,10.1290,0.0955,0.1843,0.0805
f,10.1401,0.0121,0.0972,0.0085
BACKSPACE,10.1651,0.0217,0.0520,0.0118
 ,10.2205,0.0078,0.1025,0.0125
o,10.2296,0.1119,0.1347,0.0915
v,10.2365,0.0799,0.1647,0.0862
g,10.3391,0.0113,0.0985,0.0077
BACKSPACE,10.3545,0.0202,0.0488,0.0090
e,10.4047,0.0086,0.0983,0.0107
r,10.5843,0.1181,0.1945,0.0828
 ,11.1959,0.1127,0.1447,0.0972
SHIFT_DOWN,12.4795,0.0122,0.0077,0.0197
I,12.4841,0.0821,0.1138,0.0996
SHIFT_UP,12.5007,0.0129,0.0079,0.0122
x,13.6052,0.0075,0.0991,0.0078
BACKSPACE,13.6309,0.0179,0.0494,0.0127
 ,13.6762,0.0096,0.0997,0.0093
f,15.4121,0.1199,0.0964,0.0908
e,15.4187,0.1035,0.1829,0.1114
o,16.2353,0.0076,0.1013,0.0096
BACKSPACE,16.2506,0.0181,0.0486,0.0098
l,16.2997,0.0085,0.0983,0.0115
z,16.3112,0.0096,0.1025,0.0117
BACKSPACE,16.3212,0.0202,0.0498,0.0121
t,16.3720,0.0121,0.1006,0.0087
 ,16.3847,0.0840,0.1003,0.0880
n,17.2175,0.0104,0.0981,0.0089
BACKSPACE,17.2460,0.0207,0.0470,0.0098
b,17.2974,0.0100,0.0980,0.0082
e,17.3044,0.1057,0.1535,0.0903
t,17.6988,0.1218,0.1541,0.0969
f,18.8188,0.0076,0.1008,0.0095
BACKSPACE,18.8419,0.0203,0.0515,0.0104
t,18.8900,0.0087,0.0988,0.0076
e,18.9025,0.0999,0.0954,0.1016
r,19.5551,0.0925,0.1887,0.1160
BACKSPACE,19.5704,0.0181,0.0477,0.0073
q,19.6926,0.0123,0.0992,0.0076
BACKSPACE,19.7146,0.0175,0.0481,0.0073
 ,19.7617,0.0073,0.0971,0.0127
a,19.8198,0.0817,0.1134,0.0791
n,20.2520,0.1081,0.1292,0.0930
d,20.7898,0.0840,0.1996,0.0859
 ,21.4175,0.0861,0.1165,0.0870
f,21.4294,0.0086,0.1003,0.0127
BACKSPACE,21.4530,0.0207,0.0500,0.0086
l,21.5056,0.0106,0.1001,0.0106
a,21.7619,0.1149,0.1862,0.1204
d,21.7747,0.0098,0.1020,0.0104
BACKSPACE,21.7886,0.0222,0.0514,0.0084
y,21.8422,0.0082,0.0990,0.0114
f,22.0953,0.0079,0.0997,0.0073
BACKSPACE,22.1219,0.0190,0.0481,0.0095
 ,22.1743,0.0121,0.1000,0.0098
d,22.1800,0.1063,0.1474,0.0911
w,22.1909,0.0083,0.1010,0.0080
BACKSPACE,22.2099,0.0176,0.0494,0.0078
o,22.2620,0.0090,0.1018,0.0091
f,22.2704,0.0074,0.1030,0.0109
BACKSPACE,22.2873,0.0190,0.0471,0.0114
w,22.3393,0.0084,0.1009,0.0081
x,23.1438,0.0104,0.1029,0.0130
BACKSPACE,23.1656,0.0201,0.0483,0.0126
n,23.2194,0.0111,0.0984,0.0096
w,23.2257,0.0089,0.1021,0.0073
BACKSPACE,23.2477,0.0175,0.0529,0.0113
 ,23.2967,0.0088,0.1026,0.0111
i,23.3120,0.1134,0.1239,0.0980
n,23.4476,0.1090,0.0987,0.1218
 ,23.4563,0.1173,0.1749,0.1095
t,23.4694,0.1129,0.1795,0.1189
h,24.3444,0.1209,0.1868,0.0942
e,24.3570,0.1090,0.1767,0.0806
 ,24.3654,0.1078,0.1876,0.0886
b,25.0395,0.0894,0.1131,0.0910
a,25.8569,0.1106,0.1498,0.1089
t,25.8654,0.0880,0.1240,0.1142
h,26.5310,0.0949,0.1396,0.0877
 ,26.5419,0.1176,0.1221,0.0896
t,27.1921,0.1094,0.0931,0.1160
o,28.3782,0.1040,0.1699,0.1004
 ,28.4315,0.0930,0.1005,0.1147
t,28.5134,0.0839,0.1239,0.1016
h,28.7524,0.0945,0.1247,0.1063
i,29.5241,0.1154,0.1498,0.0848
n,29.5482,0.1152,0.1164,0.0908
u,30.5779,0.0102,0.1029,0.0103
BACKSPACE,30.5881,0.0213,0.0484,0.0122
k,30.6395,0.0093,0.0991,0.0123
 ,30.6452,0.1040,0.1938,0.0989
a,30.8317,0.1022,0.0940,0.0828
l,31.0796,0.0122,0.0973,0.0083
BACKSPACE,31.1055,0.0228,0.0527,0.0078
b,31.1530,0.0107,0.1023,0.0072
o,31.1651,0.0896,0.1331,0.0822
p,31.1730,0.0124,0.0992,0.0081
BACKSPACE,31.1974,0.0174,0.0503,0.0123
u,31.2487,0.0126,0.1003,0.0081
t,31.2614,0.1118,0.1275,0.0884
i,32.9478,0.0126,0.0984,0.0070
BACKSPACE,32.9780,0.0170,0.0518,0.0106
 ,33.0313,0.0105,0.0979,0.0081
