Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0025,0.0087,0.0101,0.0184
A,0.0010,0.0944,0.1902,0.0865
SHIFT_UP,0.0201,0.0076,0.0075,0.0093
f,0.0084,0.1103,0.1696,0.0996
t,0.3422,0.1076,0.1516,0.0984
e,0.9867,0.1140,0.1608,0.0959
r,1.0941,0.1102,0.0948,0.1141
 ,1.1786,0.0841,0.1607,0.0937
SHIFT_DOWN,1.6376,0.0099,0.0084,0.0188
I,1.6359,0.1009,0.0902,0.1074
SHIFT_UP,1.6591,0.0117,0.0077,0.0082
c,2.0641,0.0102,0.0998,0.0087
BACKSPACE,2.0883,0.0176,0.0483,0.0105
',2.1399,0.0124,0.1027,0.0076
d,2.6696,0.0892,0.1860,0.1050
 ,2.8915,0.0997,0.1911,0.0888
s,3.2229,0.1195,0.1736,0.1051
o,3.3683,0.1134,0.1618,0.1099
a,3.6379,0.1122,0.1053,0.0879
p,4.2297,0.1135,0.1879,0.0891
e,4.3605,0.0847,0.1789,0.0993
d,4.8898,0.0879,0.1112,0.0861
 ,5.2248,0.0816,0.1354,0.0993
m,5.7033,0.1128,0.1684,0.0977
y,6.0984,0.0964,0.1681,0.0822
s,6.2656,0.0884,0.1140,0.0999
e,6.3255,0.0979,0.1652,0.0929
l,6.5553,0.0902,0.1205,0.1087
f,6.5618,0.0974,0.1954,0.1163
 ,6.5724,0.0815,0.1991,0.0913
a,6.9123,0.1066,0.1802,0.0922
l,7.4224,0.0972,0.1693,0.1043
l,7.4282,0.1173,0.1137,0.1156
 ,7.4377,0.0854,0.1447,0.1013
o,7.7245,0.0824,0.1938,0.1035
v,8.0347,0.1002,0.1957,0.0904
l,8.5569,0.0074,0.1007,0.0076
BACKSPACE,8.5854,0.0206,0.0502,0.0097
e,8.6361,0.0119,0.1022,0.0110
r,9.0171,0.0884,0.1805,0.0942
 ,9.1644,0.1195,0.1723,0.0839
SHIFT_DOWN,9.5935,0.0099,0.0111,0.0193
I,9.5942,0.1161,0.1463,0.1042
SHIFT_UP,9.6154,0.0085,0.0093,0.0105
 ,9.6753,0.0807,0.1958,0.1020
f,9.6849,0.0929,0.0957,0.0859
e,9.8725,0.1179,0.1310,0.0994
l,9.8775,0.0931,0.1162,0.0870
t,9.8905,0.1216,0.1569,0.0949
 ,10.0834,0.0829,0.1486,0.1058
b,10.1790,0.0873,0.1327,0.1179
e,10.3352,0.1058,0.1142,0.0801
t,10.6617,0.1184,0.1042,0.0853
t,10.9476,0.1155,0.1262,0.1056
e,10.9544,0.0899,0.1163,0.1071
r,10.9667,0.0987,0.1097,0.1071
 ,11.7041,0.0826,0.1001,0.1153
a,11.9495,0.0982,0.0904,0.1154
n,12.5649,0.1037,0.1215,0.0988
v,12.9502,0.0116,0.0974,0.0120
BACKSPACE,12.9699,0.0193,0.0493,0.0073
d,13.0172,0.0115,0.1011,0.0122
 ,13.8130,0.0942,0.1411,0.0954
l,13.9623,0.0838,0.1695,0.0835
a,14.2063,0.1164,0.1498,0.0977
y,14.4180,0.1118,0.1833,0.1043
 ,14.8022,0.0960,0.1064,0.0870
d,15.3768,0.1034,0.1449,0.0864
o,15.7030,0.0926,0.1059,0.1030
w,16.1335,0.0826,0.1497,0.1057
e,16.1466,0.0103,0.1012,0.0119
BACKSPACE,16.1623,0.0213,0.0474,0.0119
n,16.2097,0.0086,0.1016,0.0106
 ,16.4973,0.0971,0.1409,0.1206
i,16.7644,0.0876,0.1221,0.0871
n,16.9296,0.1130,0.1625,0.0797
 ,17.2907,0.1172,0.1741,0.1159
t,17.3710,0.0951,0.1332,0.0941
h,17.3775,0.0883,0.0950,0.0868
e,17.5526,0.1107,0.1328,0.1164
 ,17.7468,0.0802,0.1814,0.0874
b,18.0091,0.1178,0.1296,0.0930
a,18.1521,0.0885,0.0949,0.1173
t,18.9175,0.0852,0.1450,0.1000
h,19.1403,0.0913,0.1455,0.0845
 ,19.9563,0.0817,0.1078,0.1184
t,20.2705,0.0961,0.1553,0.1139
o,20.4917,0.0817,0.1856,0.0869
 ,20.8213,0.1016,0.1444,0.0815
t,21.2951,0.1160,0.1474,0.0894
h,21.3056,0.0840,0.1950,0.1074
i,21.7990,0.0887,0.1879,0.0842
n,22.1996,0.0992,0.1197,0.0906
k,22.8090,0.0787,0.1337,0.0911
 ,22.9192,0.1010,0.1872,0.1098
a,23.3186,0.0969,0.1983,0.1121
b,23.6210,0.1111,0.1671,0.0797
o,24.1796,0.0960,0.1017,0.0845
u,24.9848,0.0887,0.1499,0.1081
t,25.2289,0.1151,0.1178,0.1065
 ,25.5604,0.1027,0.1683,0.1199
