Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0100,0.0118,0.0227
O,0.0016,0.1019,0.1946,0.0819
SHIFT_UP,0.0170,0.0104,0.0117,0.0112
g,0.0171,0.0124,0.0994,0.0114
BACKSPACE,0.0305,0.0185,0.0478,0.0092
l,0.0809,0.0105,0.0987,0.0116
d,0.1432,0.1025,0.1539,0.0853
 ,0.6243,0.0836,0.1435,0.0834
SHIFT_DOWN,1.0937,0.0115,0.0086,0.0211
M,1.0903,0.1127,0.1031,0.1150
SHIFT_UP,1.1129,0.0125,0.0103,0.0124
a,1.8594,0.0985,0.1079,0.0865
j,1.8704,0.1164,0.1809,0.1054
o,2.9246,0.1082,0.1401,0.0871
r,3.4804,0.1190,0.0909,0.0817
 ,4.2889,0.1080,0.2003,0.0992
c,4.3200,0.1074,0.1609,0.0798
l,4.4022,0.0914,0.0930,0.0940
e,4.8020,0.1161,0.1771,0.0963
a,5.6794,0.1045,0.1318,0.1103
r,5.6911,0.1149,0.2007,0.1093
e,6.2013,0.1031,0.1405,0.0992
d,6.4041,0.0916,0.1078,0.1106
 ,6.8874,0.0858,0.1101,0.0858
h,7.5110,0.1178,0.1616,0.0882
i,7.6608,0.0831,0.1775,0.1035
s,8.0105,0.0874,0.2008,0.1079
 ,8.4417,0.0942,0.1925,0.1207
t,9.0185,0.1068,0.0945,0.1013
h,9.0247,0.1090,0.1894,0.0846
x,9.0341,0.0099,0.1006,0.0109
BACKSPACE,9.0594,0.0185,0.0505,0.0129
r,9.1135,0.0072,0.0980,0.0109
o,9.9789,0.1101,0.0953,0.1024
a,10.4792,0.0956,0.1882,0.1007
t,11.6451,0.0882,0.1576,0.1066
 ,11.6539,0.1085,0.1227,0.0893
a,12.8020,0.1219,0.0965,0.1147
n,13.2930,0.0985,0.1706,0.1026
d,13.4694,0.1166,0.1126,0.1004
 ,13.5546,0.1047,0.1882,0.0859
n,13.7664,0.0112,0.0978,0.0129
BACKSPACE,13.7783,0.0196,0.0487,0.0097
b,13.8264,0.0100,0.0980,0.0081
e,14.7320,0.1134,0.1146,0.1193
g,14.7416,0.1203,0.1548,0.0937
a,14.7504,0.0863,0.1404,0.0855
n,15.8859,0.0868,0.1186,0.0779
j,16.1940,0.0080,0.1014,0.0118
BACKSPACE,16.2111,0.0194,0.0516,0.0129
 ,16.2589,0.0117,0.1028,0.0127
t,16.9105,0.1134,0.1523,0.0911
o,16.9218,0.1123,0.1515,0.1039
w,16.9337,0.0106,0.0978,0.0118
BACKSPACE,16.9555,0.0205,0.0524,0.0129
 ,17.0083,0.0084,0.1008,0.0108
s,17.7738,0.0926,0.1566,0.0883
i,17.7829,0.1146,0.1004,0.0930
n,18.1369,0.1192,0.1968,0.0930
j,18.6683,0.0111,0.1007,0.0072
BACKSPACE,18.6814,0.0228,0.0515,0.0119
g,18.7318,0.0113,0.0983,0.0102
.,19.8357,0.0959,0.1574,0.0900
y,20.3665,0.0114,0.1017,0.0089
BACKSPACE,20.3819,0.0187,0.0489,0.0123
 ,20.4332,0.0091,0.0977,0.0102
SHIFT_DOWN,20.6382,0.0126,0.0096,0.0204
A,20.6386,0.0838,0.1679,0.0935
SHIFT_UP,20.6585,0.0106,0.0084,0.0099
s,21.3992,0.0971,0.1355,0.1121
 ,21.4083,0.0858,0.1640,0.1098
h,22.2489,0.0821,0.1893,0.0909
e,22.3047,0.1092,0.1057,0.1027
 ,22.5286,0.1000,0.1666,0.0945
h,22.5393,0.1146,0.1930,0.1068
a,22.9138,0.0880,0.1495,0.1102
d,22.9230,0.1131,0.1873,0.0858
 ,23.7704,0.1168,0.1813,0.1088
s,24.7275,0.0831,0.1033,0.0920
a,24.9483,0.0935,0.1365,0.0845
i,25.3425,0.0821,0.1170,0.1057
q,25.6143,0.0075,0.0981,0.0101
BACKSPACE,25.6447,0.0196,0.0513,0.0086
d,25.6917,0.0107,0.0975,0.0112
",",25.7068,0.1140,0.1206,0.1010
 ,26.2518,0.1064,0.1926,0.1053
h,26.3225,0.1101,0.1881,0.0826
i,26.3326,0.1042,0.0899,0.1010
x,26.4853,0.0126,0.1009,0.0128
BACKSPACE,26.5015,0.0219,0.0475,0.0094
s,26.5521,0.0078,0.0974,0.0078
y,26.8194,0.0114,0.1004,0.0070
BACKSPACE,26.8482,0.0171,0.0473,0.0130
 ,26.8993,0.0104,0.1017,0.0115
c,27.6878,0.0070,0.1002,0.0098
BACKSPACE,27.7114,0.0180,0.0477,0.0091
v,27.7647,0.0122,0.1026,0.0103
o,28.1053,0.1159,0.1561,0.1155
i,28.1617,0.0886,0.1557,0.1046
c,28.8029,0.1166,0.1503,0.1085
e,29.7427,0.0874,0.1679,0.1041
 ,30.5365,0.1183,0.1162,0.1077
w,30.5518,0.1140,0.1966,0.0920
a,30.5607,0.0887,0.1275,0.0979
s,31.0255,0.0813,0.1862,0.0924
 ,31.0355,0.0834,0.1355,0.0829
h,31.9909,0.1198,0.1002,0.0936
e,33.2772,0.0099,0.0979,0.0085
BACKSPACE,33.3008,0.0207,0.0486,0.0111
o,33.3529,0.0092,0.0987,0.0092
a,33.8795,0.1197,0.1868,0.0989
r,33.8927,0.1149,0.1253,0.1202
s,34.0894,0.1029,0.1458,0.1032
t,34.2622,0.0073,0.0971,0.0123
BACKSPACE,34.2878,0.0178,0.0520,0.0071
e,34.3338,0.0097,0.0978,0.0085
b,34.6438,0.0105,0.0999,0.0080
BACKSPACE,34.6595,0.0184,0.0529,0.0121
",",34.7105,0.0105,0.1029,0.0094
 ,34.8107,0.1058,0.1712,0.1144
b,34.8640,0.0854,0.1635,0.1123
u,35.1822,0.1101,0.1830,0.0992
o,35.9407,0.0110,0.1029,0.0101
BACKSPACE,35.9609,0.0180,0.0487,0.0097
t,36.0125,0.0106,0.0972,0.0075
 ,36.0257,0.0971,0.1351,0.0982
w,36.2537,0.0091,0.0989,0.0112
BACKSPACE,36.2772,0.0209,0.0489,0.0100
h,36.3246,0.0112,0.1005,0.0076
e,36.3331,0.0810,0.1486,0.0888
e,36.3437,0.0107,0.1003,0.0115
BACKSPACE,36.3570,0.0174,0.0474,0.0075
 ,36.4089,0.0074,0.0972,0.0116
g,36.4181,0.0120,0.1023,0.0090
BACKSPACE,36.4300,0.0227,0.0503,0.0078
s,36.4843,0.0075,0.0981,0.0108
a,36.9004,0.1061,0.1492,0.0903
n,37.4713,0.0891,0.1945,0.1098
g,37.4836,0.0826,0.1138,0.0846
 ,37.4957,0.1132,0.1302,0.0891
a,37.8803,0.0116,0.0993,0.0084
BACKSPACE,37.8982,0.0202,0.0515,0.0091
e,37.9503,0.0072,0.1015,0.0086
l,38.1816,0.0993,0.1676,0.0976
l,38.5873,0.0928,0.1707,0.0990
q,39.4786,0.0103,0.0978,0.0097
BACKSPACE,39.4906,0.0186,0.0501,0.0107
 ,39.5449,0.0079,0.0970,0.0089
e,39.5511,0.1045,0.1509,0.0903
n,39.7771,0.0875,0.1589,0.0976
o,39.7871,0.0882,0.1216,0.1117
u,39.7963,0.0911,0.1247,0.1102
g,39.8054,0.0887,0.1189,0.0906
