Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0118,0.0099,0.0229
O,0.0013,0.0888,0.1692,0.0959
SHIFT_UP,0.0229,0.0101,0.0096,0.0124
l,0.0130,0.0899,0.1112,0.1201
d,0.1885,0.1171,0.1375,0.1159
 ,0.4943,0.0930,0.1475,0.1132
SHIFT_DOWN,0.6385,0.0076,0.0114,0.0173
M,0.6392,0.0923,0.0961,0.0817
SHIFT_UP,0.6564,0.0125,0.0103,0.0104
o,0.8743,0.0089,0.0995,0.0094
BACKSPACE,0.8918,0.0189,0.0519,0.0129
a,0.9394,0.0102,0.1017,0.0128
j,1.3544,0.1187,0.0933,0.0964
o,1.8011,0.0864,0.1945,0.0984
r,1.8141,0.0887,0.1459,0.0893
 ,2.0633,0.1170,0.1469,0.0908
c,2.2888,0.1037,0.1253,0.1130
l,2.3777,0.0963,0.1053,0.1053
e,2.3871,0.1159,0.1426,0.1065
a,2.8317,0.0989,0.1371,0.1011
r,3.0925,0.1148,0.1731,0.1007
k,3.3837,0.0101,0.1023,0.0096
BACKSPACE,3.3975,0.0184,0.0477,0.0080
e,3.4482,0.0074,0.0993,0.0088
d,3.5694,0.0913,0.1132,0.1018
 ,3.7145,0.1133,0.1377,0.0958
h,4.1523,0.0837,0.1717,0.1127
i,4.3380,0.1150,0.1154,0.1061
 ,4.9636,0.1141,0.1933,0.0952
t,5.3463,0.1207,0.1886,0.0777
h,5.7094,0.0837,0.1616,0.1142
r,6.3442,0.1201,0.1599,0.1107
o,6.4059,0.0809,0.1435,0.1144
a,6.7568,0.0836,0.1994,0.0871
t,6.9877,0.0968,0.1367,0.0878
 ,7.3188,0.0934,0.1301,0.1012
a,7.6934,0.1099,0.1105,0.1043
n,7.7031,0.0802,0.1729,0.0971
d,7.7510,0.0865,0.1281,0.1162
 ,7.7626,0.0883,0.1852,0.0985
b,8.2784,0.1105,0.1609,0.1085
e,8.2873,0.0922,0.1431,0.1055
b,8.3509,0.0085,0.1022,0.0095
BACKSPACE,8.3692,0.0192,0.0500,0.0110
g,8.4209,0.0091,0.0981,0.0099
a,9.1140,0.0986,0.1050,0.0886
n,10.0197,0.1135,0.1876,0.0874
 ,10.1698,0.1106,0.1688,0.1191
t,10.1823,0.1172,0.1302,0.0839
o,10.1945,0.1066,0.1188,0.1074
 ,10.5303,0.0945,0.0989,0.1070
s,10.8530,0.1205,0.1138,0.1135
i,11.4328,0.1087,0.1885,0.0994
n,11.6850,0.1176,0.1276,0.1174
g,11.6969,0.1162,0.1836,0.0930
.,11.8370,0.1020,0.1099,0.1046
i,11.9934,0.0108,0.0984,0.0071
BACKSPACE,12.0089,0.0190,0.0523,0.0081
 ,12.0585,0.0120,0.1011,0.0117
SHIFT_DOWN,12.0686,0.0090,0.0120,0.0191
A,12.0713,0.0835,0.1270,0.1201
SHIFT_UP,12.0882,0.0089,0.0074,0.0114
s,12.0774,0.1033,0.1010,0.1049
 ,12.0867,0.1084,0.1978,0.1075
h,12.5502,0.0991,0.1692,0.0972
e,13.0282,0.0907,0.0933,0.0891
 ,13.0346,0.1005,0.0991,0.1096
h,13.3329,0.1121,0.1463,0.1035
a,13.6608,0.0911,0.1924,0.1112
d,13.7158,0.0889,0.1785,0.1033
 ,13.7295,0.0804,0.1929,0.0826
s,14.2906,0.1078,0.0984,0.0926
a,14.5656,0.0991,0.1763,0.0927
i,14.6982,0.1154,0.0944,0.0990
d,14.7090,0.1094,0.1467,0.1010
",",14.8608,0.1055,0.1620,0.0992
 ,15.0649,0.1065,0.0889,0.1018
h,15.5059,0.1128,0.1823,0.1101
i,15.9460,0.1115,0.1972,0.1098
s,16.4862,0.0947,0.1596,0.0821
x,16.6465,0.0093,0.0999,0.0087
BACKSPACE,16.6693,0.0194,0.0521,0.0109
 ,16.7165,0.0083,0.1011,0.0113
v,17.1290,0.1209,0.1788,0.0886
o,17.3258,0.1144,0.1956,0.0874
i,17.8692,0.1073,0.1284,0.0901
c,17.8774,0.0909,0.1123,0.1115
e,17.9406,0.0864,0.1127,0.1101
 ,18.1304,0.0993,0.1613,0.0809
w,18.7896,0.1066,0.1834,0.0858
a,18.8011,0.0957,0.1960,0.0874
s,19.1183,0.0858,0.1581,0.1035
 ,19.2708,0.0934,0.1758,0.1048
h,19.6577,0.1171,0.1493,0.0872
o,19.6706,0.1071,0.1651,0.0886
a,19.6797,0.0950,0.1255,0.1062
r,20.0589,0.0950,0.1936,0.0984
s,20.5944,0.1132,0.1840,0.1024
e,21.1090,0.1134,0.1563,0.0907
",",21.3274,0.1115,0.1436,0.1007
 ,21.7315,0.1042,0.1169,0.0812
b,22.3841,0.1189,0.1552,0.1073
u,22.5438,0.1201,0.1150,0.1191
t,22.8557,0.0996,0.1710,0.0888
 ,22.9447,0.0979,0.1615,0.0953
h,22.9599,0.1118,0.1843,0.0884
e,23.3844,0.1060,0.1842,0.1127
 ,23.7132,0.0986,0.1239,0.1093
s,23.7243,0.1052,0.1959,0.0834
a,23.7319,0.0850,0.1396,0.0827
n,24.0739,0.0804,0.1765,0.0900
g,24.2805,0.1159,0.0990,0.0828
l,24.2901,0.0112,0.1001,0.0124
BACKSPACE,24.3107,0.0217,0.0488,0.0087
 ,24.3625,0.0123,0.0993,0.0076
w,24.5506,0.1051,0.1920,0.1066
e,24.6611,0.0964,0.1068,0.0843
l,24.7543,0.1129,0.1940,0.1129
l,25.1538,0.1165,0.1387,0.1020
 ,25.4665,0.0887,0.1266,0.0887
f,26.0856,0.0083,0.0981,0.0071
BACKSPACE,26.1029,0.0225,0.0490,0.0124
e,26.1495,0.0081,0.0972,0.0092
n,26.3533,0.1167,0.1543,0.0921
