Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0104,0.0071,0.0204
O,0.0010,0.1052,0.1477,0.0836
SHIFT_UP,0.0196,0.0102,0.0078,0.0112
l,0.1970,0.0901,0.1891,0.1020
d,0.2077,0.1069,0.1073,0.1002
 ,0.9358,0.1142,0.1840,0.1045
SHIFT_DOWN,1.4991,0.0070,0.0114,0.0228
M,1.5021,0.1094,0.1017,0.1145
SHIFT_UP,1.5188,0.0079,0.0083,0.0116
a,1.7442,0.0983,0.1568,0.1058
l,1.7529,0.0121,0.1009,0.0118
BACKSPACE,1.7809,0.0217,0.0479,0.0129
j,1.8260,0.0070,0.0996,0.0078
o,1.8380,0.1115,0.1784,0.1042
r,2.5089,0.1076,0.1176,0.0990
f,2.5194,0.0118,0.0974,0.0071
BACKSPACE,2.5439,0.0221,0.0529,0.0103
 ,2.5982,0.0072,0.1000,0.0117
c,2.6048,0.1126,0.1441,0.0892
l,2.7684,0.1036,0.1370,0.1193
e,2.7772,0.1160,0.1953,0.1181
i,3.1875,0.0089,0.0997,0.0120
BACKSPACE,3.2033,0.0178,0.0500,0.0119
a,3.2553,0.0116,0.0989,0.0085
r,4.0286,0.1216,0.1817,0.0846
e,5.4521,0.1086,0.1079,0.1181
d,5.7060,0.1194,0.1200,0.0825
 ,5.9119,0.0840,0.1538,0.0922
i,6.8893,0.1007,0.1346,0.0948
s,7.4236,0.0857,0.1540,0.1047
j,7.8413,0.0127,0.1007,0.0117
BACKSPACE,7.8710,0.0225,0.0513,0.0105
 ,7.9228,0.0084,0.0995,0.0076
t,7.9336,0.1144,0.1876,0.0908
h,8.2523,0.0916,0.1573,0.1086
r,8.2622,0.1104,0.1230,0.1044
f,8.2719,0.0124,0.0987,0.0128
BACKSPACE,8.2971,0.0218,0.0474,0.0082
o,8.3430,0.0102,0.0985,0.0129
q,8.3538,0.0128,0.1009,0.0108
BACKSPACE,8.3832,0.0224,0.0473,0.0108
a,8.4328,0.0087,0.0998,0.0124
x,8.5379,0.0094,0.1017,0.0071
BACKSPACE,8.5618,0.0208,0.0528,0.0074
t,8.6093,0.0112,0.1027,0.0079
 ,8.6219,0.1095,0.1565,0.1010
a,9.2806,0.0888,0.1362,0.1094
n,9.4721,0.0918,0.1119,0.0837
d,9.4834,0.0958,0.1013,0.1050
 ,9.6670,0.0967,0.1556,0.0841
b,9.6887,0.1142,0.1623,0.1044
e,10.3403,0.0978,0.1800,0.1041
g,10.8471,0.1133,0.1616,0.1172
a,11.2413,0.1037,0.0997,0.0935
n,11.8245,0.0809,0.1952,0.1102
 ,11.8360,0.1079,0.1269,0.0951
t,12.3987,0.1204,0.1837,0.0856
o,12.5334,0.1021,0.1091,0.1215
j,12.7347,0.0112,0.1023,0.0088
BACKSPACE,12.7642,0.0175,0.0508,0.0108
 ,12.8152,0.0123,0.1008,0.0121
s,13.2423,0.0830,0.1579,0.0828
t,13.8291,0.0102,0.0985,0.0092
BACKSPACE,13.8416,0.0207,0.0484,0.0073
i,13.8956,0.0105,0.1023,0.0110
n,14.1759,0.1068,0.1621,0.0904
g,14.3591,0.1012,0.1224,0.0841
s,14.4932,0.0116,0.1010,0.0129
BACKSPACE,14.5016,0.0200,0.0519,0.0079
.,14.5511,0.0109,0.1013,0.0099
t,14.7436,0.0122,0.1010,0.0098
BACKSPACE,14.7699,0.0217,0.0479,0.0088
 ,14.8184,0.0113,0.1029,0.0122
SHIFT_DOWN,14.8314,0.0083,0.0122,0.0172
A,14.8339,0.0874,0.1694,0.1158
SHIFT_UP,14.8524,0.0122,0.0073,0.0081
s,14.8418,0.1033,0.1095,0.0847
 ,15.8181,0.0883,0.1188,0.1118
h,16.2422,0.1166,0.1309,0.0995
e,16.8364,0.0965,0.1110,0.0820
 ,16.8435,0.1146,0.0974,0.0796
h,16.8555,0.1035,0.1529,0.1118
q,17.3863,0.0077,0.0996,0.0098
BACKSPACE,17.4195,0.0202,0.0492,0.0126
a,17.4702,0.0097,0.0974,0.0126
d,17.7145,0.0956,0.1027,0.1132
 ,17.7285,0.0845,0.1919,0.1056
s,17.7344,0.1091,0.0907,0.1194
a,18.3769,0.0840,0.1920,0.0826
i,18.3897,0.1021,0.1492,0.0845
d,18.6651,0.0964,0.1471,0.0923
",",18.6732,0.1121,0.1379,0.0811
 ,19.7927,0.1137,0.1785,0.0853
h,20.3685,0.0977,0.1630,0.1027
i,20.3761,0.1137,0.1777,0.0996
s,20.5174,0.1130,0.1092,0.1013
 ,20.6547,0.1000,0.0959,0.0897
v,20.7890,0.1194,0.0909,0.0996
o,21.8467,0.1057,0.1963,0.0849
i,22.1328,0.1152,0.1592,0.0968
c,22.9510,0.0872,0.1429,0.1227
e,22.9619,0.1191,0.1218,0.0981
 ,23.0393,0.1008,0.1268,0.0915
n,23.6586,0.0094,0.1013,0.0087
BACKSPACE,23.6682,0.0199,0.0526,0.0075
w,23.7171,0.0116,0.1014,0.0106
k,24.8481,0.0098,0.1000,0.0111
BACKSPACE,24.8627,0.0221,0.0477,0.0085
a,24.9140,0.0111,0.1022,0.0123
s,24.9185,0.0863,0.1185,0.1082
 ,25.1511,0.0896,0.1213,0.0837
h,25.6022,0.1019,0.1483,0.1097
n,25.7055,0.0095,0.0983,0.0117
BACKSPACE,25.7165,0.0214,0.0526,0.0092
o,25.7666,0.0083,0.1015,0.0124
f,25.7782,0.0076,0.1013,0.0129
BACKSPACE,25.7974,0.0171,0.0493,0.0124
a,25.8436,0.0106,0.0989,0.0122
r,25.8555,0.1008,0.1511,0.0960
s,26.7617,0.1079,0.1322,0.0873
e,26.7696,0.0963,0.1242,0.1164
",",27.1864,0.1024,0.1772,0.0949
 ,27.1955,0.0874,0.1499,0.0843
b,28.0116,0.1140,0.1415,0.0958
u,28.0170,0.0862,0.1349,0.1051
t,29.1946,0.1001,0.1264,0.0870
 ,30.4146,0.0832,0.1822,0.0781
j,30.9764,0.0105,0.0975,0.0084
BACKSPACE,30.9895,0.0190,0.0512,0.0072
h,31.0393,0.0101,0.0994,0.0098
e,31.0506,0.0808,0.1612,0.0881
 ,31.0621,0.0830,0.1239,0.0884
s,31.3043,0.0958,0.1912,0.0969
a,31.3406,0.1038,0.1324,0.1160
v,31.6846,0.0090,0.1015,0.0116
BACKSPACE,31.7057,0.0195,0.0474,0.0115
n,31.7554,0.0120,0.1003,0.0102
g,31.7659,0.0860,0.1274,0.1035
a,32.1178,0.0127,0.0985,0.0101
BACKSPACE,32.1323,0.0218,0.0501,0.0113
 ,32.1831,0.0120,0.1025,0.0109
w,33.2603,0.1092,0.1637,0.0816
e,33.2732,0.1146,0.1272,0.1135
l,33.4872,0.1076,0.0928,0.1013
l,33.5636,0.1017,0.1089,0.1071
 ,33.7454,0.1134,0.1637,0.1006
e,34.1814,0.1145,0.0928,0.1058
n,34.3579,0.0935,0.1504,0.1117
p,34.3664,0.0090,0.1014,0.0096
BACKSPACE,34.3980,0.0178,0.0510,0.0098
o,34.4499,0.0080,0.0973,0.0090
u,35.3059,0.0838,0.1232,0.0795
BACKSPACE,35.3137,0.0204,0.0528,0.0106
g,36.2800,0.1006,0.1158,0.1077
h,36.2944,0.0921,0.1120,0.1185
",",36.4436,0.1136,0.1624,0.1023
h,36.9198,0.0113,0.0996,0.0084
BACKSPACE,36.9318,0.0177,0.0492,0.0112
 ,36.9822,0.0123,0.0992,0.0088
a,36.9950,0.0890,0.0973,0.1110
n,37.2297,0.0939,0.1539,0.0918
d,37.9046,0.1035,0.1690,0.0820
 ,37.9136,0.0914,0.1204,0.0834
i,38.2901,0.1126,0.1875,0.1057
l,38.3026,0.0082,0.1010,0.0096
BACKSPACE,38.3296,0.0171,0.0480,0.0128
t,38.3785,0.0074,0.1029,0.0102
 ,38.7167,0.1114,0.1022,0.0955
w,38.7852,0.1010,0.1167,0.0917
a,39.1010,0.1131,0.0883,0.1032
s,39.4650,0.0853,0.1920,0.0852
e,40.4718,0.0079,0.0973,0.0108
BACKSPACE,40.5026,0.0223,0.0486,0.0125
 ,40.5494,0.0091,0.1017,0.0080
a,40.8704,0.1122,0.1205,0.0926
 ,41.5574,0.0885,0.1249,0.1053
u,41.9522,0.0072,0.1008,0.0114
BACKSPACE,41.9584,0.0222,0.0497,0.0101
s,42.0110,0.0093,0.0989,0.0100
t,42.3453,0.0881,0.1355,0.0999
i,43.4013,0.1020,0.1648,0.1031
s,44.0312,0.0084,0.1028,0.0128
BACKSPACE,44.0420,0.0218,0.0490,0.0098
r,44.0934,0.0070,0.0980,0.0070
r,45.2114,0.0921,0.1963,0.0844
b,46.2144,0.0124,0.0973,0.0119
BACKSPACE,46.2275,0.0201,0.0508,0.0112
i,46.2800,0.0075,0.0983,0.0073
n,46.3987,0.0920,0.1558,0.1058
b,46.8848,0.0122,0.1003,0.0121
BACKSPACE,46.8968,0.0217,0.0518,0.0100
g,46.9507,0.0087,0.1023,0.0086
