Key,Timestamp (s),Key_Down_Time,Key_Hold_Time,Key_Up_Time
SHIFT_DOWN,0.0010,0.0110,0.0106,0.0196
O,0.0026,0.0870,0.1351,0.1063
SHIFT_UP,0.0206,0.0128,0.0085,0.0100
l,0.0073,0.0846,0.1452,0.0939
d,0.4734,0.0818,0.1239,0.0848
 ,0.4815,0.1146,0.1871,0.1098
SHIFT_DOWN,0.8386,0.0125,0.0089,0.0216
M,0.8427,0.1153,0.1758,0.1054
SHIFT_UP,0.8580,0.0124,0.0078,0.0122
a,1.1327,0.0967,0.1445,0.0908
j,1.4430,0.1027,0.1690,0.0934
o,1.7323,0.1099,0.0972,0.1023
r,1.7421,0.1065,0.1651,0.0928
 ,1.9313,0.0951,0.1545,0.0870
c,2.7955,0.1077,0.1735,0.0868
l,2.8070,0.0930,0.1046,0.0862
BACKSPACE,2.8165,0.0220,0.0488,0.0114
e,2.8156,0.0885,0.1526,0.0831
a,3.2833,0.0924,0.2009,0.0945
r,3.3079,0.1202,0.1932,0.0813
e,3.4831,0.0890,0.1498,0.1223
d,3.7522,0.0953,0.1067,0.1081
 ,4.0568,0.0893,0.1034,0.1114
h,4.0724,0.1087,0.0914,0.0983
i,4.2971,0.1029,0.0942,0.0800
s,4.3892,0.1187,0.1299,0.0902
 ,4.6531,0.0857,0.1358,0.0997
t,4.9580,0.0834,0.1435,0.0835
h,5.2430,0.0950,0.1353,0.0982
r,5.6194,0.0880,0.1902,0.1209
o,5.6969,0.1022,0.1336,0.0849
a,5.7230,0.0864,0.1439,0.1125
t,6.1248,0.0823,0.1619,0.0822
 ,6.1308,0.0829,0.1348,0.0973
a,6.2002,0.0831,0.1029,0.1013
n,6.3741,0.0782,0.1582,0.1015
d,6.3854,0.0918,0.1725,0.1210
 ,6.8125,0.1050,0.1186,0.1135
b,7.3148,0.0879,0.1075,0.0993
y,7.3219,0.0102,0.1024,0.0085
BACKSPACE,7.3469,0.0207,0.0528,0.0117
e,7.3970,0.0073,0.1001,0.0093
g,7.6049,0.0987,0.1110,0.0881
a,8.1089,0.0829,0.1731,0.0907
n,8.5174,0.1008,0.1336,0.0869
 ,8.7352,0.1022,0.1976,0.0865
t,9.4811,0.0822,0.1199,0.1146
o,9.5723,0.0885,0.0962,0.0977
 ,9.7858,0.1169,0.1452,0.1173
s,9.8789,0.1106,0.1932,0.1160
i,9.8882,0.0969,0.0958,0.0942
n,10.4128,0.1183,0.1095,0.1021
g,10.5334,0.1221,0.1030,0.1027
.,10.6139,0.1100,0.1161,0.0980
 ,10.7148,0.1171,0.1773,0.1193
BACKSPACE,10.7194,0.0225,0.0502,0.0083
SHIFT_DOWN,11.2176,0.0101,0.0125,0.0198
A,11.2159,0.1144,0.0906,0.1096
BACKSPACE,11.2291,0.0183,0.0513,0.0116
SHIFT_UP,11.2391,0.0107,0.0078,0.0084
s,11.6546,0.0943,0.1118,0.0889
 ,11.8937,0.1179,0.1134,0.0866
m,12.3359,0.0102,0.1011,0.0092
BACKSPACE,12.3621,0.0193,0.0495,0.0090
h,12.4096,0.0078,0.1022,0.0091
e,13.0556,0.1093,0.1596,0.0994
 ,13.5268,0.0964,0.1704,0.0958
h,13.8689,0.0871,0.1385,0.1185
a,14.1346,0.0963,0.1139,0.0892
d,14.9872,0.1118,0.1397,0.0841
 ,15.5439,0.1158,0.1580,0.0850
o,15.8072,0.0092,0.0993,0.0090
BACKSPACE,15.8184,0.0198,0.0528,0.0070
s,15.8658,0.0112,0.0983,0.0107
v,16.2522,0.0090,0.1019,0.0072
BACKSPACE,16.2577,0.0181,0.0516,0.0091
a,16.3086,0.0110,0.0976,0.0075
i,16.9241,0.1095,0.1677,0.1149
d,17.1414,0.1151,0.1027,0.0844
",",17.2180,0.0863,0.1149,0.0915
 ,17.4830,0.0975,0.1383,0.1153
h,17.8470,0.1047,0.1405,0.0840
i,17.9730,0.1155,0.1402,0.1037
h,18.5706,0.0104,0.0991,0.0084
BACKSPACE,18.5872,0.0230,0.0477,0.0095
s,18.6357,0.0093,0.0991,0.0095
 ,18.6424,0.1028,0.0873,0.1060
v,18.8660,0.0952,0.1914,0.1201
o,19.3419,0.0841,0.1616,0.0978
i,19.3907,0.0999,0.1291,0.1003
c,19.6904,0.1039,0.0960,0.0980
e,20.1132,0.0911,0.1418,0.0833
n,20.4888,0.0087,0.0981,0.0074
BACKSPACE,20.5119,0.0220,0.0474,0.0100
 ,20.5609,0.0124,0.1023,0.0072
w,20.9705,0.1070,0.1086,0.0913
a,20.9811,0.0877,0.1955,0.1091
s,21.3851,0.1015,0.2002,0.1184
 ,21.5975,0.0951,0.1309,0.0806
h,21.9621,0.1164,0.1469,0.1126
o,22.6730,0.1056,0.1753,0.0955
a,23.1641,0.0834,0.1103,0.1138
r,23.1884,0.0824,0.1032,0.1129
s,23.7415,0.1020,0.0982,0.0811
e,23.8639,0.1018,0.1030,0.1064
",",23.9587,0.1004,0.1734,0.1177
 ,24.5304,0.0998,0.1047,0.0965
b,24.8377,0.1034,0.1374,0.0951
u,25.0620,0.0900,0.1118,0.0810
t,25.3551,0.0993,0.0946,0.0863
 ,25.7537,0.0985,0.1162,0.0960
h,26.2669,0.0907,0.1485,0.1029
e,26.6097,0.0818,0.1273,0.1129
 ,27.0338,0.1155,0.1480,0.1102
s,27.6373,0.0903,0.1389,0.1063
a,27.7869,0.1132,0.1553,0.0893
n,28.4154,0.0955,0.1108,0.1134
g,28.8451,0.0907,0.1510,0.1006
 ,29.1721,0.0890,0.1629,0.0907
w,29.7708,0.0916,0.1868,0.0915
e,30.3642,0.0826,0.1602,0.0944
l,30.9333,0.0851,0.1198,0.1054
l,31.2339,0.1047,0.1621,0.0785
 ,31.4296,0.0886,0.1964,0.0874
e,32.0476,0.0849,0.1749,0.0942
n,32.0619,0.0885,0.1076,0.0995
o,32.2746,0.0906,0.1704,0.1064
u,32.6416,0.0949,0.1223,0.1043
g,32.9493,0.1181,0.0932,0.1148
h,33.2979,0.1180,0.1508,0.0779
",",33.3088,0.0965,0.1680,0.0979
 ,33.6436,0.1035,0.1944,0.1084
